fin_source,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GRNT_NGO,PT,: ,5 ,4 ,4 ,2 ,5 ,3 ,1 ,1 ,3 ,4 ,4 ,5 ,6 ,5 ,12 ,7 ,9 ,9 ,29 ,28 ,: 
GRNT_NGO,SE,28 ,18 ,20 ,21 ,25 ,23 ,10 ,57 ,17 ,53 ,167 ,22 ,15 ,8 ,: ,: ,: ,: ,: ,: ,: ,: 
GRNT_NGO,TR,: ,: ,: ,: ,: ,46 ,62 ,33 ,49 ,78 ,80 ,143 ,87 ,175 ,247 ,429 ,592 ,626 ,700 ,312 ,352 ,: 
GRNT_NGO,UK,580 ,365 ,373 ,344 ,314 ,583 ,432 ,487 ,314 ,236 ,265 ,453 ,798 ,765 ,: ,: ,: ,: ,: ,: ,: ,: 
ODA,AT,476 ,707 ,550 ,446 ,545 ,1265 ,1193 ,1320 ,1165 ,819 ,912 ,798 ,861 ,882 ,929 ,1193 ,1478 ,1108 ,987 ,1096 ,1157 ,1256 
ODA,BE,887 ,968 ,1133 ,1638 ,1176 ,1578 ,1574 ,1423 ,1622 ,1871 ,2266 ,2017 ,1802 ,1731 ,1841 ,1716 ,2078 ,1944 ,1988 ,1972 ,2081 ,2176 
ODA,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,31 ,35 ,31 ,37 ,37 ,37 ,61 ,55 ,58 ,58 ,75 ,77 
ODA,CH,964 ,1014 ,993 ,1149 ,1242 ,1424 ,1311 ,1229 ,1385 ,1656 ,1735 ,2192 ,2376 ,2410 ,2651 ,3181 ,3236 ,2785 ,2622 ,2765 ,3258 ,3319 
ODA,CY,: ,: ,: ,: ,: ,12 ,21 ,25 ,25 ,33 ,39 ,27 ,20 ,15 ,14 ,16 ,: ,: ,21 ,18 ,13 ,: 
ODA,CZ,17 ,30 ,48 ,80 ,87 ,109 ,128 ,131 ,169 ,154 ,172 ,180 ,171 ,159 ,160 ,179 ,235 ,269 ,259 ,276 ,262 ,306 
ODA,DE,5446 ,5571 ,5631 ,5997 ,6057 ,8104 ,8311 ,8968 ,9506 ,8660 ,9795 ,10124 ,10071 ,10713 ,12470 ,16170 ,22347 ,22134 ,21736 ,21547 ,25670 ,26626 
ODA,DK,1802 ,1825 ,1738 ,1545 ,1638 ,1695 ,1781 ,1870 ,1906 ,2015 ,2166 ,2106 ,2096 ,2204 ,2261 ,2312 ,2140 ,2167 ,2182 ,2270 ,2312 ,2424 
ODA,EE,1 ,1 ,1 ,1 ,4 ,8 ,11 ,12 ,15 ,13 ,14 ,17 ,18 ,23 ,28 ,31 ,39 ,38 ,41 ,43 ,44 ,51 
ODA,EL,245 ,225 ,292 ,320 ,258 ,309 ,338 ,365 ,478 ,435 ,383 ,305 ,255 ,180 ,186 ,215 ,333 ,278 ,246 ,328 ,285 ,223 
ODA,ES,1294 ,1940 ,1811 ,1734 ,1959 ,2426 ,3037 ,3750 ,4669 ,4720 ,4488 ,2998 ,1586 ,1768 ,1413 ,1259 ,3816 ,2266 ,2193 ,2420 ,2398 ,2750 
ODA,EU27_2020,22563 ,24432 ,26561 ,27409 ,28322 ,36621 ,37720 ,38359 ,41212 ,40916 ,43563 ,42794 ,39924 ,40501 ,42565 ,49786 ,58334 ,58452 ,58550 ,58168 ,66922 ,69612 
ODA,FI,402 ,434 ,489 ,494 ,547 ,725 ,665 ,716 ,793 ,925 ,1005 ,1010 ,1027 ,1081 ,1230 ,1161 ,957 ,959 ,833 ,1027 ,1119 ,1263 
ODA,FR,4444 ,4687 ,5802 ,6412 ,6811 ,8059 ,8443 ,7212 ,7416 ,9035 ,9742 ,9337 ,9362 ,8538 ,7994 ,8147 ,8692 ,10030 ,10872 ,10705 ,14020 ,14120 
ODA,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,17 ,34 ,54 ,46 ,37 ,47 ,67 ,65 ,67 ,80 
ODA,HU,: ,: ,: ,19 ,56 ,81 ,119 ,75 ,73 ,84 ,86 ,100 ,92 ,97 ,108 ,140 ,180 ,132 ,241 ,279 ,366 ,385 
ODA,IE,253 ,320 ,421 ,445 ,488 ,578 ,814 ,870 ,903 ,721 ,675 ,656 ,629 ,637 ,614 ,647 ,725 ,742 ,791 ,869 ,865 ,988 
ODA,IT,1490 ,1817 ,2466 ,2151 ,1979 ,4092 ,2900 ,2897 ,3305 ,2364 ,2260 ,3108 ,2130 ,2583 ,3018 ,3608 ,4596 ,5185 ,4317 ,3839 ,3849 ,5174 
ODA,LI,: ,: ,: ,: ,: ,: ,: ,13 ,16 ,19 ,20 ,23 ,22 ,21 ,21 ,22 ,22 ,21 ,22 ,23 ,25 ,: 
ODA,LT,: ,2 ,2 ,2 ,7 ,12 ,20 ,35 ,33 ,26 ,28 ,37 ,40 ,38 ,34 ,43 ,52 ,52 ,55 ,60 ,63 ,70 
ODA,LU,133 ,155 ,155 ,171 ,189 ,206 ,232 ,274 ,282 ,297 ,304 ,294 ,311 ,323 ,319 ,327 ,353 ,375 ,401 ,421 ,396 ,456 
ODA,LV,: ,: ,2 ,1 ,7 ,9 ,9 ,12 ,15 ,15 ,12 ,14 ,16 ,18 ,19 ,21 ,27 ,28 ,29 ,31 ,36 ,40 
ODA,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,10 ,10 ,14 ,14 ,14 ,15 ,15 ,19 ,22 ,28 ,37 ,47 ,: 
ODA,NL,3394 ,3542 ,3530 ,3511 ,3380 ,4111 ,4342 ,4542 ,4754 ,4607 ,4795 ,4557 ,4299 ,4093 ,4195 ,5160 ,4487 ,4389 ,4756 ,4727 ,4692 ,4471 
ODA,NO,1368 ,1503 ,1794 ,1807 ,1767 ,2246 ,2346 ,2725 ,2724 ,2926 ,3298 ,3416 ,3699 ,4203 ,3828 ,3855 ,3957 ,3651 ,3605 ,3839 ,3673 ,3951 
ODA,PL,31 ,40 ,15 ,24 ,94 ,165 ,239 ,265 ,253 ,269 ,285 ,300 ,328 ,367 ,340 ,397 ,599 ,601 ,643 ,680 ,711 ,795 
ODA,PT,293 ,300 ,341 ,283 ,829 ,303 ,316 ,343 ,422 ,368 ,490 ,508 ,452 ,368 ,324 ,278 ,310 ,337 ,328 ,341 ,368 ,370 
ODA,RO,: ,: ,: ,: ,: ,: ,: ,: ,84 ,109 ,86 ,118 ,111 ,101 ,161 ,142 ,183 ,194 ,211 ,227 ,267 ,276 
ODA,SE,1948 ,1860 ,2127 ,2122 ,2188 ,2702 ,3150 ,3166 ,3217 ,3261 ,3420 ,4025 ,4078 ,4388 ,4692 ,6390 ,4421 ,4925 ,5080 ,4649 ,5558 ,5011 
ODA,SI,: ,: ,: ,: ,: ,28 ,35 ,40 ,46 ,51 ,44 ,45 ,45 ,46 ,46 ,57 ,73 ,67 ,71 ,78 ,79 ,97 
ODA,SK,6 ,9 ,7 ,13 ,23 ,46 ,44 ,49 ,62 ,54 ,56 ,62 ,62 ,65 ,63 ,77 ,96 ,106 ,117 ,103 ,124 ,127 
ODA,TR,89 ,72 ,77 ,59 ,273 ,483 ,569 ,439 ,531 ,507 ,730 ,915 ,1972 ,2491 ,2703 ,3532 ,5861 ,7189 ,7292 ,7742 ,7112 ,6462 
ODA,UK,4874 ,5098 ,5213 ,5535 ,6355 ,8658 ,9923 ,7186 ,7819 ,8089 ,9846 ,9937 ,10812 ,13456 ,14500 ,16722 ,16309 ,16025 ,16479 ,17288 ,16856 ,13849 
OFLOW_OTH,AT,0 ,0 ,0 ,0 ,0 ,392 ,58 ,10 ,39 ,5 ,1 ,0 ,0 ,152 ,75 ,24 ,130 ,46 ,-4 ,180 ,54 ,: 
OFLOW_OTH,BE,-9 ,8 ,112 ,844 ,-75 ,314 ,-346 ,-118 ,-94 ,65 ,-11 ,-11 ,43 ,58 ,-33 ,-65 ,299 ,46 ,-64 ,23 ,-72 ,: 
OFLOW_OTH,CH,8 ,7 ,3 ,0 ,: ,: ,14 ,: ,: ,: ,: ,: ,: ,: ,16 ,24 ,15 ,117 ,: ,17 ,-8 ,: 
OFLOW_OTH,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: ,: ,-12 ,-2 ,: 
OFLOW_OTH,DE,-112 ,-546 ,4786 ,-1712 ,-240 ,8563 ,-2237 ,416 ,1010 ,406 ,51 ,-104 ,-71 ,-64 ,115 ,1194 ,-414 ,-316 ,-99 ,12 ,370 ,: 
