sitc06,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,DAC,MIO_EUR,IE,2858 ,2894 ,2972 ,3297 ,3436 ,4029 ,4280 ,4557 ,4110 ,3920 ,4556 ,5184 ,6562 ,5253 ,5873 ,6373 ,6123 ,6420 ,7049 ,6832 ,7476 ,12596 
TOTAL,DAC,MIO_EUR,IT,45521 ,45585 ,44261 ,45271 ,53396 ,63271 ,95134 ,101705 ,110206 ,78040 ,108664 ,115494 ,110321 ,96690 ,93075 ,94225 ,89487 ,98941 ,107370 ,106193 ,88765 ,120834 
TOTAL,DAC,MIO_EUR,LT,304 ,391 ,513 ,606 ,497 ,612 ,1330 ,1613 ,1829 ,1054 ,1430 ,1902 ,2109 ,2326 ,2740 ,2910 ,2448 ,3230 ,3381 ,3488 ,3541 ,5564 
TOTAL,DAC,MIO_EUR,LU,275 ,279 ,187 ,1717 ,2306 ,2776 ,4057 ,3689 ,4249 ,3468 ,1970 ,2015 ,2376 ,2022 ,2069 ,3504 ,2179 ,1303 ,905 ,1688 ,483 ,561 
TOTAL,DAC,MIO_EUR,LV,79 ,91 ,119 ,143 ,166 ,245 ,889 ,993 ,1027 ,620 ,830 ,1189 ,1313 ,1213 ,1141 ,1153 ,1047 ,1266 ,1468 ,1521 ,1599 ,2154 
TOTAL,DAC,MIO_EUR,MT,205 ,203 ,230 ,280 ,286 ,235 ,314 ,296 ,303 ,272 ,399 ,430 ,509 ,521 ,618 ,665 ,667 ,727 ,787 ,865 ,848 ,949 
TOTAL,DAC,MIO_EUR,NL,42270 ,42991 ,43735 ,47172 ,54691 ,70006 ,81003 ,91005 ,101146 ,83335 ,105875 ,116050 ,127312 ,119040 ,121428 ,129927 ,132643 ,153593 ,158063 ,168842 ,162065 ,195888 
TOTAL,DAC,MIO_EUR,PL,4129 ,5170 ,5793 ,6254 ,5897 ,6109 ,10307 ,12705 ,15232 ,11886 ,14384 ,16697 ,16998 ,17664 ,21708 ,26061 ,26566 ,30766 ,35405 ,39081 ,40997 ,54948 
TOTAL,DAC,MIO_EUR,PT,5366 ,5187 ,4880 ,4520 ,5782 ,7513 ,9142 ,10010 ,11386 ,7280 ,9856 ,11112 ,12145 ,11792 ,10638 ,10010 ,9160 ,10423 ,12004 ,12867 ,10911 ,20395 
TOTAL,DAC,MIO_EUR,RO,1558 ,1903 ,2371 ,2577 ,3873 ,5753 ,7897 ,8770 ,11062 ,7003 ,8564 ,10344 ,9414 ,8671 ,9703 ,9916 ,10928 ,12826 ,15023 ,15885 ,14726 ,19130 
TOTAL,DAC,MIO_EUR,SE,6116 ,5666 ,5120 ,5766 ,6428 ,7296 ,8971 ,10353 ,11062 ,8920 ,11411 ,12890 ,13686 ,13777 ,14305 ,14732 ,14410 ,15830 ,17078 ,16557 ,14912 ,19395 
TOTAL,DAC,MIO_EUR,SI,1199 ,1275 ,1352 ,1479 ,1502 ,2108 ,3068 ,3869 ,4558 ,3769 ,5019 ,4400 ,4284 ,4414 ,4617 ,5471 ,5517 ,6659 ,7823 ,8420 ,8042 ,13308 
TOTAL,DAC,MIO_EUR,SK,561 ,758 ,959 ,1140 ,1078 ,1052 ,2031 ,3118 ,3873 ,2726 ,3922 ,4313 ,4647 ,4825 ,5085 ,5428 ,5927 ,6591 ,6881 ,7059 ,6675 ,9053 
TOTAL,DAC,MIO_EUR,UK,53740 ,57657 ,59157 ,56656 ,63819 ,69131 ,82781 ,85775 ,84537 ,74176 ,91341 ,100331 ,111958 ,105152 ,109346 ,121658 ,120144 ,117765 ,120036 ,127248 ,: ,: 
TOTAL,LDC,MIO_EUR,AT,55 ,50 ,57 ,63 ,77 ,55 ,77 ,90 ,81 ,43 ,42 ,62 ,78 ,93 ,168 ,222 ,349 ,408 ,416 ,498 ,388 ,441 
TOTAL,LDC,MIO_EUR,BE,2740 ,2831 ,2924 ,1939 ,1953 ,2636 ,2280 ,2213 ,2050 ,1655 ,2197 ,2768 ,3117 ,2828 ,3372 ,3704 ,3507 ,3159 ,3639 ,3781 ,3055 ,3005 
TOTAL,LDC,MIO_EUR,BG,5 ,4 ,6 ,5 ,6 ,18 ,5 ,3 ,6 ,15 ,18 ,19 ,10 ,112 ,128 ,112 ,69 ,46 ,60 ,66 ,145 ,63 
