indicator,statinfo,unit,stk_flow,geo\time,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind13,AVG_30Y,EUR_HAB,LOSS,NO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.42 ,8.32 ,8.34 ,8.24 ,8.90 ,8.80 ,8.71 ,9.11 ,7.45 ,7.67 ,7.69 ,6.47 
ind13,AVG_30Y,EUR_HAB,LOSS,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.09 ,11.59 ,11.58 ,11.01 ,10.80 ,10.81 ,9.73 ,9.73 ,9.26 ,9.35 ,9.35 ,9.45 
ind13,AVG_30Y,EUR_HAB,LOSS,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,26.72 ,30.99 ,31.04 ,31.16 ,31.02 ,31.19 ,30.25 ,31.13 ,37.60 ,38.17 ,39.88 ,40.12 
ind13,AVG_30Y,EUR_HAB,LOSS,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,14.76 ,16.76 ,16.84 ,16.96 ,17.04 ,17.88 ,22.67 ,22.80 ,22.98 ,23.31 ,23.44 ,24.21 
ind13,AVG_30Y,EUR_HAB,LOSS,SE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.87 ,10.08 ,10.00 ,9.93 ,10.04 ,10.71 ,10.62 ,10.49 ,10.35 ,10.52 ,10.87 ,10.96 
ind13,AVG_30Y,EUR_HAB,LOSS,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,37.34 ,40.54 ,40.45 ,46.45 ,46.39 ,57.75 ,57.70 ,57.66 ,57.62 ,57.41 ,59.68 ,36.40 
ind13,AVG_30Y,EUR_HAB,LOSS,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.74 ,8.87 ,8.86 ,8.84 ,8.91 ,8.90 ,8.89 ,8.88 ,8.87 ,8.86 ,9.01 ,9.14 
ind13,AVG_30Y,EUR_HAB,LOSS,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.62 ,1.58 ,1.56 ,1.54 ,1.52 ,1.50 ,1.49 ,1.47 ,1.64 ,1.62 ,1.64 ,1.70 
ind13,AVG_30Y,MIO_EUR,LOSS,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,278 ,278 ,278 ,278 ,307 ,307 ,312 ,312 ,334 ,346 ,363 ,352 
ind13,AVG_30Y,MIO_EUR,LOSS,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,66 ,79 ,82 ,82 ,82 ,85 ,85 ,85 ,85 ,87 ,87 ,57 
