sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,PC_GDP,MT,: ,: ,0.25 ,0.24 ,0.49 b,0.53 ,0.58 ,0.55 ,0.53 ,0.51 ,0.59 ,0.67 ,0.8 ,0.74 ,0.69 ,0.72 ,0.56 ,0.55 ,0.58 ,0.56 ,0.65 ,0.63 
TOTAL,PC_GDP,NL,1.79 ,1.8 ,1.75 ,1.78 ,1.79 ,1.77 ,1.74 ,1.67 ,1.62 ,1.67 ,1.7 ,1.88 b,1.92 b,2.16 b,2.17 ,2.15 ,2.15 ,2.18 ,2.14 ,2.18 ,2.31 ,2.25 p
TOTAL,PC_GDP,NO,: ,1.56 ,1.63 ,1.68 ,1.54 ,1.48 ,1.45 ,1.56 ,1.55 ,1.72 ,1.64 ,1.62 ,1.61 ,1.64 ,1.7 ,1.92 ,2.03 ,2.08 ,2.03 ,2.14 ,2.24 ,1.94 p
TOTAL,PC_GDP,PL,0.64 ,0.62 ,0.56 ,0.54 ,0.55 ,0.56 ,0.55 ,0.56 ,0.6 ,0.66 ,0.72 ,0.75 ,0.88 ,0.88 ,0.94 ,1 ,0.96 ,1.03 ,1.21 ,1.32 ,1.39 ,1.44 p
TOTAL,PC_GDP,PT,0.72 e,0.76 ,0.72 e,0.7 ,0.73 e,0.76 ,0.95 e,1.12 ,1.44 b,1.58 ,1.54 ,1.46 ,1.38 ,1.32 ,1.29 ,1.24 ,1.28 ,1.32 ,1.35 ,1.4 ,1.61 ,1.66 p
TOTAL,PC_GDP,RO,0.37 ,0.39 ,0.38 ,0.4 ,0.39 ,0.41 ,0.46 ,0.51 ,0.55 ,0.44 ,0.45 ,0.47 b,0.46 ,0.39 ,0.38 ,0.49 ,0.48 ,0.5 ,0.5 ,0.48 ,0.47 ,0.47 p
TOTAL,PC_GDP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.82 ,0.7 ,0.68 ,0.85 ,0.68 ,0.72 ,0.81 ,0.84 ,0.87 ,0.92 ,0.89 ,0.91 ,0.99 
TOTAL,PC_GDP,RU,0.98 ,1.1 ,1.16 ,1.2 ,1.07 ,0.99 ,1 ,1.04 ,0.97 ,1.17 ,1.05 ,1.02 ,1.03 ,1.03 ,1.07 ,1.1 ,: ,1.11 ,0.99 ,1.04 ,: ,: 
TOTAL,PC_GDP,SE,: ,3.87 e,: ,3.58 e,3.36 e,3.36 b,3.48 e,3.23 ,3.47 e,3.4 ,3.17 e,3.19 ,3.23 e,3.26 e,3.1 e,3.22 ,3.25 e,3.36 ,3.32 ,3.39 ,3.49 ,3.36 
TOTAL,PC_GDP,SI,1.36 ,1.47 ,1.44 ,1.25 ,1.37 ,1.42 ,1.54 ,1.43 ,1.63 b,1.81 ,2.05 ,2.41 b,2.56 ,2.56 ,2.37 ,2.2 ,2.01 ,1.87 ,1.95 ,2.04 ,2.14 ,2.14 p
TOTAL,PC_GDP,SK,0.64 ,0.62 ,0.56 ,0.56 ,0.5 ,0.49 ,0.47 ,0.45 ,0.46 ,0.47 ,0.61 ,0.65 ,0.79 ,0.82 ,0.88 ,1.16 ,0.79 ,0.88 ,0.84 ,0.82 ,0.9 ,0.93 
TOTAL,PC_GDP,TR,0.47 ,0.52 ,0.51 ,0.47 ,0.5 ,0.56 ,0.55 ,0.69 ,0.69 ,0.8 ,0.79 ,0.79 ,0.83 ,0.81 ,0.86 ,0.88 ,0.94 ,0.95 ,1.03 ,1.06 ,1.09 ,: 
TOTAL,PC_GDP,UK,1.62 ,1.61 ,1.62 ,1.58 ,1.54 ,1.56 ,1.58 ,1.62 ,1.61 e,1.67 e,1.64 e,1.65 b,1.58 e,1.62 ,1.64 e,1.65 ,1.66 e,1.68 ,1.73 ,1.76 p,: ,: 
TOTAL,PC_GDP,US,2.63 d,2.65 d,2.56 d,2.56 d,2.5 bd,2.52 d,2.56 d,2.63 d,2.76 d,2.81 d,2.73 d,2.76 d,2.67 d,2.7 d,2.72 d,2.79 d,2.85 bd,2.86 d,2.96 d,3.17 d,3.42 d,: 
