sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
BES,PC_GDP,SI,0.77 ,0.85 ,0.86 ,0.8 ,0.92 ,0.83 ,0.93 ,0.85 ,1.05 b,1.17 ,1.39 ,1.78 b,1.94 ,1.96 ,1.83 ,1.67 ,1.52 ,1.39 ,1.44 ,1.51 ,1.57 ,1.57 p
BES,PC_GDP,SK,0.42 ,0.42 ,0.36 ,0.31 ,0.25 ,0.25 ,0.2 ,0.18 ,0.2 ,0.19 ,0.25 ,0.24 ,0.33 ,0.38 ,0.32 ,0.32 ,0.4 ,0.48 ,0.45 ,0.45 ,0.49 ,0.52 
BES,PC_GDP,TR,0.16 ,0.18 ,0.15 ,0.11 ,0.12 ,0.19 ,0.2 ,0.28 ,0.3 ,0.32 ,0.34 ,0.34 ,0.37 ,0.39 ,0.43 ,0.44 ,0.51 ,0.54 ,0.62 ,0.68 ,0.71 ,: 
BES,PC_GDP,UK,1.05 ,1.05 b,1.05 ,1.01 ,0.96 ,0.96 ,0.97 ,1.01 ,1 ,1.01 ,1 ,1.05 b,1 ,1.04 ,1.07 ,1.09 ,1.11 ,1.14 ,1.17 ,1.19 p,: ,: 
BES,PC_GDP,US,1.95 d,1.91 d,1.77 d,1.75 d,1.71 d,1.73 d,1.79 d,1.86 d,1.97 d,1.95 d,1.85 d,1.89 d,1.86 d,1.91 d,1.94 d,1.95 d,2.03 d,2.08 d,2.17 d,2.38 ,2.58 ,: 
GOV,PC_GDP,AT,: ,: ,0.12 ,: ,0.11 ,0.12 e,0.12 ,0.13 ,0.14 e,0.14 ,0.14 e,0.14 ,0.13 e,0.13 ,0.14 e,0.14 ,0.22 e,0.22 ,0.22 e,0.23 ,0.24 e,0.24 e
GOV,PC_GDP,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.04 ,0.02 ,0.05 ,: ,: ,: ,: ,0.01 ,0.01 ,: 
GOV,PC_GDP,BE,0.12 ,0.13 ,0.14 ,0.13 ,0.14 ,0.15 ,0.15 ,0.15 ,0.17 ,0.18 ,0.17 ,0.18 ,0.19 b,0.2 ,0.21 ,0.22 ,0.24 ,0.25 ,0.26 ,0.28 ,0.28 e,0.28 p
GOV,PC_GDP,BG,0.34 ,0.3 ,0.33 ,0.33 ,0.32 ,0.3 ,0.28 ,0.25 ,0.26 ,0.27 ,0.21 ,0.19 ,0.18 ,0.19 ,0.2 ,0.2 ,0.16 ,0.17 ,0.17 ,0.21 ,0.22 ,0.21 p
GOV,PC_GDP,CH,0.03 bd,: ,0.03 d,: ,0.03 d,: ,0.02 d,: ,0.02 d,: ,0.02 d,: ,0.02 ,: ,0.03 ,0.03 ,: ,0.03 ,: ,0.03 ,: ,: 
GOV,PC_GDP,CY,0.11 ,0.11 ,0.11 ,0.12 ,0.12 ,0.12 ,0.11 ,0.1 ,0.09 ,0.09 ,0.09 ,0.07 ,0.07 ,0.07 ,0.07 ,0.06 ,0.06 ,0.05 ,0.05 ,0.05 ,0.05 ,0.05 p
GOV,PC_GDP,CZ,0.28 ,0.26 ,0.25 ,0.27 ,0.26 ,0.26 ,0.27 ,0.3 ,0.29 ,0.31 ,0.3 ,0.32 ,0.34 ,0.36 ,0.37 ,0.39 ,0.3 ,0.3 ,0.31 ,0.31 ,0.34 ,0.33 p
GOV,PC_GDP,DE,0.33 ,0.33 d,0.33 d,0.33 d,0.33 d,0.34 d,0.34 d,0.34 d,0.37 d,0.41 d,0.4 d,0.41 d,0.41 d,0.42 d,0.42 d,0.41 d,0.41 d,0.41 d,0.42 d,0.43 d,0.46 d,0.47 dp
GOV,PC_GDP,DK,0.28 ,0.27 ,0.18 b,0.18 ,0.17 ,0.15 ,0.16 ,0.08 b,0.07 ,0.06 ,0.06 ,0.06 ,0.07 ,0.07 ,0.07 ,0.07 ,0.07 ,0.09 ,0.09 ,0.09 p,0.1 ,0.1 p
GOV,PC_GDP,EA19,0.26 e,0.26 e,0.26 e,0.26 e,0.26 e,0.26 e,0.26 e,0.25 e,0.26 e,0.29 e,0.27 e,0.27 e,0.28 e,0.28 e,0.27 e,0.27 e,0.27 e,0.27 e,0.27 e,0.27 e,0.29 e,0.29 p
GOV,PC_GDP,EA20,0.26 e,0.26 e,0.26 e,0.26 e,0.26 e,0.26 e,0.26 e,0.25 e,0.26 e,0.29 e,0.27 e,0.27 e,0.28 e,0.27 e,0.27 e,0.27 e,0.27 e,0.27 e,0.27 e,0.27 e,0.29 e,0.29 p
GOV,PC_GDP,EE,0.14 ,0.1 ,0.12 ,0.12 ,0.11 ,0.1 ,0.15 ,0.09 ,0.15 ,0.15 ,0.17 ,0.19 ,0.2 ,0.15 ,0.16 ,0.16 ,0.14 ,0.15 ,0.16 ,0.17 ,0.17 ,0.16 p
GOV,PC_GDP,EL,: ,0.12 ,: ,0.11 ,0.1 e,0.12 ,0.12 e,0.12 e,0.23 be,0.16 e,0.14 e,0.16 ,0.18 ,0.23 ,0.23 ,0.27 ,0.25 ,0.26 ,0.27 ,0.29 ,0.32 ,0.32 p
