nace_r2,ceparema,na_item,ty,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.57 ,2.45 ,2.38 ,2.31 ,2.21 ,2.24 ,2.68 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.82 ,1.81 ,1.85 ,1.92 ,1.95 ,1.96 ,2.39 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.81 ,3.15 ,2.79 b,2.99 b,3.17 ,3.25 ,3.26 ,3.44 ,3.24 ,3.53 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.94 ,4.43 ,4.87 ,4.72 ,4.59 ,4.53 ,4.97 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.68 ,1.73 ,1.7 ,1.66 ,1.76 ,2 ,2.29 p,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.13 ,2.22 ,2.17 ,2.16 ,2.26 ,2.23 ,2.69 ,3.08 p
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,EU27_2020,1.61 s,1.62 s,1.68 s,1.68 s,1.71 s,1.71 s,1.79 s,1.85 s,1.92 s,2 s,2.09 s,2.18 s,2.24 s,2.24 s,2.16 s,2.2 s,2.24 s,2.24 s,2.27 s,2.34 s,2.53 s,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.34 ,6.63 ,6.74 ,6.92 ,6.08 ,6.17 ,6.24 ,6.37 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,FR,: ,: ,: ,: ,: ,: ,: ,: ,1.54 ,1.62 ,1.77 ,1.8 ,1.78 ,1.8 ,1.79 ,1.78 ,1.75 ,1.84 ,1.92 ,1.89 ,2 p,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.6 ,1.57 ,1.52 ,1.48 ,1.43 ,1.39 ,1.5 ,1.47 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.84 e,0.72 e,0.82 e,0.89 e,1.08 e,1.04 e,0.98 e,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.86 ,1.85 ,1.84 ,1.81 ,2.38 ,2.34 ,2.46 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.74 ,1.73 ,1.98 ,2.04 ,2.08 ,2.21 ,2.3 ,2.41 ,2.37 ,2.66 ,2.92 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,LU,: ,: ,: ,: ,: ,: ,: ,: ,1.65 ,1.52 ,1.66 ,1.66 ,1.58 ,1.7 ,1.76 ,1.62 ,1.75 ,1.81 ,2.06 ,2.75 ,2.96 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.68 ,2.78 ,2.74 ,2.81 ,2.4 ,2.57 ,2.73 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.09 ,1.09 ,1.16 ,1.13 ,1.09 ,0.99 ,1 ,1.07 ,1.28 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,NL,: ,1.64 ,1.68 ,1.71 ,1.68 ,1.65 ,1.7 ,1.72 ,1.79 ,1.82 ,1.89 ,1.98 ,1.94 ,2 ,2.11 ,2.11 ,2.18 ,2.26 ,2.23 ,2.31 ,2.44 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.52 ,2.5 ,2.37 ,2.38 ,2.21 ,2.39 ,2.53 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.31 ,2.24 ,2.3 ,2.27 ,2.24 b,2.2 ,2.4 bp,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,RO,: ,: ,: ,: ,: ,: ,: ,: ,4.12 ,2.46 ,2.74 ,3.23 ,2.42 ,3.39 ,3.56 ,3.36 ,3.26 ,2.75 ,2.87 ,2.59 ,2.58 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.85 p,0.92 p,0.89 p,0.89 p,0.9 p,: ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,SE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.22 ,3.33 ,3.22 ,: c,3.27 ,3.52 ,3.7 ,3.68 ,4 ,4.05 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.51 ,1.51 ,1.72 ,1.69 ,1.81 ,1.57 ,1.69 ,1.59 ,1.62 ,1.61 ,1.73 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.24 e,1.2 e,1.62 e,: 
TOTAL,TOTAL,B1G,TOT_EGSS,PC_GDP,UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.87 ep,1.87 ep,1.82 ep,1.79 ep,1.8 ep,1.88 bep,1.84 ep,1.83 ep,1.97 ep,: ,: ,: 
