indicator,coop_ptn,unit,geo\time,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 
ind9,APPL,P_MHAB,FR,155.74 p,157.08 p,151.85 p,155.87 ,158.69 ,157.12 ,161.69 ,160.06 b,149.53 ,151.24 ,147.66 ,147.72 ,139.12 ,141.68 ,130.97 ,126.91 ,127.52 ,129.20 
ind9,APPL,P_MHAB,HR,6.69 p,5.68 ,4.67 ,3.42 ,2.42 ,3.83 ,2.14 ,2.83 ,2.35 ,4.45 ,4.20 ,3.96 ,4.64 ,5.57 ,8.81 ,6.96 ,6.03 ,5.57 
ind9,APPL,P_MHAB,HU,12.13 p,11.18 ,9.93 ,12.07 ,9.71 ,10.90 ,9.85 ,11.55 ,10.41 ,10.58 b,9.63 ,10.70 ,11.57 ,10.76 ,9.94 ,9.23 ,8.03 ,9.30 
ind9,APPL,P_MHAB,IE,190.96 p,196.57 ,178.75 e,169.70 e,137.29 ,152.88 ,130.58 ,133.54 ,122.41 ,132.40 ,142.57 ,139.69 ,137.14 ,107.81 ,96.16 ,81.65 ,74.76 ,80.09 
ind9,APPL,P_MHAB,IS,168.12 p,111.88 ,138.67 ,93.56 ,163.08 ,116.27 ,136.03 ,128.29 ,117.37 ,155.90 ,141.06 ,166.65 ,144.43 ,113.42 ,115.55 ,154.72 ,94.36 ,106.14 
ind9,APPL,P_MHAB,IT,83.04 p,77.71 ,74.82 b,72.89 ,72.02 ,68.52 ,65.63 ,60.03 ,61.53 ,62.88 ,66.86 ,68.80 ,65.64 ,74.06 ,75.43 ,71.77 ,72.43 ,69.31 
ind9,APPL,P_MHAB,LI,12648.83 p,11285.06 ,11332.11 ,11295.30 ,10010.01 ,9916.22 ,9894.92 ,7463.49 ,6759.68 ,5428.70 ,6113.68 ,7745.27 ,6379.05 ,6342.85 ,6749.48 ,4766.39 ,4373.72 ,4238.40 
ind9,APPL,P_MHAB,LT,26.11 p,17.89 ,10.38 ,13.21 ,8.49 ,9.06 ,13.43 ,8.18 ,7.44 ,6.36 ,4.62 ,2.91 ,4.11 ,3.44 ,2.79 ,0.31 ,0.30 ,0.59 
ind9,APPL,P_MHAB,LU,677.45 p,637.67 ,669.35 ,708.94 ,893.79 b,955.30 ,746.13 ,816.08 ,789.53 ,845.66 b,758.18 ,828.48 ,731.24 ,560.73 ,539.59 ,429.51 ,389.12 ,399.48 
ind9,APPL,P_MHAB,LV,11.62 p,15.79 ,11.50 ,6.75 ,7.21 ,5.61 ,15.17 ,4.01 ,39.75 ,12.29 ,13.59 ,15.26 ,22.88 ,19.29 ,9.09 ,4.51 ,3.13 ,1.77 
ind9,APPL,P_MHAB,ME,1.61 p,3.22 ,0.00 ,3.21 ,1.61 ,1.61 ,0.00 ,0.00 ,1.61 ,1.61 ,0.00 ,0.00 b,0.00 ,: ,: ,: ,: ,: 
ind9,APPL,P_MHAB,MK,2.42 p,0.48 ,0.48 ,0.00 ,0.00 ,0.48 ,0.00 ,0.48 ,0.48 ,0.00 ,0.00 ,0.00 ,0.00 ,: ,: ,: ,: ,: 
ind9,APPL,P_MHAB,MT,98.82 p,122.25 ,115.07 ,105.23 ,147.44 ,162.51 ,211.21 ,142.67 ,100.95 ,57.14 ,72.07 ,74.79 ,147.89 ,65.95 ,66.38 ,37.01 ,17.33 ,19.94 
ind9,APPL,P_MHAB,NL,376.59 p,366.14 ,400.23 ,414.47 ,411.12 ,402.81 ,421.90 ,407.59 ,348.24 ,302.42 ,337.09 ,359.00 ,404.95 ,447.54 ,434.51 ,450.26 ,477.88 ,428.33 
ind9,APPL,P_MHAB,NO,118.71 p,121.20 ,120.80 ,114.84 ,100.63 ,99.91 ,98.29 ,102.97 ,100.20 ,110.59 ,94.28 ,104.11 ,98.37 ,: ,: ,: ,: ,: 
ind9,APPL,P_MHAB,PL,14.24 p,12.61 ep,12.20 e,13.67 e,11.74 ,10.35 ,14.90 ,12.68 ,9.78 ,10.06 ,6.46 ,5.39 b,4.56 ,4.43 ,2.73 ,3.33 ,2.91 ,2.44 
ind9,APPL,P_MHAB,PT,27.77 p,24.38 ,26.44 ,21.49 ,14.56 ,15.21 ,13.61 ,10.86 ,9.08 ,7.23 ,7.67 ,7.66 ,10.69 ,8.05 ,6.73 ,7.51 ,3.90 ,4.96 
ind9,APPL,P_MHAB,RO,1.56 p,2.85 e,2.06 e,2.57 ,2.65 ,1.57 ,1.51 ,1.41 ,1.65 ,1.74 ,0.99 ,0.69 ,0.79 ,0.88 ,0.77 ,0.75 ,0.38 ,0.51 
ind9,APPL,P_MHAB,RS,3.20 p,1.16 ,1.30 ,1.29 ,1.42 ,0.14 ,0.56 ,1.54 ,1.54 ,0.69 ,0.83 b,1.10 ,0.55 ,: ,: ,: ,: ,: 
ind9,APPL,P_MHAB,SE,477.30 p,427.10 ,427.58 ,398.52 ,376.13 ,357.45 ,391.77 ,399.44 ,382.69 ,369.56 ,385.01 ,382.81 ,338.44 ,339.93 ,298.42 ,280.60 ,275.32 ,270.08 
ind9,APPL,P_MHAB,SI,55.00 p,78.48 ,58.42 ,48.22 ,47.43 ,54.72 ,57.18 ,60.62 ,65.54 ,52.50 ,62.84 ,63.95 ,56.38 ,63.33 b,56.98 ,44.85 ,43.49 ,25.54 
