indicator,sex,prof_pos,sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind9,T,TOTAL,GOV,PC_ACT_FTE,IE,0.0787 ,0.0696 b,0.063 ,0.0596 ,0.0609 ,0.0539 ,0.0539 ,0.0524 ,0.0485 ,0.0464 ,0.0466 ,0.0474 ,0.0424 ,0.0373 ,0.0376 ,0.0429 ,0.0439 ,0.0461 ,0.0517 ,0.0507 ,0.0518 ,0.0516 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,IS,: ,: ,: ,0.5032 ,: ,0.5373 ,0.5106 ,0.4054 ,0.4164 ,0.4744 ,: ,0.3474 b,: ,0.1518 b,: ,0.1519 ,0.0989 ,0.1466 ,0.1435 ,: ,: ,0.0864 
ind9,T,TOTAL,GOV,PC_ACT_FTE,IT,0.1344 ,0.127 ,0.1309 ,0.1322 ,0.1352 ,0.1366 ,0.1504 ,0.1478 ,0.1399 ,0.1403 ,0.1442 ,0.1499 ,0.1539 ,0.1593 ,0.1561 ,0.157 ,0.1545 ,0.1549 ,0.1578 ,0.1601 ,0.1703 ,0.1702 
ind9,T,TOTAL,GOV,PC_ACT_FTE,KR,0.0596 d,0.0659 d,0.061 d,0.0648 d,0.0773 d,0.071 d,0.0793 d,0.0864 b,0.0894 ,0.1057 ,0.1089 ,0.1125 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind9,T,TOTAL,GOV,PC_ACT_FTE,LT,0.3027 ,0.2906 ,0.2127 ,0.1961 ,0.1933 ,0.2016 ,0.1922 ,0.1997 ,0.1989 ,0.1959 ,0.171 ,0.1534 ,0.1479 ,0.1551 ,0.1539 ,0.1503 ,0.1674 ,0.171 ,0.1651 ,0.163 ,0.1595 ,0.1645 
ind9,T,TOTAL,GOV,PC_ACT_FTE,LU,0.1655 ,0.2052 ,0.2153 ,0.2466 ,0.2586 ,0.2774 ,0.3098 ,0.3432 ,0.3796 ,0.4002 ,0.4525 ,0.5014 ,0.4788 ,0.4763 ,0.46 ,0.4147 ,0.387 ,0.3947 ,0.3971 ,0.3967 ,0.4208 ,0.4695 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,LV,0.111 ,0.1027 ,0.1054 ,0.0937 ,0.0953 ,0.1197 ,0.1089 ,0.1266 ,0.1391 ,0.1137 ,0.0987 ,0.1164 ,0.1165 ,0.1197 ,0.1224 ,0.1227 ,0.1128 ,0.1031 ,0.1093 ,0.1105 ,0.12 ,0.129 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0666 ,: ,0.0532 ,0.07 ,0.0527 ,0.0546 ,0.0584 ,0.0605 ,0.1033 ,: ,: 
ind9,T,TOTAL,GOV,PC_ACT_FTE,MK,: ,: ,: ,: ,: ,: ,0.0735 ,0.0706 ,0.0685 ,0.0595 ,0.0685 ,0.0361 ,0.07 ,0.0462 ,0.045 ,0.0215 ,0.0296 ,0.0291 ,0.0244 ,0.0225 ,0.0269 ,: 
ind9,T,TOTAL,GOV,PC_ACT_FTE,MT,: ,: ,0.086 ,0.0229 ,0.0287 ,0.0281 ,0.0292 ,0.0202 ,0.0323 ,0.039 ,0.0215 ,0.0212 ,0.0214 ,0.0181 ,0.0187 ,0.021 ,0.0209 ,0.0142 ,0.0147 ,0.0073 ,0.0131 ,0.0132 
ind9,T,TOTAL,GOV,PC_ACT_FTE,NL,0.1567 b,0.157 ,0.1541 ,0.1712 bd,0.1617 d,0.151 d,0.1505 d,0.1408 d,0.14 d,0.1286 d,0.129 d,0.1268 d,0.1506 bd,0.09 bd,0.093 d,0.0927 d,0.0949 d,0.0942 d,0.1018 d,0.1007 d,0.1035 d,0.103 dp
ind9,T,TOTAL,GOV,PC_ACT_FTE,NO,: ,0.2061 ,0.2111 ,0.2149 ,0.2144 ,0.2193 ,0.223 ,0.2324 b,0.2241 ,0.2467 ,0.2481 ,0.2538 ,0.2548 ,0.2562 ,0.2516 ,0.2531 ,0.2515 ,0.2514 ,0.2417 ,0.2399 ,0.2413 ,0.2471 
ind9,T,TOTAL,GOV,PC_ACT_FTE,PL,0.1112 ,0.1028 ,0.1412 ,0.1268 ,0.1177 ,0.106 ,0.1059 ,0.1052 ,0.1089 ,0.1119 ,0.1233 ,0.1298 ,0.1309 ,0.1311 ,0.1347 ,0.1316 ,0.0223 ,0.0275 ,0.0263 ,0.0196 ,0.0268 ,0.0291 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,PT,0.1199 e,0.1189 ,0.1071 e,0.0963 ,0.0926 e,0.0883 ,0.0876 e,0.0871 ,0.0881 ,0.0775 ,0.0664 ,0.0653 ,0.0446 ,0.0406 ,0.0417 ,0.0424 ,0.0431 ,0.045 ,0.0463 ,0.0468 ,0.0528 ,0.0547 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,RO,0.0727 ,0.0819 ,0.0919 ,0.1011 ,0.1044 ,0.1075 ,0.0876 ,0.0927 ,0.109 ,0.1071 ,0.11 ,0.1361 b,0.1446 ,0.1566 ,0.1492 ,0.1503 ,0.1587 ,0.1544 ,0.1487 ,0.151 ,0.1511 ,0.1476 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.1752 ,0.1789 ,0.1858 ,0.1842 ,0.1565 ,0.1806 ,0.1753 ,0.1715 ,0.1753 ,0.1784 ,0.1801 ,0.1796 
ind9,T,TOTAL,GOV,PC_ACT_FTE,RU,0.3798 ,0.3889 ,0.3862 ,0.3857 ,0.387 ,0.4029 ,0.4003 ,0.393 ,0.3738 ,0.3728 ,0.3716 ,0.3647 ,0.387 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind9,T,TOTAL,GOV,PC_ACT_FTE,SE,: ,0.063 ,: ,0.0667 ,0.0676 ,0.0746 be,0.0772 e,0.0685 e,0.0612 e,0.0548 e,0.065 e,0.07 be,0.069 e,0.0654 e,0.0686 e,0.0847 e,0.0845 e,0.0952 ,0.0945 ,0.1016 ,0.1044 ,0.1103 bd
ind9,T,TOTAL,GOV,PC_ACT_FTE,SI,0.2723 ,0.2506 ,0.2392 ,0.1772 ,0.1784 ,0.254 ,0.2851 ,0.3074 ,0.3193 ,0.3223 ,0.3119 ,0.2657 b,0.261 ,0.2644 ,0.2533 ,0.2477 ,0.2568 ,0.2316 ,0.2482 ,0.2645 ,0.2677 ,0.278 p
ind9,T,TOTAL,GOV,PC_ACT_FTE,SK,0.1624 ,0.1521 d,0.1466 d,0.147 d,0.1322 d,0.141 d,0.1408 d,0.1593 d,0.157 d,0.1437 d,0.1574 d,0.1498 d,0.1506 d,0.1276 d,0.1491 d,0.1551 ,0.1568 ,0.1503 ,0.1456 ,0.1468 ,0.1501 ,0.1554 
ind9,T,TOTAL,GOV,PC_ACT_FTE,TR,: ,: ,: ,: ,: ,: ,0.0444 ,0.0431 ,0.0431 ,0.0464 ,0.046 ,0.0456 ,0.0458 ,0.044 ,0.0435 ,0.0427 ,0.0396 d,0.0368 d,0.0363 ,0.0281 ,0.0314 ,: 
