asyl_app,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
NASY_APP,MT,6363 ,5782 ,350 ,4480 ,4904 ,5165 ,2934 ,3809 ,3810 ,3440 ,4199 ,7965 ,4677 ,2314 
NASY_APP,NL,814 ,900 ,800 ,693 ,577 ,584 ,1291 ,2540 ,1132 ,939 ,1188 ,1296 ,783 ,1410 
NASY_APP,NO,2941 ,3411 ,1896 ,1720 ,1835 ,2250 ,2124 ,5873 ,620 ,635 ,476 ,405 ,246 ,295 
NASY_APP,PL,189 ,253 ,114 b,131 ,241 ,367 ,148 ,270 ,258 ,79 ,63 e,73 e,40 ep,165 ep
NASY_APP,PT,15 ,13 ,15 ,26 ,28 ,48 ,42 ,84 ,69 ,99 ,121 ,169 ,87 ,131 bp
NASY_APP,RO,: ,: ,: ,84 ,121 ,70 ,75 ,62 ,94 ,240 ,100 ,127 e,313 e,474 e
NASY_APP,SE,2633 ,2539 ,3389 ,3136 ,4605 ,5128 ,7733 ,15931 ,2251 ,2206 ,1776 ,2250 ,1313 ,974 
NASY_APP,SI,119 b,86 ,95 ,149 ,126 ,117 ,172 ,126 ,613 ,694 ,1350 ,1731 ,1648 ,2476 
NASY_APP,SK,: ,: ,58 ,59 ,102 ,54 ,42 ,50 ,18 ,28 ,28 ,39 ,49 ,61 
NASY_APP,UK,506 ,492 ,360 ,409 ,438 ,462 ,497 ,610 ,598 ,520 ,578 ,662 ,: ,: 
