indicator,sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind1,T,Y_LT65,PC_Y_LT65,DE,9.5 ,9.4 ,8.7 ,8.0 ,7.6 ,8.3 b,9.3 
ind1,T,Y_LT65,PC_Y_LT65,DK,11.9 ,11.1 ,10.5 ,10.0 ,9.5 ,9.1 ,9.7 
ind1,T,Y_LT65,PC_Y_LT65,EA19,10.8 ,10.8 ,9.9 ,9.1 ,8.8 ,9.2 ,10.0 
ind1,T,Y_LT65,PC_Y_LT65,EE,6.2 ,5.5 ,5.4 ,5.3 ,5.3 ,4.8 ,5.1 
ind1,T,Y_LT65,PC_Y_LT65,EL,15.3 ,15.7 ,14.3 ,13.6 ,12.7 ,11.8 ,12.1 
ind1,T,Y_LT65,PC_Y_LT65,ES,15.4 ,14.9 ,12.8 ,10.8 ,10.9 ,10.0 ,11.6 
ind1,T,Y_LT65,PC_Y_LT65,EU,10.3 ,10.1 ,9.2 ,8.5 ,8.1 e,: ,: 
ind1,T,Y_LT65,PC_Y_LT65,EU27_2007,: ,: ,: ,: ,8.1 e,: ,: 
ind1,T,Y_LT65,PC_Y_LT65,EU27_2020,10.1 ,10.0 ,9.1 ,8.5 ,8.1 e,8.3 ,8.9 
ind1,T,Y_LT65,PC_Y_LT65,EU28,10.3 ,10.1 ,9.2 ,8.5 ,8.1 e,: ,: 
ind1,T,Y_LT65,PC_Y_LT65,FI,11.5 ,12.1 ,11.4 ,11.1 ,10.0 ,10.3 ,8.6 
ind1,T,Y_LT65,PC_Y_LT65,FR,8.3 ,7.8 ,7.7 ,7.5 ,7.1 ,9.7 b,10.7 
ind1,T,Y_LT65,PC_Y_LT65,HR,12.3 ,11.1 ,10.6 ,9.3 ,7.5 ,7.2 ,7.5 
ind1,T,Y_LT65,PC_Y_LT65,HU,8.8 ,7.7 ,6.3 ,5.5 ,4.9 ,4.9 ,5.3 
ind1,T,Y_LT65,PC_Y_LT65,IE,18.8 ,17.8 ,16.1 ,13.2 ,13.8 ,11.5 b,13.0 
ind1,T,Y_LT65,PC_Y_LT65,IS,5.2 ,4.3 ,4.0 ,4.0 ,: ,: ,: 
ind1,T,Y_LT65,PC_Y_LT65,IT,11.2 ,12.1 ,10.8 ,10.7 ,9.6 ,10.2 ,10.8 p
ind1,T,Y_LT65,PC_Y_LT65,LT,9.1 ,10.2 ,9.4 ,9.2 ,7.6 ,7.2 ,7.8 
ind1,T,Y_LT65,PC_Y_LT65,LU,5.4 ,6.5 ,6.5 ,7.8 ,6.9 ,7.1 b,5.5 b
ind1,T,Y_LT65,PC_Y_LT65,LV,7.7 ,7.0 ,7.3 ,7.3 ,7.4 ,7.4 ,6.6 
ind1,T,Y_LT65,PC_Y_LT65,ME,22.2 ,23.3 ,23.2 ,22.6 ,17.5 ,14.0 ,: 
ind1,T,Y_LT65,PC_Y_LT65,MK,17.6 ,16.4 ,16.9 ,16.2 ,13.5 ,14.8 ,: 
ind1,T,Y_LT65,PC_Y_LT65,MT,9.2 ,6.8 ,6.6 ,5.3 ,4.9 ,5.4 ,5.3 
ind1,T,Y_LT65,PC_Y_LT65,NL,10.0 ,9.5 ,9.4 ,8.4 ,8.9 ,8.7 ,8.6 
ind1,T,Y_LT65,PC_Y_LT65,NO,7.4 ,7.2 ,8.1 ,8.2 ,7.7 ,9.0 ,: 
ind1,T,Y_LT65,PC_Y_LT65,PL,6.9 ,6.6 ,5.8 ,5.7 ,5.0 ,4.3 ,4.2 p
