indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,SI,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.2 ,0.4 ,4.1 ,3.9 ,3.0 ,3.1 ,5.3 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,SK,1.6 ,1.9 ,1.9 ,2.7 ,2.5 ,2.0 ,2.2 ,2.3 ,2.5 ,2.5 ,2.8 ,2.8 ,3.5 ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,TR,14.2 ,16.0 ,17.9 ,13.5 ,11.4 ,11.7 ,9.9 ,7.4 ,4.1 ,2.9 ,3.3 ,3.2 ,2.2 ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,UK,1.1 ,1.4 ,1.0 ,1.4 ,1.4 ,1.9 ,2.2 ,3.1 ,1.2 ,3.7 b,5.1 ,: ,: ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.3 ,: ,: ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.3 ,13.3 ,13.3 ,9.4 ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,AT,0.7 ,0.4 ,0.6 ,0.5 ,0.3 ,0.3 ,0.2 ,0.1 ,0.2 ,0.1 ,0.1 ,0.3 ,0.1 ,0.3 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,BE,0.5 ,0.6 ,0.3 ,1.2 b,1.6 ,1.4 ,2.3 ,2.0 ,2.2 ,1.6 ,1.5 ,1.5 b,1.2 ,1.4 ,0.8 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,BG,13.5 ,8.7 ,9.6 ,9.1 ,7.8 ,8.5 ,5.1 ,4.4 ,2.5 ,1.8 ,1.8 ,1.6 ,1.4 ,0.9 ,0.7 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,CH,0.9 ,0.8 ,0.7 ,0.7 ,0.6 ,1.0 ,1.2 ,0.3 ,0.6 ,0.3 ,0.7 ,0.6 ,0.5 ,0.5 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,CY,2.1 ,2.8 ,3.2 ,3.8 ,2.6 ,3.8 ,4.2 ,1.3 ,0.5 ,1.1 ,1.5 ,0.8 ,0.2 ,0.1 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,CZ,0.7 ,0.5 ,0.9 ,0.9 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.4 ,0.2 ,0.3 ,0.5 ,0.4 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,DE,2.2 ,1.9 ,1.6 ,1.6 ,1.5 ,1.4 ,1.4 ,0.5 ,0.3 ,0.2 ,0.2 ,0.2 ,0.1 b,0.1 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,DK,0.5 ,1.1 ,0.7 ,0.9 ,1.0 ,1.3 ,1.8 ,1.2 ,1.4 ,1.1 ,1.2 ,1.8 ,1.8 ,1.1 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EA19,2.0 ,2.1 ,2.0 ,2.2 ,2.3 ,2.6 ,2.8 ,2.4 ,2.0 ,1.1 ,1.2 ,1.1 ,1.4 e,1.5 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EE,5.5 ,3.8 ,4.4 ,5.9 ,6.9 ,6.6 ,8.7 ,10.5 ,12.5 ,9.3 ,14.5 ,12.8 ,11.1 ,6.3 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EL,4.5 ,4.2 ,4.2 ,6.3 ,6.9 ,8.0 ,9.6 ,11.2 ,11.6 ,8.7 ,7.7 ,6.9 ,5.4 ,5.5 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,ES,0.3 ,0.3 ,0.2 ,0.5 ,0.6 ,0.7 ,0.6 ,0.5 ,0.5 ,0.1 ,0.2 ,0.2 ,0.4 ,1.0 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EU,2.6 ,2.5 ,2.6 ,2.9 ,2.9 ,3.1 ,3.1 ,2.8 ,2.2 ,1.4 ,1.6 ,1.6 e,: ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EU27_2007,2.6 ,2.5 ,2.5 ,2.8 ,2.9 ,3.1 ,3.1 ,2.8 ,2.2 ,1.4 ,1.6 ,1.6 e,: ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EU27_2020,: ,: ,2.8 e,3.2 e,3.1 e,3.3 e,3.3 e,2.9 e,2.3 e,1.4 e,1.5 e,1.4 e,1.5 e,1.6 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,EU28,: ,: ,2.6 ,2.9 ,2.9 ,3.1 ,3.1 ,2.8 ,2.2 ,1.4 ,1.6 ,1.6 e,: ,: ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,FI,0.6 ,2.9 ,3.0 ,3.0 ,3.6 ,3.1 ,2.5 ,3.6 b,3.2 ,2.5 ,3.6 ,3.7 ,4.4 ,3.7 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,FR,1.4 ,1.5 ,1.6 ,1.8 ,1.6 ,1.9 ,2.1 ,0.9 ,1.1 ,0.9 ,0.8 ,1.1 ,2.0 b,2.2 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,HR,: ,: ,5.8 ,4.8 ,2.9 ,2.7 ,2.5 ,1.6 ,1.4 ,1.5 ,1.2 ,1.1 ,1.2 ,1.3 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,HU,2.8 ,1.8 ,1.4 ,2.5 ,2.4 ,2.3 ,2.1 ,2.4 ,1.1 ,0.8 ,0.7 ,0.9 ,0.6 ,0.8 ,: 
ind1,Y_GE16,M,TOOEFW,PC,TOTAL,IE,1.4 ,1.7 ,1.8 ,1.9 ,3.1 ,2.7 ,3.1 ,2.3 ,2.4 ,3.0 ,1.9 ,1.6 ,1.7 b,1.5 ,: 
