indicator,age,incgrp,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind1,TOTAL,A_MD60,T,PC,SE,: ,0.9 ,0.8 ,0.9 ,0.8 ,0.9 b,1.2 ,1.4 ,1.4 ,1.2 ,1.1 ,1.2 ,1.5 ,1.9 ,1.6 ,1.8 ,1.5 ,2.0 
ind1,TOTAL,A_MD60,T,PC,SI,: ,: ,11.1 ,12.2 ,10.9 ,15.1 ,16.6 ,13.9 ,7.6 b,6.8 ,5.2 ,5.4 ,4.5 ,3.6 ,3.9 ,4.2 ,3.5 ,2.7 
ind1,TOTAL,A_MD60,T,PC,SK,: ,: ,5.3 ,4.5 ,3.6 ,4.8 b,3.3 ,2.9 ,3.3 ,3.6 ,2.7 ,2.0 ,2.6 ,2.5 ,3.0 ,2.2 ,2.0 ,2.1 
ind1,TOTAL,A_MD60,T,PC,TR,: ,: ,: ,23.2 ,20.1 ,19.1 ,22.1 ,21.3 ,21.0 ,21.1 ,19.9 ,19.7 ,19.4 ,19.1 ,18.1 ,17.2 ,16.9 ,15.9 
ind1,TOTAL,A_MD60,T,PC,UK,: ,: ,1.4 ,1.7 ,1.8 ,1.8 ,2.1 ,2.1 ,2.6 ,1.6 b,2.3 ,1.8 ,1.6 ,1.8 ,0.7 b,1.5 ,: ,: 
ind1,TOTAL,A_MD60,T,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.9 ,: ,: 
ind1,TOTAL,B_MD60,T,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,34.3 ,39.1 ,33.0 ,26.1 
ind1,TOTAL,B_MD60,T,PC,AT,4.1 ,9.3 ,9.3 ,7.8 ,9.4 ,11.8 b,10.9 ,11.0 ,9.1 ,10.9 ,11.0 ,9.3 ,11.4 ,10.3 ,10.9 ,10.6 ,6.0 ,6.3 
ind1,TOTAL,B_MD60,T,PC,BE,6.9 ,3.1 ,7.2 ,4.8 ,4.7 ,5.0 ,5.6 ,5.9 ,4.6 ,1.9 ,4.7 ,3.8 ,4.1 ,6.1 b,7.7 ,8.1 ,5.7 b,5.6 
ind1,TOTAL,B_MD60,T,PC,BG,: ,: ,: ,45.2 ,44.1 ,41.5 b,35.6 ,34.8 ,34.9 ,32.3 ,35.7 ,34.4 b,27.2 ,29.2 b,27.2 ,26.2 ,22.8 ,20.9 
ind1,TOTAL,B_MD60,T,PC,CH,: ,: ,: ,: ,5.2 ,1.9 ,3.5 ,4.0 ,2.5 ,3.5 ,2.7 ,4.9 b,4.3 ,6.1 ,6.3 ,4.4 ,2.4 ,3.9 
ind1,TOTAL,B_MD60,T,PC,CY,: ,: ,4.2 ,3.7 ,2.2 ,2.7 b,0.8 ,4.4 ,5.7 ,3.6 ,3.2 ,2.9 ,1.0 ,3.7 ,3.9 ,3.2 ,3.7 ,2.9 
ind1,TOTAL,B_MD60,T,PC,CZ,: ,: ,21.5 ,30.4 ,25.1 ,18.4 ,18.1 ,12.8 ,12.5 ,13.5 ,13.2 ,12.9 ,11.0 ,9.9 ,4.8 ,5.3 ,7.6 ,5.2 
ind1,TOTAL,B_MD60,T,PC,DE,: ,: ,4.6 ,4.5 ,4.9 ,5.2 ,7.6 ,6.3 ,7.4 ,5.3 ,4.8 ,6.1 ,5.2 ,6.0 ,5.4 ,5.9 ,5.5 ,2.6 b
ind1,TOTAL,B_MD60,T,PC,DK,9.1 ,5.6 ,3.6 ,3.8 ,5.7 ,4.7 ,4.5 ,4.2 ,6.9 b,8.5 ,8.4 ,6.9 ,10.4 ,4.3 ,9.7 ,12.4 ,11.7 ,11.8 
ind1,TOTAL,B_MD60,T,PC,EA18,: ,: ,9.4 ,8.8 ,9.1 ,8.5 ,9.3 ,8.7 ,9.2 ,8.8 ,8.8 ,9.3 ,9.0 ,8.8 ,6.5 ,7.4 ,6.4 ,7.7 
ind1,TOTAL,B_MD60,T,PC,EA19,: ,: ,9.9 ,9.2 ,9.4 ,8.8 ,9.5 ,8.9 ,9.3 ,8.8 ,8.9 ,9.4 ,9.1 ,8.9 ,6.6 ,7.4 ,6.5 ,7.7 
ind1,TOTAL,B_MD60,T,PC,EE,: ,31.2 ,29.1 ,25.4 ,24.1 ,16.8 ,20.8 ,20.9 ,12.1 ,9.6 ,7.6 ,6.9 b,4.5 ,4.6 ,4.0 ,2.8 ,4.5 ,3.7 
ind1,TOTAL,B_MD60,T,PC,EL,15.7 ,11.3 ,14.7 ,14.7 ,14.5 ,13.6 ,13.0 ,14.0 ,14.2 ,13.2 ,11.8 ,11.6 ,12.1 ,11.9 ,12.1 ,12.1 ,11.7 ,13.7 
