indicator,nrg_bal,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind7,REN,PC,PT,19.205 ,19.523 ,20.792 ,21.907 ,22.929 ,24.405 ,24.150 ,24.603 ,24.574 ,25.699 ,29.508 ,30.514 ,30.864 ,30.611 ,30.203 ,30.623 ,33.982 ,33.982 
ind7,REN,PC,RO,16.811 ,17.571 ,17.096 ,18.195 ,20.204 ,22.157 ,22.834 ,21.743 ,22.825 ,23.886 ,24.845 ,24.785 ,25.032 ,24.454 ,23.875 ,24.290 ,24.478 ,23.596 
ind7,REN,PC,RS,12.724 ,14.257 ,14.542 ,14.327 ,15.888 ,21.024 ,19.763 ,19.118 ,20.790 ,21.095 ,22.864 ,21.989 ,21.147 ,20.287 ,20.320 ,21.443 ,26.297 ,25.280 
ind7,REN,PC,SE,38.427 ,39.982 ,41.734 ,43.224 ,43.922 ,47.024 ,46.099 ,47.632 ,49.403 ,50.153 ,51.151 ,52.220 ,52.597 ,53.390 ,53.916 ,55.785 ,60.124 ,62.573 
ind7,REN,PC,SI,18.397 ,19.809 ,18.416 ,19.675 ,18.646 ,20.765 ,21.081 ,20.937 ,21.551 ,23.160 ,22.459 ,22.879 ,21.975 ,21.658 ,21.378 ,21.968 ,25.000 ,25.000 
ind7,REN,PC,SK,6.391 ,6.360 ,6.584 ,7.766 ,7.723 ,9.368 ,9.099 ,10.348 ,10.453 ,10.133 ,11.713 ,12.882 ,12.029 ,11.465 ,11.896 ,16.894 ,17.345 ,17.412 
ind7,REN,PC,XK,20.541 ,19.773 ,19.511 ,18.812 ,18.429 ,18.230 ,18.230 ,17.598 ,18.625 ,18.823 ,19.544 ,18.484 ,24.472 ,23.082 ,24.616 ,24.215 ,24.401 ,22.364 
ind7,REN_ELC,PC,AL,69.979 ,76.112 ,74.208 ,79.631 ,73.299 ,70.714 ,74.618 ,66.131 ,72.427 ,62.665 ,70.985 ,79.222 ,82.104 ,91.025 ,92.450 ,92.994 ,99.975 ,94.421 
ind7,REN_ELC,PC,AT,61.627 ,62.901 ,63.527 ,65.666 ,65.880 ,68.626 ,66.361 ,66.779 ,67.439 ,68.909 ,71.059 ,71.487 ,72.521 ,71.626 ,74.189 ,75.067 ,78.204 ,76.185 
ind7,REN_ELC,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,38.394 ,38.726 ,40.829 ,39.564 ,41.498 ,45.482 ,49.308 ,: 
ind7,REN_ELC,PC,BE,1.714 ,2.386 ,3.130 ,3.662 ,4.625 ,6.176 ,7.332 ,8.989 ,11.338 ,12.547 ,13.414 ,15.573 ,15.834 ,17.214 ,18.886 ,20.817 ,25.122 ,26.013 
ind7,REN_ELC,PC,BG,8.358 ,8.666 ,8.730 ,8.899 ,9.544 ,10.906 ,12.358 ,12.621 ,15.816 ,18.682 ,18.686 ,18.975 ,19.147 ,19.022 ,22.355 ,23.509 ,23.586 ,18.790 
ind7,REN_ELC,PC,CY,0.019 ,0.024 ,0.034 ,0.074 ,0.285 ,0.589 ,1.390 ,3.445 ,4.927 ,6.654 ,7.399 ,8.445 ,8.587 ,8.911 ,9.357 ,9.756 ,12.041 ,14.840 
ind7,REN_ELC,PC,CZ,3.693 ,3.782 ,4.096 ,4.621 ,5.182 ,6.378 ,7.516 ,10.610 ,11.667 ,12.781 ,13.890 ,14.072 ,13.615 ,13.654 ,13.711 ,14.046 ,14.810 ,14.544 
ind7,REN_ELC,PC,DE,9.436 ,10.577 ,11.944 ,13.727 ,15.142 ,17.521 ,18.241 ,20.930 ,23.605 ,25.284 ,28.172 ,30.882 ,32.273 ,34.612 ,37.591 ,40.604 ,44.215 ,43.681 
ind7,REN_ELC,PC,DK,23.754 ,24.647 ,23.966 ,25.001 ,25.936 ,28.257 ,32.735 ,35.874 ,38.716 ,43.084 ,48.493 ,51.292 ,53.717 ,59.940 ,62.394 ,65.347 ,65.323 ,62.647 
ind7,REN_ELC,PC,EA20,14.742 ,15.321 ,15.941 ,16.742 ,17.714 ,19.773 ,20.473 ,22.584 ,24.438 ,26.125 ,28.021 ,29.037 ,29.686 ,30.763 ,31.936 ,33.881 ,37.592 ,: 
ind7,REN_ELC,PC,EE,0.546 ,1.127 ,1.428 ,1.432 ,1.972 ,5.966 ,10.294 ,12.199 ,15.670 ,12.948 ,14.017 ,16.152 ,16.194 ,17.583 ,19.679 ,21.998 ,28.293 ,29.340 
ind7,REN_ELC,PC,EL,7.842 ,8.213 ,8.924 ,9.330 ,9.646 ,11.016 ,12.307 ,13.810 ,16.364 ,21.241 ,21.923 ,22.089 ,22.657 ,24.464 ,26.001 ,31.295 ,35.856 ,35.934 
ind7,REN_ELC,PC,ES,19.018 ,19.166 ,20.027 ,21.718 ,23.777 ,27.882 ,29.748 ,31.530 ,33.438 ,36.027 ,37.128 ,36.972 ,36.676 ,36.465 ,35.236 ,37.131 ,42.944 ,45.962 
ind7,REN_ELC,PC,EU27_2020,15.871 ,16.402 ,16.879 ,17.647 ,18.526 ,20.654 ,21.283 ,23.300 ,25.138 ,26.769 ,28.601 ,29.655 ,30.172 ,31.104 ,32.134 ,34.086 ,37.408 ,37.506 
ind7,REN_ELC,PC,FI,26.711 ,26.918 ,26.420 ,25.468 ,26.745 ,26.822 ,27.216 ,28.964 ,29.110 ,30.543 ,31.114 ,32.207 ,32.716 ,35.044 ,36.539 ,37.969 ,39.564 ,39.531 
ind7,REN_ELC,PC,FR,13.782 ,13.738 ,14.058 ,14.289 ,14.358 ,15.088 ,14.815 ,16.179 ,16.548 ,16.977 ,18.465 ,18.821 ,19.209 ,19.933 ,21.131 ,22.389 ,24.819 ,25.016 
ind7,REN_ELC,PC,HR,35.027 ,35.184 ,34.818 ,33.976 ,33.865 ,35.877 ,37.520 ,37.592 ,38.764 ,42.077 ,45.241 ,45.409 ,46.667 ,46.437 ,48.139 ,49.783 ,53.816 ,53.471 
ind7,REN_ELC,PC,HU,2.220 ,4.419 ,3.453 ,4.193 ,5.317 ,6.958 ,7.103 ,6.379 ,6.057 ,6.600 ,7.305 ,7.341 ,7.292 ,7.513 ,8.306 ,9.969 ,11.904 ,13.660 
ind7,REN_ELC,PC,IE,6.031 ,7.196 ,8.505 ,9.534 ,10.822 ,14.061 ,15.642 ,18.252 ,19.838 ,20.960 ,23.320 ,25.725 ,27.069 ,30.318 ,33.317 ,36.460 ,39.055 ,36.403 
ind7,REN_ELC,PC,IS,93.148 ,94.928 ,93.497 ,113.700 ,90.847 ,92.861 ,92.419 ,93.915 ,95.422 ,96.719 ,97.063 ,93.110 ,95.310 ,93.376 ,98.497 ,100.640 ,102.709 ,99.627 
ind7,REN_ELC,PC,IT,16.086 ,16.293 ,15.926 ,15.954 ,16.645 ,18.807 ,20.091 ,23.546 ,27.420 ,31.302 ,33.420 ,33.459 ,34.012 ,34.104 ,33.930 ,34.969 ,38.081 ,35.996 
ind7,REN_ELC,PC,LT,3.587 ,3.831 ,4.016 ,4.652 ,4.914 ,5.869 ,7.401 ,9.020 ,10.876 ,13.149 ,13.705 ,15.543 ,16.872 ,18.255 ,18.408 ,18.790 ,20.166 ,21.278 
