sex,wstatus,unit,age,citizen,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
T,POP,PC,Y18-24,NAT,HU,12.5 ,12.5 ,12.5 b,11.4 ,11.7 ,11.4 ,10.7 ,11.4 ,11.7 ,11.9 ,11.5 b,11.6 b,12.4 ,12.5 ,12.6 ,11.8 ,12.1 ,12.0 b
T,POP,PC,Y18-24,NAT,IE,13.2 ,12.5 ,12.3 b,12.3 b,11.9 ,11.2 ,11.0 ,10.2 ,9.2 ,8.1 ,6.7 b,6.8 ,5.9 ,5.1 b,5.2 ,5.2 ,5.0 ,3.3 b
T,POP,PC,Y18-24,NAT,IS,24.6 ,24.6 ,: u,23.2 ,23.5 ,20.9 b,22.5 ,19.1 ,19.2 ,19.9 ,18.3 b,18.1 ,19.6 ,17.6 ,20.4 ,18.0 ,14.1 b,13.5 b
T,POP,PC,Y18-24,NAT,IT,: ,20.8 ,18.9 b,18.0 ,17.6 ,16.9 ,16.4 ,15.4 ,14.9 ,14.9 ,13.1 b,12.8 ,11.9 ,12.1 ,12.3 ,11.3 ,11.0 ,10.9 b
T,POP,PC,Y18-24,NAT,LT,10.3 ,8.4 ,8.9 b,7.8 ,7.5 ,8.7 ,7.9 ,7.4 ,6.5 ,6.3 ,5.9 b,5.5 ,4.9 ,5.5 ,4.6 ,4.0 ,5.6 ,5.3 b
T,POP,PC,Y18-24,NAT,LU,9.2 ,10.4 ,12.0 b,9.7 b,9.7 ,4.7 b,5.0 ,5.8 ,6.9 ,5.5 ,4.9 b,7.0 b,4.7 ,4.9 ,5.7 ,4.7 ,6.0 ,7.0 b
T,POP,PC,Y18-24,NAT,LV,15.8 ,15.4 ,15.6 b,15.7 ,15.1 b,13.7 ,12.6 ,11.0 ,9.8 ,9.3 ,8.4 b,10.0 ,10.1 ,8.4 ,8.5 ,8.7 ,7.4 ,7.2 b
T,POP,PC,Y18-24,NAT,ME,: ,: ,: ,: ,: ,: ,: ,7.0 ,6.6 ,4.6 ,4.6 b,5.5 ,5.0 ,4.9 ,4.4 ,5.1 ,3.7 ,: 
T,POP,PC,Y18-24,NAT,MK,: ,: ,22.7 ,19.8 b,19.5 ,16.1 ,15.5 ,13.5 ,11.5 ,11.3 ,12.4 b,11.4 ,9.9 ,8.5 ,7.0 ,7.1 ,5.7 ,: 
T,POP,PC,Y18-24,NAT,MT,: ,33.1 b,32.2 b,30.6 ,27.8 ,26.0 ,21.4 ,18.8 b,17.9 ,16.6 ,16.4 b,16.4 ,14.9 ,14.0 b,12.4 ,11.6 ,11.7 ,9.2 b
T,POP,PC,Y18-24,NAT,NL,13.8 ,13.9 b,12.5 b,11.5 ,11.0 ,11.2 ,10.0 ,9.0 ,8.8 ,9.1 b,8.5 b,7.9 ,7.8 ,6.9 ,6.9 ,7.2 b,6.7 ,5.0 b
T,POP,PC,Y18-24,NAT,NO,: ,: ,17.6 ,18.3 ,17.0 ,17.7 ,17.5 ,16.4 ,14.8 ,13.5 ,11.5 b,10.0 ,10.9 ,10.4 ,9.6 ,9.9 ,9.9 ,11.8 b
T,POP,PC,Y18-24,NAT,PL,5.6 ,5.3 ,5.4 ,4.9 ,5.0 b,5.3 ,5.4 b,5.6 ,5.7 ,5.6 b,5.4 b,5.3 ,5.2 ,4.9 ,4.8 b,5.3 ,5.4 ,5.9 b
T,POP,PC,Y18-24,NAT,PT,39.5 ,38.1 ,38.2 b,36.2 ,34.7 ,30.7 ,27.8 ,22.9 b,20.2 ,18.6 ,17.1 b,13.5 ,13.8 ,12.3 ,11.6 ,10.2 ,8.7 ,5.9 b
