sex,unit,geo\time,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
T,PC,FI,80.0 ,79.7 ,79.8 ,83.9 ,84.4 ,86.4 ,88.8 ,90.9 
T,PC,FR,100.0 ,99.3 b,100.0 ,100.0 ,100.0 ,100.0 p,100.0 p,100.0 p
T,PC,HR,67.6 ,67.6 ,69.5 ,70.5 ,77.7 ,76.3 ,79.4 ,78.8 
T,PC,HU,88.3 ,89.7 ,90.7 ,92.1 ,92.0 ,92.2 ,92.9 ,92.8 
T,PC,IE,82.4 ,82.9 ,78.7 ,83.8 ,: d,100.0 ,100.0 e,100.0 
T,PC,IS,96.1 ,96.6 ,97.2 ,97.0 ,97.4 ,97.1 ,96.8 ,96.4 
T,PC,IT,97.3 ,95.1 ,94.9 ,94.9 ,93.9 ,93.6 ,93.6 ,94.6 
T,PC,LI,: ,: ,: ,: ,51.5 ,47.6 ,51.8 ,49.0 
T,PC,LT,83.4 ,85.9 ,87.3 ,88.1 ,88.9 ,88.9 ,89.6 ,90.9 
T,PC,LU,89.9 ,88.3 ,86.3 ,85.3 ,87.5 b,87.2 ,88.4 ,89.5 
T,PC,LV,91.3 ,92.5 ,93.0 ,93.8 ,94.5 ,94.1 ,94.1 ,94.0 
T,PC,MK,29.7 ,30.4 ,31.7 ,39.2 ,36.5 ,39.8 ,42.3 ,30.0 
T,PC,MT,99.4 ,95.5 ,96.9 ,95.0 ,93.2 ,93.8 ,91.9 ,89.1 
T,PC,NL,94.1 ,92.0 ,92.8 ,93.9 ,94.5 ,89.4 ,90.5 ,91.7 
T,PC,NO,96.7 ,96.6 ,96.7 ,96.7 ,96.9 ,97.0 ,97.1 ,97.0 
T,PC,PL,76.4 d,79.8 ,84.3 ,87.7 ,86.0 ,88.2 e,90.3 e,90.8 
T,PC,PT,88.7 ,87.9 ,88.7 d,88.5 d,91.9 ,91.0 ,92.2 d,92.9 d
T,PC,RO,84.1 ,84.2 e,84.6 ,84.5 ,84.0 ,81.9 ,78.6 ,78.2 
T,PC,RS,63.1 ,63.3 ,61.7 ,62.3 ,64.4 ,66.2 ,67.3 ,69.1 
T,PC,SE,95.0 ,95.2 ,94.1 ,94.7 ,95.4 ,95.1 ,95.6 ,95.9 
T,PC,SI,87.9 ,87.2 ,88.0 ,88.6 ,90.0 ,91.1 ,92.1 ,92.6 
T,PC,SK,72.3 ,73.0 ,72.2 ,73.4 ,74.9 ,77.6 ,77.8 ,78.1 
T,PC,TR,: ,37.3 ,38.0 ,37.2 ,39.7 ,42.8 ,43.2 ,42.2 
T,PC,UK,96.3 ,90.7 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,: 
