indicator,partner,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind17,LDC,PC,AT,0.06 ,0.08 ,0.09 ,0.07 ,0.06 ,0.08 ,0.08 ,0.07 ,0.07 ,0.09 ,0.12 ,0.07 ,0.06 ,0.08 ,0.08 ,0.06 ,0.06 ,0.07 ,0.07 ,0.07 ,0.07 b,0.07 
ind17,LDC,PC,BE,0.11 ,0.14 ,0.15 ,0.36 ,0.19 ,0.16 ,0.18 ,0.17 ,0.19 ,0.20 ,0.31 ,0.20 ,0.14 ,0.16 ,0.16 ,0.13 ,0.14 ,0.13 ,0.14 ,0.14 ,0.16 b,0.14 
ind17,LDC,PC,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.03 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.02 ,0.03 b,0.02 
ind17,LDC,PC,CH,0.10 ,0.10 ,0.09 ,0.12 ,0.10 ,0.10 ,0.10 ,0.11 ,0.10 ,0.13 ,0.11 ,0.12 ,0.11 ,0.12 ,0.12 ,0.13 ,0.13 ,0.13 ,0.13 ,0.13 ,0.14 b,0.14 
ind17,LDC,PC,CY,: ,: ,: ,: ,: ,0.02 ,0.02 ,0.03 ,0.03 ,0.04 ,0.05 ,0.02 ,0.02 ,0.02 ,: ,0.02 ,: ,: ,0.02 ,0.01 ,0.01 b,0.01 
ind17,LDC,PC,CZ,: ,: ,: ,: ,0.02 ,0.02 ,0.03 ,0.03 ,0.05 ,0.04 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 b,0.03 
ind17,LDC,PC,DE,0.07 ,0.07 ,0.07 ,0.11 ,0.09 ,0.07 ,0.09 ,0.09 ,0.10 ,0.10 ,0.11 ,0.10 ,0.11 ,0.09 ,0.10 ,0.08 ,0.10 ,0.11 ,0.12 ,0.11 ,0.15 b,0.14 
ind17,LDC,PC,DK,0.36 ,0.36 ,0.33 ,0.34 ,0.33 ,0.32 ,0.31 ,0.34 ,0.32 ,0.35 ,0.35 ,0.32 ,0.31 ,0.27 ,0.26 ,0.20 ,0.21 ,0.22 ,0.20 ,0.22 ,0.21 b,0.22 
ind17,LDC,PC,EE,: ,: ,: ,: ,0.01 ,0.02 ,0.03 ,0.03 ,: ,: ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 b,0.03 
ind17,LDC,PC,EL,0.03 ,0.03 ,0.04 ,0.03 ,0.03 ,0.04 ,0.04 ,0.04 ,0.05 ,0.04 ,0.04 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.02 ,0.03 b,0.03 
