indicator,sex,age,unit,isced11,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind4,M,Y25-34,PC,ED5-8,CH,34.2 ,34.8 ,33.8 ,36.8 ,37.7 ,37.1 ,37.8 ,38.9 ,41.8 ,42.5 ,38.9 b,38.4 ,39.9 ,42.2 ,44.2 b,44.7 ,48.8 ,49.3 ,48.8 ,50.8 ,50.8 ,50.3 b
ind4,M,Y25-34,PC,ED5-8,CY,30.5 ,34.5 ,38.8 ,43.5 ,41.4 ,37.8 ,42.1 ,41.7 ,41.2 ,41.6 b,41.9 ,42.6 ,46.9 ,44.2 ,44.3 b,44.9 ,46.4 ,47.9 ,49.9 ,50.5 ,47.3 ,50.0 b
ind4,M,Y25-34,PC,ED5-8,CZ,11.8 ,12.1 ,12.7 ,12.8 b,12.7 ,13.8 ,14.7 ,14.0 ,15.7 ,18.1 ,20.1 ,21.9 b,23.2 ,24.5 ,24.9 b,24.3 ,26.5 ,27.5 ,26.3 ,26.0 ,26.1 ,27.1 b
ind4,M,Y25-34,PC,ED5-8,DE,24.0 ,23.9 ,22.2 ,22.7 ,23.3 ,22.8 b,21.6 ,21.9 ,23.0 ,24.4 ,24.8 b,25.6 ,26.8 ,27.9 ,28.0 b,28.6 ,29.6 ,30.2 ,31.1 ,32.1 ,34.1 b,33.9 b
ind4,M,Y25-34,PC,ED5-8,DK,26.4 ,26.7 ,28.2 ,31.6 b,34.3 ,35.3 ,36.2 ,32.1 b,32.5 b,30.5 ,30.5 ,30.8 ,31.1 ,32.4 ,34.4 b,34.6 ,38.0 b,37.5 b,37.7 ,38.9 ,39.0 ,41.2 b
ind4,M,Y25-34,PC,ED5-8,EA20,: ,: ,23.2 ,24.3 ,25.5 ,25.9 ,26.1 ,26.4 ,27.0 ,27.8 ,28.4 ,28.9 ,29.5 ,30.4 ,31.3 b,31.7 ,31.9 ,32.7 ,34.2 ,35.2 ,36.8 ,37.5 b
ind4,M,Y25-34,PC,ED5-8,EE,20.1 b,19.6 ,18.4 ,21.5 ,21.1 ,27.4 ,28.1 ,26.1 ,29.9 ,27.6 ,28.5 ,29.8 ,29.5 ,29.7 ,31.6 b,28.3 ,29.5 ,31.3 ,31.3 ,28.5 ,29.7 ,33.1 b
ind4,M,Y25-34,PC,ED5-8,EL,20.9 ,20.1 b,20.3 ,20.5 ,22.2 b,22.0 ,23.6 ,24.6 ,24.0 ,24.4 b,25.5 ,27.2 ,29.4 ,31.9 ,33.1 b,34.0 ,34.0 ,35.1 ,35.0 ,35.1 ,36.7 ,37.7 b
ind4,M,Y25-34,PC,ED5-8,ES,30.9 ,32.0 ,33.5 ,34.0 ,34.6 ,35.7 b,35.2 ,35.0 ,35.0 ,34.1 ,34.5 ,35.2 ,34.9 ,35.7 ,35.4 b,34.9 ,35.0 ,36.5 ,38.4 ,40.6 ,41.3 ,43.1 b
ind4,M,Y25-34,PC,ED5-8,EU27_2020,: ,: ,21.0 ,22.3 ,23.5 ,24.1 ,24.6 ,25.1 ,25.9 ,26.8 ,27.7 ,28.4 ,29.1 ,30.0 ,30.9 b,31.2 ,31.5 ,32.2 ,33.2 ,34.1 ,35.2 ,35.7 b
ind4,M,Y25-34,PC,ED5-8,FI,30.1 b,30.3 ,30.2 ,30.0 ,29.3 ,28.4 ,29.9 ,31.1 ,28.8 ,30.3 ,31.1 ,30.8 ,30.8 ,31.6 ,32.5 b,32.1 ,33.1 ,32.5 ,32.6 ,34.5 ,35.9 ,33.6 b
ind4,M,Y25-34,PC,ED5-8,FR,28.9 ,31.0 ,32.4 ,34.5 b,35.3 ,35.9 ,36.6 ,36.8 ,36.1 ,38.5 ,38.1 ,38.6 ,38.1 ,39.2 b,40.1 b,40.6 ,39.4 ,39.6 ,42.8 ,43.8 ,45.9 ,46.0 b
ind4,M,Y25-34,PC,ED5-8,HR,: ,: ,14.5 ,14.2 ,14.7 ,14.2 ,13.9 ,13.1 ,14.6 ,16.3 ,20.9 b,18.7 ,18.0 ,20.7 ,26.4 b,23.5 ,24.8 ,25.5 ,28.3 ,25.1 ,27.5 ,27.5 b
