indicator,ind_type,indic_is,unit,geo\time,2015 ,2016 ,2017 ,2019 ,2021 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EL,48.39 ,46.67 ,48.54 ,51.81 ,53.63 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,ES,56.50 ,56.65 ,57.36 ,58.74 ,65.70 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EU15,62.07 ,62.08 ,63.03 ,: ,: 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EU27_2007,58.14 ,58.47 ,59.73 ,: ,: 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EU27_2020,56.57 ,56.61 ,57.59 ,58.14 ,55.62 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,EU28,58.12 ,58.48 ,59.64 ,60.49 ,: 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,FI,74.01 ,71.98 ,73.97 ,75.05 ,78.20 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,FR,57.77 ,55.53 ,57.29 ,58.21 ,61.22 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,HR,55.94 ,59.33 ,48.34 ,57.31 ,66.78 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,HU,52.03 ,53.84 ,52.19 ,51.57 ,51.99 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,IE,44.82 ,45.88 ,47.38 ,54.02 ,69.13 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,IS,: ,: ,84.93 ,85.63 ,81.54 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,IT,47.82 ,47.07 ,: u,44.89 b,48.16 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,LT,50.62 ,51.85 ,53.62 ,56.14 ,48.36 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,LU,89.80 ,90.86 ,88.11 ,67.76 b,69.11 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,LV,48.21 ,48.44 b,46.22 ,39.77 b,48.77 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,ME,: ,: ,53.64 ,: u,48.47 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,MK,38.04 ,33.28 ,34.45 ,30.76 ,38.12 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,MT,55.75 ,49.90 ,57.32 ,56.79 ,61.56 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,NL,75.47 ,79.29 ,81.97 ,82.52 ,80.94 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,NO,82.22 ,75.56 ,79.47 ,83.10 ,80.37 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,PL,42.09 ,46.04 ,48.21 ,46.12 ,45.03 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,PT,51.66 ,50.36 ,52.77 ,54.36 ,55.23 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,RO,27.92 ,29.11 ,30.37 ,33.18 ,29.97 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,RS,35.06 ,: ,41.64 ,48.72 ,43.88 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,SE,72.07 ,70.34 b,78.07 ,73.82 u,68.24 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,SI,50.36 ,52.53 ,51.19 ,54.53 ,50.66 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,SK,54.29 ,56.77 ,62.37 ,53.66 ,58.07 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,TR,29.09 ,34.64 ,41.21 ,42.20 ,34.04 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,UK,69.50 ,68.97 ,71.57 ,76.56 ,: 
ind4,M_Y16_74,I_DSK2_BAB,PC_IND,XK,: ,: ,23.86 ,30.01 ,: 
