indicator,sex,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,T,Y15-29,PC_POP,LT,: ,: ,: ,: ,: ,: ,15.0 ,17.0 ,14.7 ,13.9 ,13.7 ,12.9 ,11.8 ,10.7 ,10.2 ,9.3 ,10.9 ,13.0 ,12.7 
ind8,T,Y15-29,PC_POP,LU,: ,: ,: ,: ,: ,: ,7.5 ,6.1 ,6.6 ,7.6 ,7.2 ,6.5 ,7.6 b,6.8 ,6.6 ,7.5 ,6.5 ,7.7 ,8.8 
ind8,T,Y15-29,PC_POP,LV,: ,: ,: ,: ,: ,: ,20.8 ,20.7 ,19.1 ,17.2 ,15.6 ,15.2 ,13.8 ,13.3 ,12.3 ,11.6 ,10.2 ,11.9 ,12.1 
ind8,T,Y15-29,PC_POP,ME,: ,: ,: ,: ,: ,: ,: ,: ,24.6 ,24.4 ,23.6 ,22.5 ,23.4 ,22.3 ,21.4 ,21.0 ,21.3 ,26.6 ,: 
ind8,T,Y15-29,PC_POP,MK,: ,: ,: ,: ,: ,: ,32.8 ,31.8 ,31.6 ,32.1 ,31.3 ,31.9 ,32.5 ,31.3 ,31.1 ,29.8 ,24.5 ,26.2 ,: 
ind8,T,Y15-29,PC_POP,MT,: ,: ,: ,: ,: ,: ,12.6 ,12.2 ,12.1 ,12.0 ,10.9 ,11.6 ,11.8 ,9.4 ,8.8 ,7.3 ,7.9 ,9.5 ,9.5 
ind8,T,Y15-29,PC_POP,NL,: ,: ,: ,: ,: ,: ,6.5 ,6.8 ,6.5 ,7.2 ,8.2 ,8.2 ,7.3 ,6.9 ,6.5 ,6.3 ,6.3 ,6.3 ,5.5 
ind8,T,Y15-29,PC_POP,NO,: ,: ,: ,: ,: ,: ,7.4 ,7.9 ,7.8 ,7.6 ,8.3 ,8.4 ,8.3 ,8.4 ,7.7 ,7.6 ,7.5 ,7.8 ,7.4 
ind8,T,Y15-29,PC_POP,PL,: ,: ,: ,: ,: ,: ,14.3 ,14.9 b,15.4 ,15.9 ,16.4 ,15.7 ,14.9 ,14.0 ,13.0 ,12.2 ,12.0 ,13.1 ,13.4 
ind8,T,Y15-29,PC_POP,PT,: ,: ,: ,: ,: ,: ,12.5 ,13.3 ,13.9 ,15.6 ,16.4 ,14.6 ,13.2 ,12.8 ,10.6 ,9.6 ,9.2 ,11.0 ,9.5 
ind8,T,Y15-29,PC_POP,RO,: ,: ,: ,: ,: ,: ,17.9 ,24.2 ,24.4 ,24.3 ,24.5 ,24.8 ,25.8 ,24.3 ,22.1 ,21.3 ,20.9 ,20.6 ,20.3 
ind8,T,Y15-29,PC_POP,RS,: ,: ,: ,: ,: ,: ,: ,29.4 ,30.5 ,30.5 ,29.8 ,26.0 ,25.1 ,22.8 ,22.1 ,20.4 ,19.3 ,20.3 ,18.8 
ind8,T,Y15-29,PC_POP,SE,: ,: ,: ,: ,: ,: ,9.3 ,7.8 ,7.5 ,7.9 ,7.4 ,7.4 ,7.0 ,6.7 ,6.4 ,6.5 b,5.9 ,6.9 ,6.0 
ind8,T,Y15-29,PC_POP,SI,: ,: ,: ,: ,: ,: ,8.0 ,8.0 ,8.0 ,10.1 ,11.0 ,11.0 ,10.5 ,9.3 ,7.9 ,7.5 ,7.5 ,7.9 ,7.3 
ind8,T,Y15-29,PC_POP,SK,: ,: ,: ,: ,: ,: ,16.5 ,18.2 ,18.0 b,18.0 ,18.3 ,17.5 ,16.4 ,15.1 ,15.1 ,13.8 ,13.7 ,14.4 ,14.2 
ind8,T,Y15-29,PC_POP,TR,: ,: ,: ,: ,: ,: ,38.1 ,35.2 ,32.7 ,31.7 ,29.3 ,28.4 b,27.9 ,27.8 ,27.5 ,27.6 ,29.5 ,32.0 ,: 
