indicator,unit,indic,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,PC,INV_BSN,SI,17.61 ,16.44 ,15.55 ,16.03 ,16.57 ,17.00 ,17.15 ,17.84 ,18.29 ,14.05 ,11.69 ,11.87 ,11.34 ,11.83 ,10.54 ,10.34 ,10.65 ,11.48 ,11.75 ,11.90 ,11.10 ,11.75 
ind8,PC,INV_BSN,SK,16.95 ,20.42 ,18.55 ,17.10 ,16.99 ,18.32 ,18.01 ,18.45 ,17.36 ,12.54 ,13.46 ,15.27 ,13.13 ,12.91 ,12.61 ,13.72 ,13.56 ,13.67 ,12.93 ,13.66 ,11.56 ,11.33 
ind8,PC,INV_BSN,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.45 p,14.71 p,16.45 p,16.28 p,16.04 p,16.67 p,17.57 p,17.24 p,16.86 p,16.72 p,15.52 p,16.33 p,18.28 p
ind8,PC,INV_BSN,UK,12.52 ,12.28 ,11.64 ,11.04 ,10.17 ,11.14 ,10.33 ,10.64 ,10.24 ,9.27 ,9.23 ,9.11 ,9.50 ,9.66 ,9.89 ,10.39 ,10.76 ,10.69 ,10.57 ,10.58 ,: ,: 
ind8,PC,INV_GOV,AT,2.66 ,2.42 ,2.62 ,2.48 ,2.40 ,2.93 ,2.87 ,2.98 ,3.24 ,3.37 ,3.25 ,3.03 ,2.94 ,3.04 ,2.96 ,2.98 ,2.98 ,3.11 ,3.07 ,3.12 ,3.32 ,3.49 
ind8,PC,INV_GOV,BE,2.38 ,2.12 ,2.06 ,2.09 ,2.01 ,2.06 ,1.91 ,1.98 ,2.04 ,2.28 ,2.24 ,2.39 ,2.48 ,2.33 ,2.56 ,2.49 ,2.41 ,2.41 ,2.63 ,2.60 ,2.71 ,2.73 
ind8,PC,INV_GOV,BG,3.91 ,3.89 ,3.43 ,3.27 ,3.46 ,3.70 ,4.19 ,5.23 ,5.57 ,4.95 ,4.59 ,3.41 ,3.41 ,4.06 ,5.20 ,6.64 ,2.61 ,2.25 ,: ,: ,: ,: 
ind8,PC,INV_GOV,CH,2.93 ,2.98 ,3.06 ,3.04 ,2.95 ,2.82 ,2.70 ,2.61 ,2.68 ,2.89 ,2.88 ,2.93 ,2.93 ,2.92 ,2.96 ,2.98 ,2.94 ,2.99 ,2.97 ,3.08 ,3.35 ,: 
ind8,PC,INV_GOV,CY,3.30 ,3.19 ,3.57 ,3.98 ,4.19 ,3.47 ,3.38 ,3.09 ,3.15 ,4.20 ,4.15 ,3.95 ,2.90 ,2.30 ,2.07 ,2.17 ,2.45 ,2.66 ,4.91 ,2.51 ,2.77 ,2.65 
ind8,PC,INV_GOV,CZ,4.62 ,4.18 ,4.13 ,7.69 ,5.02 ,5.20 ,5.17 ,4.73 ,5.25 ,6.00 ,5.07 ,4.46 ,4.14 ,3.68 ,4.10 ,5.11 ,3.24 ,3.35 ,4.15 ,4.36 ,4.85 ,4.70 
ind8,PC,INV_GOV,DE,2.32 ,2.26 ,2.19 ,2.12 ,1.94 ,1.93 ,2.05 ,1.97 ,2.11 ,2.38 ,2.36 ,2.32 ,2.21 ,2.18 ,2.10 ,2.14 ,2.19 ,2.23 ,2.37 ,2.41 ,2.69 ,2.60 
ind8,PC,INV_GOV,DK,2.77 ,3.00 ,2.74 ,2.63 ,2.83 ,2.73 ,2.94 ,3.04 ,3.00 ,3.13 ,3.29 ,3.32 ,3.79 ,3.66 ,3.86 ,3.63 ,3.78 ,3.39 ,3.43 ,3.24 ,3.62 ,3.41 
ind8,PC,INV_GOV,EA19,3.15 ,3.19 ,3.11 ,3.25 ,3.20 ,3.21 ,3.27 ,3.29 ,3.39 ,3.70 ,3.46 ,3.18 ,3.01 ,2.88 ,2.74 ,2.75 ,2.63 ,2.64 ,2.71 ,2.79 ,3.04 ,3.02 
