airpol,src_crf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
GHG,CRF4,THS_T,SE,-41739.9 ,-42590.4 ,-41924.1 ,-38517.2 ,-32238.9 ,-32004.2 ,-41359.9 ,-35274.6 ,-41132.4 ,-41206.4 ,-43042.9 ,-43017.6 ,-43463.8 ,-41320.6 ,-41147.9 ,-38466.2 ,-38873.8 ,-34765.6 ,-34515.1 ,-36736.4 ,-39764.5 
GHG,CRF4,THS_T,SI,-6186.4 ,-6228.2 ,-7353.8 ,-6959.7 ,-7173.6 ,-7208.9 ,-7172.9 ,-7544.7 ,-7297.0 ,-7226.5 ,-7158.4 ,-7059.8 ,-6959.5 ,-5407.0 ,612.1 ,712.6 ,873.7 ,1010.3 ,1061.8 ,-4887.8 ,-4735.8 
GHG,CRF4,THS_T,SK,-10356.4 ,-9673.4 ,-10161.1 ,-9678.8 ,-9733.5 ,-6229.8 ,-9088.9 ,-8664.8 ,-7659.3 ,-7417.4 ,-6651.2 ,-6973.3 ,-7945.4 ,-8622.5 ,-6643.8 ,-7151.4 ,-7230.7 ,-7122.1 ,-6210.7 ,-6887.7 ,-8746.5 
GHG,CRF4,THS_T,TR,-61566.4 ,-64913.1 ,-72602.5 ,-74618.1 ,-73676.1 ,-74535.4 ,-74809.5 ,-74507.5 ,-69499.6 ,-73151.1 ,-73619.7 ,-77462.0 ,-74842.3 ,-76926.6 ,-77867.5 ,-97538.4 ,-95972.3 ,-99830.5 ,-94413.3 ,-84031.5 ,-56947.6 
GHG,CRF4,THS_T,UK,8217.8 ,7572.7 ,6750.5 ,6604.4 ,5742.6 ,5368.2 ,4957.5 ,4346.9 ,3645.3 ,3565.3 ,3509.0 ,2913.8 ,3098.9 ,3044.1 ,2767.5 ,3072.8 ,3176.0 ,2974.7 ,3642.0 ,4020.3 ,3659.3 
GHG,CRF4,T_HAB,AT,-2.1 ,-2.4 ,-1.8 ,-0.6 ,-1.1 ,-1.3 ,-0.6 ,-0.6 ,-0.5 ,-0.3 ,-0.5 ,-0.5 ,-0.4 ,-0.3 ,-0.3 ,-0.3 ,-0.2 ,-0.3 ,-0.4 ,-0.3 ,-0.1 
GHG,CRF4,T_HAB,BE,-0.2 ,-0.1 ,-0.2 ,-0.2 ,-0.2 ,-0.2 ,-0.2 ,-0.1 ,-0.1 ,-0.1 ,0.0 ,0.0 b,0.0 b,-0.1 ,-0.1 ,-0.1 ,-0.1 ,-0.1 ,-0.1 ,0.0 ,0.0 
GHG,CRF4,T_HAB,BG,-2.2 ,-1.9 ,-2.0 ,-1.9 ,-2.0 ,-2.2 ,-1.8 ,-1.9 ,-1.7 ,-1.7 ,-1.7 ,-1.2 ,-1.2 ,-1.0 ,-1.2 ,-1.1 ,-1.4 ,-1.4 ,-1.4 ,-1.4 ,-1.4 
GHG,CRF4,T_HAB,CH,0.7 ,-0.1 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.3 ,-0.1 ,-0.3 ,-0.4 ,-0.4 ,-0.2 b,-0.3 ,-0.2 ,0.0 ,-0.3 ,-0.3 ,-0.2 ,-0.1 ,-0.2 ,-0.2 
GHG,CRF4,T_HAB,CY,-0.1 ,-0.3 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.2 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,-0.4 ,0.0 ,-0.4 ,-0.4 ,-0.4 ,-0.4 
GHG,CRF4,T_HAB,CZ,-0.9 ,-0.9 ,-0.9 ,-0.8 ,-0.8 ,-0.8 ,-0.7 ,-0.6 ,-0.8 ,-0.7 ,-0.7 ,-0.7 ,-0.7 ,-0.6 ,-0.6 ,-0.6 ,-0.5 ,-0.4 ,0.1 ,0.8 ,1.2 
GHG,CRF4,T_HAB,DE,-0.1 ,-0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,-0.1 ,-0.2 ,-0.2 ,-0.2 b,-0.3 ,-0.3 ,-0.3 ,-0.3 ,-0.3 ,-0.3 ,-0.2 ,-0.2 ,-0.1 
GHG,CRF4,T_HAB,DK,1.0 ,0.9 ,1.1 ,1.0 ,1.0 ,0.9 ,1.0 ,1.0 ,0.7 ,0.6 ,0.4 ,0.4 ,0.3 ,0.2 ,0.3 ,0.1 ,0.3 ,0.3 ,0.6 ,0.5 ,0.5 
GHG,CRF4,T_HAB,EE,-3.0 ,-3.1 ,-2.9 ,-4.4 ,-3.2 ,-0.9 ,-2.0 ,-2.2 ,-2.0 ,-2.9 ,-3.6 ,-3.6 ,-2.7 ,-1.6 ,-1.3 ,-1.6 b,-1.6 ,-1.0 ,-1.1 ,-0.3 ,1.0 
GHG,CRF4,T_HAB,EL,-0.2 ,-0.2 ,-0.3 ,-0.2 ,-0.2 ,-0.3 ,-0.3 ,-0.1 ,-0.3 ,-0.3 ,-0.3 ,-0.3 ,-0.3 ,-0.1 ,0.0 ,-0.3 ,-0.3 ,-0.3 ,-0.4 ,-0.3 ,-0.4 
GHG,CRF4,T_HAB,ES,-1.0 ,-1.0 ,-0.9 ,-0.9 ,-0.9 ,-0.9 ,-0.9 ,-0.8 ,-0.8 ,-0.7 ,-0.8 ,-0.8 ,-0.7 ,-0.7 ,-0.8 ,-0.8 ,-0.8 ,-0.8 ,-0.8 ,-0.8 ,-0.8 
GHG,CRF4,T_HAB,EU27_2020,-0.7 b,-0.8 b,-0.7 ,-0.7 ,-0.7 ,-0.7 ,-0.8 ,-0.7 ,-0.8 b,-0.8 ,-0.7 b,-0.7 b,-0.7 b,-0.7 ,-0.7 b,-0.7 b,-0.7 ,-0.5 b,-0.6 e,-0.5 bep,-0.5 ep
GHG,CRF4,T_HAB,EU28,-0.6 b,-0.7 b,-0.6 ,-0.6 ,-0.6 ,-0.6 ,-0.7 ,-0.6 ,-0.7 b,-0.7 ,-0.6 b,-0.6 b,-0.6 b,-0.6 ,-0.6 b,-0.6 b,-0.6 ,-0.5 b,-0.5 e,-0.5 bep,: 
GHG,CRF4,T_HAB,FI,-2.9 ,-3.2 ,-3.4 ,-3.6 ,-3.8 ,-3.9 ,-4.9 ,-3.2 ,-3.8 ,-6.2 ,-4.0 ,-4.1 ,-4.5 ,-3.4 ,-3.8 ,-3.4 ,-3.2 ,-3.0 ,-1.3 ,-2.5 ,-3.1 
GHG,CRF4,T_HAB,FR,-0.3 ,-0.5 ,-0.7 ,-0.7 ,-0.7 ,-0.8 ,-0.8 ,-0.8 ,-0.8 ,-0.6 ,-0.6 ,-0.6 ,-0.6 ,-0.7 ,-0.6 b,-0.5 ,-0.4 ,-0.3 ,-0.2 ,-0.2 p,-0.2 p
GHG,CRF4,T_HAB,HR,-1.4 e,-1.8 b,-1.8 ,-1.7 ,-1.7 ,-1.8 ,-1.7 ,-1.5 ,-1.6 ,-1.6 ,-1.6 ,-1.3 ,-1.2 ,-1.4 ,-1.4 ,-1.3 ,-1.3 ,-1.2 ,-1.3 ,-1.3 ,-1.3 
GHG,CRF4,T_HAB,HU,-0.1 ,-0.3 ,-0.2 ,-0.4 ,-0.3 ,-0.6 ,-0.4 ,-0.4 ,-0.6 ,-0.4 ,-0.4 ,-0.4 ,-0.5 b,-0.4 ,-0.5 ,-0.6 ,-0.5 ,-0.5 ,-0.5 ,-0.5 ,-0.7 
GHG,CRF4,T_HAB,IE,2.0 ,2.3 ,2.2 ,2.2 ,1.8 ,1.9 ,1.9 ,1.6 ,1.5 ,1.4 ,1.7 ,1.5 ,1.4 ,1.5 ,1.4 ,1.5 ,1.4 ,1.7 ,1.4 e,1.4 e,1.4 
GHG,CRF4,T_HAB,IS,32.7 ,32.3 ,32.1 ,31.9 ,31.6 ,31.1 ,30.6 ,29.5 ,29.1 ,29.0 ,28.9 ,28.7 ,28.6 ,28.3 ,27.9 ,27.5 ,27.1 ,26.3 ,25.6 ,25.0 ,24.6 
GHG,CRF4,T_HAB,IT,-0.4 ,-0.6 ,-0.6 ,-0.5 ,-0.6 ,-0.6 ,-0.6 ,-0.2 ,-0.5 ,-0.6 ,-0.7 ,-0.6 ,-0.4 ,-0.7 ,-0.7 ,-0.7 ,-0.7 ,-0.3 ,-0.6 ,-0.7 b,-0.5 
GHG,CRF4,T_HAB,LI,0.8 ,0.0 ,0.1 ,0.2 ,0.2 ,0.2 ,0.4 ,0.6 ,0.7 ,0.6 ,0.6 ,0.7 ,0.7 ,0.4 ,0.4 ,0.3 ,0.2 ,0.3 ,0.6 ,: ,: 
GHG,CRF4,T_HAB,LT,-2.7 ,-2.1 ,-1.8 ,-1.6 ,-1.5 ,-1.3 ,-1.2 ,-1.8 ,-2.0 ,-2.4 ,-3.4 ,-3.5 ,-3.3 ,-3.2 ,-2.9 ,-2.7 ,-2.5 ,-2.3 ,-2.3 ,-1.9 ,-1.9 
GHG,CRF4,T_HAB,LU,-1.4 ,-1.4 ,-1.3 ,-1.2 ,-1.2 ,-1.1 ,-0.9 ,-0.7 ,-0.7 ,-0.7 ,-0.1 ,-0.4 ,-0.6 b,-0.9 ,-0.7 ,-0.6 ,-0.8 ,-0.5 b,-0.2 ,-0.4 ,-0.5 
GHG,CRF4,T_HAB,LV,-5.0 ,-5.2 ,-4.5 ,-4.4 ,-2.8 ,-2.6 ,-3.0 ,-2.8 ,-3.0 ,-1.7 ,-0.9 ,-1.1 ,-1.8 ,-1.2 ,0.7 ,0.1 ,-0.8 ,-1.6 ,-0.3 ,-1.3 ,0.3 
GHG,CRF4,T_HAB,MT,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
GHG,CRF4,T_HAB,NL,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 
GHG,CRF4,T_HAB,NO,-4.2 ,-4.6 ,-4.8 ,-5.1 ,-5.0 ,-4.4 ,-4.8 ,-4.8 ,-5.0 ,-5.6 ,-4.9 ,-5.1 ,-4.3 ,-4.3 ,-3.5 ,-2.5 ,-2.5 ,-2.6 ,-2.7 ,-3.1 ,-3.8 
GHG,CRF4,T_HAB,PL,-1.0 b,-0.8 ,-1.0 ,-1.0 ,-1.3 ,-1.3 ,-1.2 ,-1.0 ,-1.0 ,-1.0 ,-0.9 b,-1.1 ,-1.1 ,-1.1 ,-0.9 ,-0.8 ,-1.0 ,-1.0 ,-1.0 e,-0.5 e,-0.6 ep
GHG,CRF4,T_HAB,PT,-0.5 ,-0.8 ,-0.8 ,0.3 ,-0.7 ,0.3 ,-0.8 ,-1.1 ,-1.3 ,-1.3 ,-0.8 ,-1.0 ,-0.8 ,-0.7 ,-0.9 ,-0.8 ,-0.4 ,1.0 ,-0.7 ,-0.8 ,-0.7 
GHG,CRF4,T_HAB,RO,-1.4 ,-1.5 ,-1.4 ,-1.4 ,-1.4 ,-1.5 ,-1.5 ,-1.5 ,-1.6 ,-1.5 ,-1.4 ,-1.4 ,-1.5 ,-1.6 ,-1.7 ,-1.7 ,-1.8 ,-1.7 ,-1.5 ,-1.5 e,-1.7 e
GHG,CRF4,T_HAB,SE,-4.7 ,-4.8 ,-4.7 ,-4.3 ,-3.6 ,-3.5 ,-4.6 ,-3.9 ,-4.5 ,-4.4 ,-4.6 ,-4.6 ,-4.6 ,-4.3 ,-4.2 ,-3.9 ,-3.9 ,-3.5 ,-3.4 ,-3.6 ,-3.8 
GHG,CRF4,T_HAB,SI,-3.1 ,-3.1 ,-3.7 ,-3.5 ,-3.6 ,-3.6 ,-3.6 ,-3.7 ,-3.6 b,-3.5 ,-3.5 ,-3.4 ,-3.4 ,-2.6 ,0.3 ,0.3 ,0.4 ,0.5 ,0.5 ,-2.3 ,-2.3 
GHG,CRF4,T_HAB,SK,-1.9 ,-1.8 ,-1.9 ,-1.8 ,-1.8 ,-1.2 ,-1.7 ,-1.6 ,-1.4 ,-1.4 ,-1.2 ,-1.3 ,-1.5 ,-1.6 ,-1.2 ,-1.3 ,-1.3 ,-1.3 ,-1.1 ,-1.3 ,-1.6 
