org_inst,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
GOV_NAT,F,PC_WMN,RS,: ,: ,: ,: ,: ,18.5 ,18.5 ,18.5 ,14.3 ,26.3 ,13.6 ,21.1 ,21.1 ,25.0 ,22.7 ,22.7 ,22.7 ,45.8 ,45.8 ,: 
GOV_NAT,F,PC_WMN,SE,52.4 d,43.5 ,46.2 ,42.9 ,45.5 ,45.5 ,45.5 ,45.8 ,50.0 ,54.2 ,54.2 ,50.0 ,50.0 ,50.0 ,52.2 ,52.2 ,52.2 ,52.2 ,50.0 ,45.8 
GOV_NAT,F,PC_WMN,SI,18.8 d,7.1 ,6.7 ,6.3 ,17.5 ,22.5 ,35.7 ,35.7 ,26.7 ,18.4 ,29.3 ,40.5 ,46.2 ,50.0 ,43.4 ,35.2 ,35.2 ,25.9 ,25.4 ,37.7 
GOV_NAT,F,PC_WMN,SK,0.0 d,10.8 ,12.1 ,15.4 ,14.3 ,14.3 ,17.1 ,14.8 ,16.7 ,8.6 ,8.3 ,5.6 ,8.1 ,17.1 ,22.0 ,25.0 ,22.5 ,22.0 ,19.5 ,19.4 
GOV_NAT,F,PC_WMN,TR,: ,4.8 ,4.5 ,4.5 ,4.0 ,4.0 ,7.4 ,7.4 ,3.8 ,3.8 ,3.8 ,3.8 ,7.7 ,3.7 ,7.4 ,11.1 ,11.1 ,11.1 ,5.3 ,: 
GOV_NAT,F,PC_WMN,UK,30.8 d,25.5 ,27.5 ,24.6 ,32.6 ,34.4 ,28.8 ,13.9 ,16.5 ,18.2 ,19.8 ,24.8 ,25.2 ,23.7 ,26.5 ,30.8 ,32.8 ,33.1 ,33.1 ,: 
GOV_NAT,F,PC_WMN,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.0 ,10.5 ,13.6 ,27.0 ,: 
PARL_NAT,F,PC_WMN,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,29.3 ,30.3 ,29.8 ,35.7 ,: 
PARL_NAT,F,PC_WMN,AT,33.7 d,30.5 ,31.4 ,31.0 ,30.6 ,29.9 ,26.7 ,29.4 ,28.6 ,29.0 ,32.1 ,30.3 ,30.5 ,30.7 ,32.0 ,36.5 ,38.9 ,39.8 ,41.6 ,41.4 
PARL_NAT,F,PC_WMN,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,23.8 ,21.1 ,24.6 ,24.6 ,: 
PARL_NAT,F,PC_WMN,BE,34.2 d,35.6 ,35.9 ,36.5 ,35.9 ,38.9 ,39.8 ,38.8 ,39.3 ,40.1 ,39.7 ,41.1 ,41.4 ,41.6 ,40.7 ,39.5 ,42.4 ,43.3 ,43.8 ,43.8 
PARL_NAT,F,PC_WMN,BG,25.9 d,28.0 ,21.3 ,21.3 ,21.8 ,21.7 ,21.7 ,22.1 ,22.1 ,23.0 ,24.6 ,20.4 ,19.6 ,19.2 ,25.9 ,25.4 ,27.1 ,27.1 ,24.6 ,23.8 
PARL_NAT,F,PC_WMN,CY,10.9 d,9.1 ,16.4 ,16.4 ,16.1 ,16.1 ,12.5 ,12.5 ,10.7 ,10.7 ,14.3 ,14.3 ,12.5 ,17.9 ,17.9 ,18.2 ,17.9 ,22.2 ,14.3 ,14.3 
PARL_NAT,F,PC_WMN,CZ,: ,13.7 ,14.7 ,14.7 ,14.2 ,14.9 ,17.9 ,20.7 ,21.3 ,20.3 ,18.9 ,19.2 ,19.6 ,20.3 ,21.4 ,21.0 ,20.6 ,20.4 ,21.8 ,23.0 
PARL_NAT,F,PC_WMN,DE,30.9 d,30.8 ,30.0 ,31.9 ,31.7 ,30.7 ,31.4 ,31.5 ,32.4 ,32.5 ,35.7 ,36.6 ,36.2 ,37.1 ,31.7 ,31.4 ,31.7 ,31.4 ,34.5 ,35.1 
PARL_NAT,F,PC_WMN,DK,38.2 d,37.6 ,40.2 ,39.3 ,37.1 ,38.0 ,38.5 ,37.6 ,39.1 ,40.8 ,38.0 ,38.5 ,37.4 ,37.4 ,37.4 ,36.3 ,39.7 ,39.7 ,41.3 ,42.5 
PARL_NAT,F,PC_WMN,EE,17.0 d,15.0 ,18.0 ,19.0 ,20.8 ,20.8 ,21.8 ,22.8 ,19.8 ,21.0 ,17.8 ,19.8 ,25.7 ,25.7 ,27.7 ,29.7 ,28.7 ,29.7 ,26.7 ,27.7 
