wstatus,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EMP_PT,Y20-64,PC_PNT,HU,-2.9 ,-3.5 ,-3.6 ,-4.4 ,-4.1 ,-3.7 ,-3.2 ,-3.2 ,-3.2 ,-3.3 ,-3.9 ,-3.9 ,-4.0 
EMP_PT,Y20-64,PC_PNT,IE,-22.6 ,-22.5 ,-22.0 ,-20.8 ,-20.9 ,-20.0 ,-20.4 ,-19.7 ,-19.7 ,-19.4 ,-20.4 ,-18.5 ,-18.5 
EMP_PT,Y20-64,PC_PNT,IS,-23.7 ,-23.2 ,-21.4 ,-19.4 ,-20.1 ,-23.8 ,-23.5 ,-24.3 ,-23.9 ,-22.4 ,-23.5 ,-22.2 b,-23.3 
EMP_PT,Y20-64,PC_PNT,IT,-22.7 ,-23.3 ,-23.2 ,-23.6 ,-23.7 ,-23.7 ,-23.7 ,-23.9 ,-23.6 ,-23.8 ,-24.1 ,-23.3 ,-23.1 
EMP_PT,Y20-64,PC_PNT,LT,-2.5 ,-2.5 ,-3.2 ,-3.7 ,-3.9 ,-4.3 ,-4.3 ,-3.4 ,-3.7 ,-3.6 ,-3.2 ,-2.7 ,-3.3 
EMP_PT,Y20-64,PC_PNT,LU,-30.5 ,-32.5 ,-31.6 ,-31.4 ,-31.0 ,-30.9 ,-28.1 b,-28.7 ,-29.4 ,-26.1 ,-24.8 ,-24.1 ,-23.8 
EMP_PT,Y20-64,PC_PNT,LV,-2.1 ,-2.6 ,-2.5 ,-3.5 ,-3.1 ,-3.4 ,-4.5 ,-3.8 ,-4.6 ,-4.1 ,-4.5 ,-3.8 ,-4.5 
EMP_PT,Y20-64,PC_PNT,ME,: ,: ,-0.3 ,-0.6 ,1.3 ,0.7 ,-0.9 ,0.7 ,0.2 ,1.1 ,0.2 ,0.9 ,: 
EMP_PT,Y20-64,PC_PNT,MK,-2.4 ,-2.4 ,-1.3 ,-1.3 ,-0.6 ,1.3 ,-0.2 ,-0.9 ,-0.5 ,-0.1 ,-0.3 ,-0.9 ,: 
EMP_PT,Y20-64,PC_PNT,MT,-18.7 ,-19.1 ,-20.1 ,-19.7 ,-19.6 ,-21.1 ,-20.0 ,-19.7 ,-18.0 ,-15.5 ,-15.1 ,-15.7 ,-12.7 
EMP_PT,Y20-64,PC_PNT,NL,-48.7 ,-49.3 ,-49.7 ,-49.7 ,-48.4 ,-47.8 ,-47.8 ,-47.7 ,-46.6 ,-46.1 ,-45.6 ,-45.0 ,-44.1 
EMP_PT,Y20-64,PC_PNT,NO,-27.3 ,-27.2 ,-27.3 ,-25.7 ,-25.6 ,-23.7 ,-22.4 ,-22.0 ,-20.5 ,-21.6 ,-21.4 ,-19.9 ,-19.6 
EMP_PT,Y20-64,PC_PNT,PL,-6.0 ,-6.0 b,-5.9 ,-6.2 ,-6.0 ,-6.1 ,-5.9 ,-6.0 ,-6.3 ,-5.9 ,-5.8 ,-5.6 ,-4.3 
EMP_PT,Y20-64,PC_PNT,PT,-6.3 ,-6.1 ,-6.4 ,-5.9 ,-6.0 ,-5.5 ,-5.8 ,-5.6 ,-5.7 ,-5.0 ,-5.7 ,-5.3 ,-4.5 
EMP_PT,Y20-64,PC_PNT,RO,0.5 ,1.2 ,0.5 ,0.8 ,0.8 ,0.6 ,1.0 ,0.8 ,1.0 ,0.7 ,0.8 ,0.8 ,1.1 
EMP_PT,Y20-64,PC_PNT,RS,: ,: ,-1.6 ,-1.5 ,-1.7 ,-1.7 ,-1.6 ,-2.1 ,-2.2 ,-1.7 ,-1.9 ,-2.3 ,-1.9 
EMP_PT,Y20-64,PC_PNT,SE,-27.4 ,-27.2 ,-26.5 ,-25.6 ,-24.5 ,-24.1 ,-22.9 ,-22.5 ,-21.2 ,-20.1 b,-19.0 ,-17.9 ,-17.1 
EMP_PT,Y20-64,PC_PNT,SI,-4.7 ,-6.3 ,-5.5 ,-6.3 ,-6.6 ,-7.3 ,-7.0 ,-7.6 ,-8.1 ,-8.9 ,-8.0 ,-7.3 ,-6.4 
EMP_PT,Y20-64,PC_PNT,SK,-1.5 ,-2.0 ,-2.2 b,-2.0 ,-2.1 ,-2.2 ,-3.0 ,-2.9 ,-3.0 ,-2.8 ,-2.6 ,-2.9 ,-2.8 
EMP_PT,Y20-64,PC_PNT,TR,-17.4 ,-17.3 ,-18.1 ,-17.7 ,-17.8 ,-15.6 b,-14.0 ,-12.6 ,-12.7 ,-12.2 ,-10.4 ,-10.5 ,: 
EMP_TEMP,Y20-64,PC_PNT,AT,-0.4 ,-0.2 ,-0.6 ,-0.8 ,-0.4 ,-0.7 ,-0.2 ,-0.7 ,-0.3 ,-0.6 ,-0.7 ,-0.5 ,-0.8 
