prof_pos,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
EXEC,F,PC,NO,: ,: ,: ,: ,: ,: ,: ,: ,: ,17.4 ,17.9 ,18.0 ,17.2 ,19.7 ,24.5 ,24.0 ,27.1 ,29.6 ,30.0 ,28.9 
EXEC,F,PC,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.0 ,4.6 ,4.4 ,10.5 ,11.2 ,13.5 ,13.0 ,13.6 ,15.4 ,15.6 ,14.4 
EXEC,F,PC,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.6 ,8.0 ,8.5 ,12.2 ,10.6 ,9.0 ,10.0 ,14.6 ,15.7 ,16.3 ,19.7 
EXEC,F,PC,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,30.5 ,21.9 ,22.7 ,16.3 ,21.6 ,33.3 ,25.4 ,33.8 ,32.8 ,31.6 ,23.8 
EXEC,F,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.3 ,21.1 ,23.0 ,29.7 ,24.1 ,19.3 ,21.7 ,20.7 ,31.3 ,31.7 ,33.3 
EXEC,F,PC,SE,: ,: ,: ,: ,: ,: ,: ,: ,: ,19.2 ,21.5 ,23.0 ,23.6 ,23.9 ,24.5 ,23.6 ,23.7 ,25.4 ,25.8 ,28.5 
EXEC,F,PC,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,17.9 ,19.2 ,21.1 ,22.9 ,19.0 ,20.6 ,24.7 ,26.6 ,24.6 ,20.0 ,22.2 
EXEC,F,PC,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,13.7 ,18.2 ,12.5 ,14.6 ,13.3 ,13.0 ,20.0 ,13.3 ,19.5 ,23.5 ,19.2 
EXEC,F,PC,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.7 ,10.2 ,9.9 ,8.7 ,10.2 ,9.5 ,10.3 ,11.0 ,11.0 ,9.4 ,12.2 
EXEC,F,PC,UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.1 ,12.9 ,16.6 ,18.1 ,16.4 ,17.9 ,18.7 ,22.5 ,25.7 ,25.8 ,: 
