indicator,waste,hazard,nace_r2,unit,geo\time,2004 ,2006 ,2008 ,2010 ,2012 ,2014 ,2016 ,2018 ,2020 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LT,1899 ,1720 ,1741 ,983 ,993 ,1119 ,1233 ,1403 ,1477 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LU,2706 ,2944 ,2266 ,3008 ,2423 ,1617 ,2518 ,2278 ,2154 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LV,530 ,777 ,630 ,627 ,895 ,1001 ,747 ,701 ,1311 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,ME,: ,: ,: ,: ,1129 ,1121 ,1170 ,1178 ,1152 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,MK,: ,: ,618 ,714 ,3714 ,1000 ,336 ,458 ,437 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,MT,826 ,896 ,971 ,814 ,940 ,946 ,1276 ,1090 ,962 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,NL,2513 ,2527 ,2592 ,2626 ,2540 ,2529 ,2539 ,2615 ,2568 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,NO,1392 ,1873 ,1873 ,1688 ,1947 ,1674 ,1661 ,1660 ,1506 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,PL,1530 ,1606 ,1571 ,1754 ,1857 ,1979 ,2090 ,2120 ,1940 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,PT,1825 ,2437 ,1362 ,1087 ,1088 ,1123 ,1148 ,1316 ,1328 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,RO,1883 ,2311 ,2292 ,1168 ,1162 ,1050 ,1084 ,1115 ,963 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,RS,: ,: ,: ,963 ,931 ,1034 b,1378 ,1704 ,1766 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,SE,2694 ,2687 ,2536 ,1969 ,1920 ,1901 ,2136 ,2135 ,2003 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,SI,2143 ,1982 ,1673 ,1865 ,1701 ,1604 ,1457 ,1479 ,1356 
ind12,TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,SK,1285 ,1807 ,1650 ,1230 ,1250 ,1166 ,1459 ,1579 ,1420 
