indicator,unit,hhtyp,incgrp,sex,age,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EA19,: ,: ,2.3 e,2.1 e,2.0 ,1.8 ,1.5 ,1.2 ,1.1 ,0.9 ,1.0 ,0.9 ,1.0 ,1.1 ,1.1 ,0.8 ,1.0 ,0.7 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EE,: ,26.4 ,25.3 ,25.7 ,24.3 ,23.2 ,20.9 ,19.9 ,16.3 ,15.3 ,13.0 ,11.1 b,10.7 ,10.4 ,10.3 ,9.3 ,8.5 ,7.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EL,5.0 ,4.7 ,3.8 ,3.0 ,2.6 ,3.4 ,2.9 ,1.2 ,1.4 ,0.5 ,1.3 ,0.6 ,0.7 ,0.3 ,0.4 ,0.6 ,0.6 ,0.5 
ind6,PC,TOTAL,B_MD60,T,TOTAL,ES,: ,0.4 ,0.6 ,0.3 ,1.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.2 ,0.5 ,0.2 ,0.1 ,0.4 ,0.1 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EU,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.3 e,6.3 e,6.0 e,6.0 e,5.7 e,5.2 e,5.3 e,5.1 e,: 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EU27_2007,: ,: ,: ,: ,8.9 ,8.3 ,7.6 ,7.0 ,6.6 ,6.3 ,6.3 ,6.0 ,6.0 ,5.7 ,5.2 e,5.3 e,5.1 e,: 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EU27_2020,: ,: ,: ,: ,: ,: ,: ,8.0 e,7.5 e,7.2 e,7.1 e,6.8 e,6.8 e,6.4 e,6.0 e,5.9 e,5.7 e,5.1 
ind6,PC,TOTAL,B_MD60,T,TOTAL,EU28,: ,: ,: ,: ,: ,: ,: ,6.9 ,6.6 ,6.3 ,6.3 ,6.0 ,6.0 ,5.7 ,5.2 e,5.3 e,5.1 e,: 
ind6,PC,TOTAL,B_MD60,T,TOTAL,FI,: ,1.4 ,2.4 ,1.7 ,2.1 ,1.4 ,1.0 ,1.5 ,1.6 ,1.2 ,1.2 ,0.9 ,0.9 ,0.8 ,0.6 ,0.4 ,0.5 ,0.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,FR,: ,2.0 ,1.5 ,1.4 ,1.2 ,1.1 ,1.1 ,0.8 ,0.7 ,0.7 ,0.8 ,0.8 ,0.7 ,1.0 ,1.1 ,0.5 ,0.5 ,0.3 b
ind6,PC,TOTAL,B_MD60,T,TOTAL,HR,: ,: ,: ,: ,: ,: ,: ,0.8 ,4.9 ,6.8 b,6.5 ,5.5 ,5.3 ,5.5 ,4.6 ,4.1 ,3.4 ,2.8 
ind6,PC,TOTAL,B_MD60,T,TOTAL,HU,: ,: ,20.6 ,13.9 ,12.3 ,12.8 ,16.2 ,18.1 ,15.4 ,19.3 ,16.9 ,17.0 ,14.8 ,14.8 ,9.8 ,13.0 ,10.2 ,7.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,IE,1.3 ,1.2 ,0.8 ,0.3 ,0.7 ,0.2 ,0.6 ,0.3 ,2.9 ,0.6 ,0.7 ,0.0 ,0.2 ,0.6 ,0.2 ,0.1 ,0.0 ,0.1 bu
