indicator,mortalit,sex,icd10,unit,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,TOTAL,T,TOTAL,RT,SE,205.11 ,201.45 ,201.33 ,194.46 ,193.24 ,188.91 ,184.68 ,183.29 p,170.18 p,185.38 
ind3,TOTAL,T,TOTAL,RT,SI,309.25 ,297.41 ,294.53 ,277.59 ,284.88 ,263.62 ,265.47 ,252.81 p,245.31 p,268.3 
ind3,TOTAL,T,TOTAL,RT,SK,462.01 ,458.45 ,444.41 ,423.71 ,435.2 ,412.2 ,412.46 ,406.59 p,394.63 p,431.28 
ind3,TOTAL,T,TOTAL,RT,TR,307.88 ,294.9 ,336.16 ,332.4 ,325.75 ,328.34 ,315.53 ,305.97 p,284.99 p,: 
ind3,TOTAL,T,TOTAL,RT,UK,253.61 ,248.82 ,244.81 ,240.72 ,243.05 ,244.39 ,240.7 ,237.84 p,: ,: 
ind3,TRT,T,TOTAL,RT,AT,81.28 ,79.89 ,78.75 ,77.66 ,79.02 ,77.8 ,76.22 ,75.21 p,73.15 p,70.44 
ind3,TRT,T,TOTAL,RT,BE,82.31 ,82.04 ,81.65 ,74.86 ,73.93 ,71.5 ,70.97 ,69.65 p,65.01 p,62.67 
ind3,TRT,T,TOTAL,RT,BG,195.09 ,206.11 ,192.83 ,200.79 ,197.45 ,194.35 ,191.84 ,188.23 p,188.95 p,212.97 
ind3,TRT,T,TOTAL,RT,CH,62.46 ,59.66 ,57.62 ,56.3 ,55.81 ,52.7 ,51.95 ,50.93 p,49.67 p,48.55 
ind3,TRT,T,TOTAL,RT,CY,79.15 ,84.24 ,74.06 ,73.46 ,79.6 ,71.21 ,73.93 ,78.93 p,77.09 p,70.46 
ind3,TRT,T,TOTAL,RT,CZ,147.74 ,145.47 ,142.95 ,131.86 ,135.29 ,128.2 ,127.23 ,124.16 p,120.3 p,122.45 
ind3,TRT,T,TOTAL,RT,DE,94.48 ,92 ,91.54 ,87.42 ,89.37 ,86.92 ,85.51 ,85.33 p,81.72 p,80.84 
ind3,TRT,T,TOTAL,RT,DK,91.23 ,86.9 ,80.42 ,78.03 ,77.81 ,76.03 ,73.16 ,72.96 p,66.16 p,63.47 
ind3,TRT,T,TOTAL,RT,EE,160.97 ,162.69 ,154.29 ,152.33 ,148.24 ,142.98 ,136.6 ,133.47 p,129.41 p,123.88 
ind3,TRT,T,TOTAL,RT,EL,94.15 ,96.36 ,91.13 ,94.51 ,96.65 ,94.93 ,94.2 ,90.02 p,93.05 p,92.37 
ind3,TRT,T,TOTAL,RT,ES,74.24 ,72.53 ,70.49 ,68.46 ,68.33 ,66.84 ,65.52 ,64.6 p,62.55 p,62.24 
ind3,TRT,T,TOTAL,RT,EU27_2020,103.39 ,101.73 ,98.65 ,94.83 ,95.85 ,93.16 ,92.09 ,91.33 p,89.2 p,91.74 
ind3,TRT,T,TOTAL,RT,EU28,102.32 ,100.63 ,97.62 ,94.05 ,95.09 ,92.8 ,91.65 ,90.87 p,: ,: 
ind3,TRT,T,TOTAL,RT,FI,86.49 ,84.97 ,80.46 ,77.36 ,74.89 ,76.81 ,75.72 ,71.11 p,69.09 p,71.25 
ind3,TRT,T,TOTAL,RT,FR,67.64 ,66.06 ,65.08 ,62.9 ,62.86 ,62.54 ,62.05 ,61.32 p,60.59 p,59.04 
ind3,TRT,T,TOTAL,RT,HR,154.72 ,150.64 ,141.75 ,144.91 ,149.37 ,139.54 ,139.08 ,133.13 p,128.28 p,130.77 
ind3,TRT,T,TOTAL,RT,HU,197.53 ,193.03 ,184.94 ,182.65 ,183.9 ,175.96 ,179 ,175.94 p,173.21 p,179.55 
ind3,TRT,T,TOTAL,RT,IE,93.99 ,89.67 ,86.49 ,83.73 ,83.81 ,80.12 ,73.31 ,75.9 p,71 p,69.65 
ind3,TRT,T,TOTAL,RT,IS,64.15 ,62.15 ,68.47 ,62.69 ,66.81 ,62.35 ,56.19 ,63.57 p,56.85 p,57.73 
ind3,TRT,T,TOTAL,RT,IT,75.43 ,75.07 ,71.4 ,69.02 ,71.31 ,66.68 ,66.5 ,64.94 p,63.7 p,66.45 
ind3,TRT,T,TOTAL,RT,LI,67.87 ,71.48 ,70.95 ,47.31 ,75.26 ,62.64 ,61.11 ,53.49 p,56.08 p,56.03 
ind3,TRT,T,TOTAL,RT,LT,221.45 ,219.07 ,214.73 ,201.96 ,212.98 ,205.61 ,184.89 ,185.61 p,181.03 p,199.73 
ind3,TRT,T,TOTAL,RT,LU,83.01 ,76.56 ,83.65 ,67.02 ,70.56 ,70.86 ,73.14 ,67.74 p,63.1 p,60.25 
