indicator,icd10,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,B15-B19_B942,AL,: ,: ,: ,: ,0.20 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,B15-B19_B942,AT,0.50 ,0.70 ,3.40 ,4.60 ,4.20 ,4.70 ,3.40 ,3.10 ,3.60 ,3.80 ,3.50 ,3.50 ,2.98 ,3.01 ,3.16 ,3.06 ,2.08 ,1.86 ,1.60 p,1.70 p,1.42 
ind3,B15-B19_B942,BE,: ,: ,: ,1.30 ,1.40 ,1.20 ,1.20 ,1.10 ,1.30 ,1.20 ,1.00 ,0.89 ,0.84 ,0.79 ,0.68 ,0.63 ,0.51 ,0.56 ,0.47 p,0.37 p,0.42 
ind3,B15-B19_B942,BG,0.60 ,0.90 ,0.50 ,0.50 ,0.50 ,0.80 ,0.70 ,0.50 ,0.50 ,0.50 ,0.40 ,0.32 ,0.26 ,0.20 ,0.50 ,0.31 ,0.36 ,0.44 ,0.50 p,0.52 p,0.49 
ind3,B15-B19_B942,CH,1.50 ,1.50 ,1.40 ,1.60 ,1.40 ,1.10 ,1.10 ,1.00 ,1.10 ,0.90 ,1.10 ,1.13 ,1.11 ,1.25 ,1.08 ,0.98 ,0.69 ,0.60 ,0.16 p,0.19 p,0.13 
ind3,B15-B19_B942,CY,: ,: ,: ,: ,0.60 ,0.80 ,0.40 ,0.20 ,: ,0.60 ,0.30 ,0.94 ,0.51 ,0.58 ,0.42 ,0.72 ,0.82 ,0.29 ,0.29 p,0.26 p,0.60 
ind3,B15-B19_B942,CZ,0.20 ,0.20 ,0.20 ,0.20 ,0.20 ,0.20 ,0.20 ,0.30 ,0.40 ,0.40 ,0.30 ,1.38 ,1.51 ,0.33 ,0.43 ,0.36 ,0.30 ,0.25 ,0.23 p,0.17 p,0.19 
ind3,B15-B19_B942,DE,1.60 ,1.60 ,1.60 ,1.60 ,1.50 ,1.30 ,1.30 ,1.20 ,1.20 ,1.30 ,1.30 ,1.24 ,1.19 ,1.15 ,0.98 ,1.06 ,0.89 ,0.84 ,0.73 p,0.63 p,0.56 
ind3,B15-B19_B942,DK,0.30 ,0.40 ,0.40 ,0.50 ,0.60 ,0.40 ,0.50 ,0.40 ,0.50 ,0.50 ,: ,0.37 ,0.39 ,0.51 ,0.54 ,0.32 ,0.37 ,0.27 ,0.19 p,0.29 p,0.24 
ind3,B15-B19_B942,EE,0.30 ,0.20 ,0.10 ,0.40 ,0.30 ,0.10 ,0.60 ,0.50 ,0.40 ,1.20 ,0.20 ,0.63 ,0.64 ,0.76 ,0.85 ,0.46 ,0.64 ,0.64 ,0.86 p,0.30 p,0.59 
