indicator,nabs07,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind2,NABS08,MIO_EUR,NO,136.074 ,146.382 ,159.310 ,168.552 ,164.950 ,173.790 ,189.261 ,203.390 ,217.134 ,240.689 ,257.561 ,275.372 ,261.268 ,341.010 ,261.693 ,256.743 ,262.422 ,263.357 
ind2,NABS08,MIO_EUR,PL,2.783 ,9.471 ,5.955 ,19.029 ,21.383 ,: ,: ,: ,66.552 b,69.946 ,55.111 ,59.033 ,53.149 ,56.260 ,65.001 ,97.310 ,145.015 ,4.336 
ind2,NABS08,MIO_EUR,PT,16.480 ,18.830 ,17.770 ,24.200 ,27.780 ,33.430 ,31.410 ,26.120 ,9.930 ,17.120 ,17.670 ,18.430 ,18.560 ,17.823 ,18.774 ,17.674 ,17.169 ,19.391 
ind2,NABS08,MIO_EUR,RO,7.437 ,7.475 ,29.015 ,29.743 ,50.016 ,27.737 ,59.518 ,38.822 ,30.005 ,14.573 b,16.244 ,22.968 ,24.055 ,20.662 ,14.267 ,21.870 ,19.650 ,22.150 
ind2,NABS08,MIO_EUR,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.681 ,11.367 ,14.443 ,11.561 ,12.350 ,13.457 ,15.417 ,17.706 ,19.685 
ind2,NABS08,MIO_EUR,RU,: ,: ,: ,43.206 ,56.869 ,104.190 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind2,NABS08,MIO_EUR,SE,69.923 ,56.129 ,59.485 ,39.567 ,43.057 ,40.503 d,47.226 e,51.583 e,58.126 e,52.955 e,53.716 e,46.589 e,51.848 e,48.267 e,42.791 e,45.658 e,49.156 e,79.635 e
ind2,NABS08,MIO_EUR,SI,3.802 ,5.372 ,3.919 ,7.467 ,7.679 ,8.068 ,8.174 ,9.159 ,7.497 ,6.968 ,6.759 ,5.970 ,6.919 ,9.193 ,12.398 ,9.982 ,12.522 ,13.638 
ind2,NABS08,MIO_EUR,SK,10.244 ,12.435 ,10.832 ,10.322 ,10.703 ,11.462 ,13.525 ,17.827 ,9.747 ,12.017 ,9.714 ,10.561 ,9.575 ,12.495 ,11.298 ,15.727 ,15.639 ,35.495 
ind2,NABS08,MIO_EUR,TR,: ,: ,: ,: ,39.459 ,64.838 ,57.253 ,62.674 ,57.709 ,50.450 ,44.100 ,84.401 ,71.064 ,66.127 ,52.046 ,44.393 ,41.510 ,31.043 
ind2,NABS08,MIO_EUR,UK,409.901 ,398.947 ,416.166 ,364.314 ,315.961 ,379.167 ,357.892 ,412.029 ,466.765 ,475.921 ,421.040 ,482.227 ,448.810 ,472.225 ,416.978 ,399.066 ,: ,: 
ind2,NABS08,MIO_EUR,US,1982.394 ,2126.678 ,2126.633 ,1696.534 ,1585.532 ,1884.858 b,1982.349 ,1588.362 ,1857.098 ,1626.384 ,1838.163 ,2289.320 ,2473.575 ,2361.689 ,2284.505 ,2756.588 ,2679.916 ,2570.390 
