PM2_5,YLL,RT,BG,2707 ,2448 ,2749 ,2410 ,2284 ,2950 ,2314 ,2062 ,2118 ,2142 ,2027 ,1961 ,1836 ,1524 ,1554 
PM2_5,YLL,RT,CH,770 ,: ,: ,698 ,: ,: ,: ,: ,539 ,550 ,474 ,455 ,451 ,403 ,: 
PM2_5,YLL,RT,CY,1177 ,895 ,1010 ,777 ,801 ,841 ,931 ,557 ,574 ,613 ,502 ,531 ,482 ,508 ,495 
PM2_5,YLL,RT,CZ,1417 ,975 ,1037 ,1126 ,1315 ,1246 ,1114 ,1179 ,1084 ,968 ,939 ,979 ,1079 ,730 ,643 
PM2_5,YLL,RT,DE,912 ,689 ,759 ,881 ,961 ,910 ,712 ,787 ,721 ,651 ,589 ,577 ,617 ,440 ,356 
PM2_5,YLL,RT,DK,609 ,560 ,492 ,469 ,522 ,689 ,392 ,352 ,494 ,362 ,324 ,258 ,405 ,323 ,193 
PM2_5,YLL,RT,EE,675 ,574 ,409 ,250 ,396 ,322 ,301 ,279 ,367 ,197 ,118 ,64 ,202 ,71 ,52 
PM2_5,YLL,RT,EL,1547 ,1232 ,1308 ,1334 ,1173 ,1274 ,1172 ,1160 ,963 ,1180 ,1205 ,1927 ,1087 ,884 ,804 
PM2_5,YLL,RT,ES,903 ,835 ,642 ,643 ,508 ,549 ,507 ,414 ,402 ,539 ,442 ,488 ,368 ,370 ,365 
PM2_5,YLL,RT,EU27_2020,1131 ,938 ,950 ,973 ,987 ,1054 ,896 ,865 ,772 ,804 ,730 ,753 ,726 ,582 ,545 
PM2_5,YLL,RT,FI,288 ,285 ,191 ,140 ,220 ,205 ,163 ,78 ,181 ,46 ,45 ,20 ,88 ,34 ,12 
PM2_5,YLL,RT,FR,760 ,675 ,706 ,800 ,817 ,817 ,705 ,687 ,446 ,516 ,450 ,412 ,408 ,334 ,270 
PM2_5,YLL,RT,HR,1657 ,1327 ,1276 ,1366 ,1380 ,1514 ,1078 ,1050 ,960 ,1126 ,1286 ,1145 ,1183 ,893 ,996 
PM2_5,YLL,RT,HU,2136 ,1603 ,1606 ,1665 ,1656 ,1996 ,1471 ,1366 ,1290 ,1499 ,1349 ,1457 ,1420 ,1011 ,1056 
PM2_5,YLL,RT,IE,178 ,88 ,203 ,196 ,259 ,197 ,158 ,217 ,205 ,95 ,112 ,67 ,153 ,146 ,120 
PM2_5,YLL,RT,IS,290 ,: ,: ,223 ,: ,: ,: ,: ,266 ,215 ,188 ,197 ,175 ,147 ,: 
PM2_5,YLL,RT,IT,1293 ,1106 ,1049 ,1037 ,932 ,1185 ,1046 ,987 ,807 ,993 ,854 ,885 ,782 ,712 ,775 
PM2_5,YLL,RT,LI,500 ,: ,: ,393 ,: ,: ,: ,: ,229 ,343 ,380 ,283 ,275 ,258 ,: 
PM2_5,YLL,RT,LT,1186 ,1026 ,1185 ,834 ,1211 ,1041 ,909 ,987 ,1135 ,820 ,818 ,577 ,840 ,778 ,571 
PM2_5,YLL,RT,LU,659 ,495 ,570 ,685 ,661 ,553 ,471 ,561 ,416 ,417 ,371 ,303 ,290 ,177 ,130 
PM2_5,YLL,RT,LV,1392 ,863 ,1317 ,942 ,1143 ,842 ,867 ,920 ,1063 ,736 ,729 ,526 ,846 ,594 ,479 
PM2_5,YLL,RT,ME,1657 ,: ,: ,1747 ,: ,: ,: ,: ,1340 ,1542 ,1658 ,1607 ,1728 ,1566 ,: 
