hhtyp,incgrp,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
TOTAL,A_MD60,PC,SE,: ,9.3 ,9.6 ,13.1 ,12.7 ,12.8 b,12.5 ,9.2 ,9.9 ,9.7 ,9.2 ,9.7 ,9.6 ,12.0 ,12.5 ,14.2 ,12.9 ,13.8 
TOTAL,A_MD60,PC,SI,: ,: ,10.7 ,9.7 ,10.2 ,8.7 ,12.6 b,9.6 ,8.9 ,8.2 ,9.3 ,10.4 ,9.4 ,8.6 ,8.3 ,8.1 ,8.2 ,7.3 
TOTAL,A_MD60,PC,SK,: ,: ,9.5 ,8.4 ,8.3 ,9.0 ,12.4 b,10.3 ,9.9 ,9.6 ,8.5 ,8.5 ,6.9 ,6.4 ,5.8 ,4.3 ,5.0 ,3.9 
TOTAL,A_MD60,PC,TR,: ,: ,: ,23.5 ,18.3 ,12.2 ,13.2 ,: ,10.7 ,8.8 ,10.0 ,10.6 ,11.1 ,10.3 ,11.4 ,11.5 ,11.1 ,10.2 
TOTAL,A_MD60,PC,UK,: ,: ,29.5 ,26.4 ,26.5 ,24.2 ,24.4 ,22.2 ,20.1 ,18.5 b,16.8 ,15.4 ,15.1 ,16.1 ,19.7 bu,23.8 u,: ,: 
TOTAL,A_MD60,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.7 ,: ,: 
TOTAL,B_MD60,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.9 ,1.4 ,0.5 ,0.4 
TOTAL,B_MD60,PC,AT,: ,12.1 ,9.7 ,10.9 ,11.6 ,12.0 b,12.8 ,12.4 ,11.9 ,10.2 ,11.1 ,10.5 ,10.5 ,10.4 ,9.3 ,7.1 ,8.6 ,7.1 
TOTAL,B_MD60,PC,BE,22.3 ,20.9 ,23.2 ,22.6 ,20.8 ,19.7 ,24.9 ,22.7 ,22.5 ,22.4 ,26.1 ,21.4 ,21.5 ,19.5 ,18.7 ,20.8 ,17.9 b,15.3 
TOTAL,B_MD60,PC,BG,: ,: ,26.4 ,26.4 ,32.4 ,27.6 ,29.0 b,31.4 ,29.0 ,25.9 ,28.9 ,31.6 ,28.0 ,25.3 b,27.7 ,23.4 ,20.2 ,22.2 
TOTAL,B_MD60,PC,CH,: ,: ,: ,: ,12.0 ,12.2 ,12.7 ,14.3 ,13.4 ,17.3 ,15.7 ,15.2 b,13.3 ,14.2 ,11.9 ,9.5 ,9.0 ,6.4 
TOTAL,B_MD60,PC,CY,: ,: ,7.3 ,11.2 ,13.4 ,8.4 b,6.4 ,9.5 ,13.0 ,12.8 ,11.9 ,7.8 ,11.1 ,8.5 ,11.7 ,7.5 ,9.4 ,7.2 
TOTAL,B_MD60,PC,CZ,: ,: ,22.4 ,24.3 ,17.6 ,20.7 ,21.3 b,17.4 ,16.4 ,14.3 ,17.4 ,15.8 ,18.8 ,18.2 ,13.4 ,10.5 ,11.9 ,7.9 
TOTAL,B_MD60,PC,DE,: ,: ,14.1 ,16.7 ,18.3 ,20.8 ,21.0 ,19.1 ,19.8 ,18.6 ,19.5 ,18.4 ,19.7 ,19.5 ,19.2 ,19.8 ,18.6 ,11.1 bu
TOTAL,B_MD60,PC,DK,8.6 ,16.7 ,18.2 ,15.6 ,17.6 ,15.2 ,18.9 ,15.7 ,18.5 ,10.5 ,9.5 ,14.6 ,13.1 ,13.8 ,11.3 ,12.4 ,10.5 ,9.4 
TOTAL,B_MD60,PC,EA19,: ,: ,16.5 ,17.0 ,17.6 ,17.2 ,18.6 ,17.5 ,16.5 ,16.2 ,17.6 ,16.6 ,16.4 ,16.0 ,14.7 ,15.1 ,14.5 ,15.2 
TOTAL,B_MD60,PC,EE,: ,28.0 ,19.3 ,21.1 ,22.6 ,18.5 ,16.9 ,18.7 ,17.3 ,17.5 ,14.9 ,13.1 b,12.4 ,9.8 ,7.4 ,7.6 ,7.2 ,5.7 
TOTAL,B_MD60,PC,EL,7.3 ,5.9 ,4.9 ,6.3 ,8.7 ,9.4 ,13.4 b,15.5 ,19.8 ,18.4 ,18.5 ,13.6 ,11.6 ,10.3 ,13.5 ,14.8 ,16.1 ,17.4 
TOTAL,B_MD60,PC,ES,: ,17.6 ,18.5 ,18.5 ,17.3 ,13.8 ,15.4 b,13.3 ,10.2 ,11.8 ,13.9 ,12.8 ,11.2 ,14.1 ,10.7 ,13.0 ,13.0 ,16.9 
TOTAL,B_MD60,PC,EU,: ,: ,: ,: ,: ,: ,: ,: ,16.8 ,16.6 ,17.1 ,16.8 ,16.6 ,15.8 ,14.6 e,15.4 e,14.7 e,: 
TOTAL,B_MD60,PC,EU27_2007,: ,: ,: ,: ,18.6 ,17.9 ,19.1 ,18.0 ,16.9 ,16.7 ,17.2 ,16.9 ,16.7 ,15.9 ,14.7 e,15.5 e,14.8 e,: 
TOTAL,B_MD60,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,16.4 e,15.8 e,15.3 e,16.6 e,16.0 e,15.6 e,15.1 e,14.1 e,14.1 e,13.4 e,13.7 e
TOTAL,B_MD60,PC,EU28,: ,: ,: ,: ,: ,: ,: ,17.8 ,16.8 ,16.6 ,17.1 ,16.8 ,16.6 ,15.8 ,14.6 e,15.4 e,14.7 e,: 
