indicator,indic_env,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind14,MA_ETR,PC,FR,1.20 ,1.45 ,0.17 ,0.57 ,0.27 ,0.00 ,0.00 ,4.26 ,2.01 ,0.11 ,0.29 ,0.02 ,0.00 ,0.19 ,0.02 ,0.04 ,0.03 ,0.02 ,0.94 ,0.08 ,0.25 
ind14,MA_ETR,PC,HR,0.10 ,0.38 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.04 ,0.01 ,0.47 ,0.21 ,0.23 ,0.22 ,0.25 ,0.59 ,0.22 ,0.42 
ind14,MA_ETR,PC,HU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,PC,IE,0.14 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ind14,MA_ETR,PC,IT,0.07 ,0.12 ,0.01 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.14 ,0.18 ,0.13 ,0.07 ,0.05 ,0.14 ,0.07 ,0.05 
ind14,MA_ETR,PC,LT,0.10 ,0.08 ,0.00 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,7.60 ,0.00 ,0.00 ,0.00 ,0.02 ,0.36 ,0.16 ,0.12 ,0.20 ,0.74 ,0.20 ,0.16 ,0.22 
ind14,MA_ETR,PC,LU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
ind14,MA_ETR,PC,LV,0.10 ,0.09 ,0.02 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,17.14 ,0.00 ,0.02 ,0.00 ,0.09 ,0.07 ,0.15 ,0.15 ,0.13 ,0.26 ,0.37 ,0.13 ,0.17 
ind14,MA_ETR,PC,MT,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ind14,MA_ETR,PC,NL,0.02 ,5.56 ,1.64 ,0.00 ,0.01 ,0.00 ,0.00 ,0.28 ,0.01 ,0.00 ,0.01 ,0.00 ,0.00 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 
ind14,MA_ETR,PC,PL,0.08 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,37.83 ,0.00 ,0.00 ,0.00 ,0.04 ,0.20 ,0.14 ,0.10 ,0.10 ,0.14 ,0.08 ,0.21 ,0.22 
ind14,MA_ETR,PC,PT,0.03 ,2.46 ,9.98 ,1.07 ,0.00 ,0.57 ,0.01 ,0.02 ,0.01 ,0.17 ,0.14 ,0.14 ,0.52 ,0.04 ,0.10 ,0.51 ,0.28 ,0.05 ,0.67 ,0.26 ,0.13 
ind14,MA_ETR,PC,RO,0.03 ,6.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.03 ,0.07 ,0.01 ,0.00 ,0.01 ,0.00 ,0.00 
ind14,MA_ETR,PC,SE,1.68 ,3.25 ,0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,9.94 ,0.00 ,0.01 ,0.01 ,0.07 ,0.20 ,0.21 ,0.40 ,0.22 ,0.32 ,0.31 ,0.47 ,0.66 
ind14,MA_ETR,PC,SI,0.00 ,10.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.72 ,2.66 ,0.53 ,0.00 ,1.06 ,1.06 ,1.06 ,0.00 
ind14,MA_ETR,PC,SK,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
