aquaenv,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
CST_NR,IE,126 ,127 ,126 ,127 ,128 ,131 ,133 ,136 ,138 ,139 ,139 
CST_NR,IT,4902 ,4880 ,4867 ,4864 ,4866 ,4864 ,4864 ,4871 ,4864 ,4848 ,4850 
CST_NR,LT,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 
CST_NR,LU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_NR,LV,32 ,32 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,32 
CST_NR,MT,87 ,87 ,87 ,87 ,87 ,87 ,87 ,87 ,87 ,87 ,87 
CST_NR,NL,87 ,91 ,90 ,91 ,91 ,93 ,93 ,91 ,90 ,91 ,90 
CST_NR,PL,89 ,88 ,83 ,85 ,83 ,89 ,97 ,146 ,163 ,166 ,177 
CST_NR,PT,431 ,437 ,446 ,452 ,460 ,464 ,480 ,480 ,481 ,493 ,502 
CST_NR,RO,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 ,49 
CST_NR,SE,249 ,248 ,247 ,245 ,246 ,245 ,244 ,244 ,244 ,248 ,257 
CST_NR,SI,21 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,21 
CST_NR,SK,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_NR,UK,605 ,617 ,616 ,617 ,617 ,615 ,634 ,644 ,644 ,: ,: 
INL_EXC_NR,AL,: ,: ,: ,: ,: ,: ,: ,0 ,3 ,3 ,1 
INL_EXC_NR,AT,223 ,196 ,233 ,236 ,239 ,251 ,250 ,256 ,257 ,255 ,255 
INL_EXC_NR,BE,48 ,51 ,50 ,55 ,58 ,58 ,58 ,60 ,57 ,57 ,58 
INL_EXC_NR,BG,1 ,4 ,3 ,4 ,4 ,4 ,1 ,1 ,1 ,0 ,4 
INL_EXC_NR,CH,131 ,34 ,122 ,128 ,109 ,145 ,116 ,144 ,160 ,136 ,156 
INL_EXC_NR,CZ,: z,120 ,120 ,116 ,121 ,127 ,126 ,125 ,124 ,125 ,126 
INL_EXC_NR,DE,1749 ,1731 ,1775 ,1777 ,1790 ,1786 ,1787 ,1810 ,1802 ,1769 ,1764 
INL_EXC_NR,DK,98 ,105 ,107 ,105 ,105 ,105 ,106 ,107 ,110 ,112 ,118 
INL_EXC_NR,EE,26 ,24 ,23 ,23 ,23 ,22 ,20 ,21 ,20 ,26 ,28 
INL_EXC_NR,EL,4 ,2 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,3 ,3 
INL_EXC_NR,ES,101 ,106 ,116 ,117 ,125 ,121 ,124 ,127 ,139 ,141 ,147 
INL_EXC_NR,EU27_2020,4569 ,4603 ,4951 ,5083 ,5253 ,5340 ,5388 ,5502 ,5486 ,5412 ,5538 
INL_EXC_NR,EU28,4576 ,4606 ,4955 ,5089 ,5263 ,5351 ,5399 ,5512 ,5486 ,: ,: 
INL_EXC_NR,FI,191 ,209 ,186 ,190 ,202 ,206 ,203 ,205 ,211 ,213 ,214 
INL_EXC_NR,FR,705 ,631 ,876 ,919 ,930 ,947 ,976 ,1008 ,987 ,946 ,936 
INL_EXC_NR,HR,3 ,0 ,3 ,3 ,4 ,4 ,4 ,14 ,7 ,6 ,8 
INL_EXC_NR,HU,127 ,132 ,128 ,155 ,169 ,179 ,182 ,183 ,182 ,184 ,165 
INL_EXC_NR,IE,6 ,7 ,7 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 
INL_EXC_NR,IT,499 ,475 ,497 ,555 ,596 ,599 ,599 ,605 ,604 ,592 ,582 
INL_EXC_NR,LT,70 ,69 ,81 ,82 ,82 ,83 ,83 ,85 ,86 ,88 ,93 
INL_EXC_NR,LU,10 ,11 ,11 ,11 ,11 ,11 ,12 ,11 ,12 ,14 ,14 
INL_EXC_NR,LV,9 ,9 ,11 ,13 ,14 ,18 ,20 ,20 ,19 ,16 ,17 
INL_EXC_NR,NL,268 ,397 ,423 ,441 ,461 ,462 ,453 ,460 ,468 ,474 ,471 
INL_EXC_NR,PL,76 ,86 ,74 ,61 ,74 ,83 ,90 ,90 ,83 ,82 ,222 
INL_EXC_NR,PT,52 ,56 ,58 ,56 ,69 ,80 ,94 ,101 ,102 ,102 ,113 
INL_EXC_NR,RO,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 
INL_EXC_NR,SE,152 ,149 ,129 ,125 ,138 ,150 ,157 ,166 ,167 ,161 ,157 
INL_EXC_NR,SI,13 ,9 ,14 ,11 ,12 ,14 ,14 ,20 ,18 ,20 ,19 
INL_EXC_NR,SK,22 ,24 ,24 ,19 ,16 ,21 ,19 ,18 ,20 ,18 ,16 
INL_EXC_NR,UK,7 ,3 ,4 ,6 ,10 ,11 ,11 ,10 ,11 ,: ,: 
INL_EXC_PC,AL,: ,: ,: ,: ,: ,: ,: ,0.0 ,50.0 ,50.0 ,16.7 
INL_EXC_PC,AT,83.5 ,73.7 ,87.6 ,88.7 ,90.2 ,95.1 ,95.1 ,97.3 ,98.5 ,97.7 ,97.7 
INL_EXC_PC,BE,60.8 ,63.0 ,70.4 ,80.9 ,81.7 ,81.7 ,81.7 ,82.2 ,78.1 ,74.0 ,71.6 
INL_EXC_PC,BG,25.0 ,100.0 ,75.0 ,100.0 ,100.0 ,100.0 ,25.0 ,25.0 ,25.0 ,0.0 ,100.0 
INL_EXC_PC,CH,37.2 ,10.2 ,73.1 ,61.0 ,50.5 ,62.8 ,61.1 ,75.0 ,82.1 ,72.0 ,82.5 
INL_EXC_PC,CZ,63.4 ,75.0 ,76.4 ,76.3 ,79.1 ,82.5 ,81.8 ,81.7 ,81.0 ,81.7 ,81.3 
INL_EXC_PC,DE,90.3 ,89.7 ,92.0 ,92.2 ,93.0 ,92.8 ,93.0 ,94.1 ,93.7 ,91.1 ,91.5 
INL_EXC_PC,DK,83.1 ,89.7 ,93.9 ,94.6 ,95.5 ,91.3 ,93.0 ,92.2 ,94.0 ,93.3 ,95.9 
INL_EXC_PC,EE,92.9 ,88.9 ,85.2 ,85.2 ,85.2 ,81.5 ,74.1 ,77.8 ,74.1 ,74.3 ,80 
INL_EXC_PC,EL,66.7 ,33.3 ,33.3 ,50.0 ,100.0 ,50.0 ,66.7 ,33.3 ,66.7 ,100.0 ,100.0 
INL_EXC_PC,ES,44.9 ,46.1 ,50.4 ,49.6 ,51.9 ,50.0 ,47.9 ,48.3 ,52.3 ,52.2 ,53.1 
INL_EXC_PC,EU27_2020,70.5 ,71.6 ,76.7 ,78.4 ,81.1 ,82.1 ,82.2 ,80.9 ,79.1 ,77.7 ,78.2 
INL_EXC_PC,EU28,70.4 ,71.5 ,76.6 ,78.3 ,81.0 ,82.1 ,82.1 ,80.8 ,79.1 ,: ,: 
INL_EXC_PC,FI,80.3 ,88.2 ,79.8 ,83.0 ,90.2 ,92.0 ,91.4 ,91.1 ,94.2 ,94.7 ,95.5 
INL_EXC_PC,FR,54.1 ,49.0 ,67.5 ,70.3 ,72.0 ,73.2 ,74.3 ,77.0 ,75.7 ,74.3 ,72.3 
INL_EXC_PC,HR,75.0 ,0.0 ,37.5 ,11.1 ,14.8 ,14.8 ,14.8 ,51.9 ,20.0 ,14.6 ,19.5 
INL_EXC_PC,HU,55.7 ,56.9 ,53.1 ,63.5 ,68.7 ,70.8 ,70.8 ,72.3 ,70.8 ,69.7 ,60.2 
INL_EXC_PC,IE,66.7 ,77.8 ,77.8 ,88.9 ,88.9 ,88.9 ,88.9 ,88.9 ,88.9 ,88.9 ,88.9 
INL_EXC_PC,IT,77.1 ,75.5 ,77.2 ,86.3 ,91.4 ,91.6 ,89.8 ,90.6 ,90.0 ,88.1 ,86.4 
INL_EXC_PC,LT,71.4 ,70.4 ,84.4 ,85.4 ,85.4 ,84.7 ,84.7 ,84.2 ,85.1 ,84.6 ,89.4 
INL_EXC_PC,LU,50.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,73.3 ,70.6 ,82.4 ,82.4 
INL_EXC_PC,LV,64.3 ,64.3 ,61.1 ,61.9 ,63.6 ,78.3 ,87.0 ,87.0 ,79.2 ,66.7 ,70.8 
INL_EXC_PC,NL,44.4 ,65.6 ,68.1 ,70.7 ,74.1 ,73.9 ,72.4 ,72.6 ,73.8 ,73.5 ,72.7 
INL_EXC_PC,PL,58.0 ,64.7 ,60.7 ,52.6 ,64.9 ,74.1 ,83.3 ,26.7 ,18.7 ,18.8 ,44.8 
INL_EXC_PC,PT,62.7 ,62.9 ,59.8 ,52.8 ,63.3 ,69.6 ,76.4 ,78.9 ,76.7 ,74.5 ,75.3 
INL_EXC_PC,RO,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,0.0 ,0.0 
INL_EXC_PC,SE,76.8 ,74.5 ,64.8 ,62.8 ,69.3 ,75.4 ,79.7 ,86.5 ,86.1 ,81.7 ,78.5 
INL_EXC_PC,SI,50.0 ,34.6 ,53.9 ,42.3 ,46.2 ,53.9 ,53.9 ,76.9 ,69.2 ,76.9 ,73.1 
INL_EXC_PC,SK,64.7 ,72.7 ,72.7 ,57.6 ,48.5 ,63.6 ,59.4 ,56.3 ,62.5 ,56.3 ,50.0 
INL_EXC_PC,UK,58.3 ,25.0 ,30.8 ,40.0 ,62.5 ,68.8 ,68.8 ,62.5 ,68.8 ,: ,: 
INL_NR,AL,: ,: ,: ,: ,: ,: ,: ,6 ,6 ,6 ,6 
INL_NR,AT,267 ,266 ,266 ,266 ,265 ,264 ,263 ,263 ,261 ,261 ,261 
INL_NR,BE,79 ,81 ,71 ,68 ,71 ,71 ,71 ,73 ,73 ,77 ,81 
INL_NR,BG,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
INL_NR,CH,352 ,335 ,167 ,210 ,216 ,231 ,190 ,192 ,195 ,189 ,189 
INL_NR,CZ,: z,160 ,157 ,152 ,153 ,154 ,154 ,153 ,153 ,153 ,155 
INL_NR,DE,1938 ,1929 ,1929 ,1927 ,1925 ,1925 ,1921 ,1923 ,1924 ,1941 ,1928 
INL_NR,DK,118 ,117 ,114 ,111 ,110 ,115 ,114 ,116 ,117 ,120 ,123 
INL_NR,EE,28 ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,35 ,35 
INL_NR,EL,6 ,6 ,6 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 
INL_NR,ES,225 ,230 ,230 ,236 ,241 ,242 ,259 ,263 ,266 ,270 ,277 
INL_NR,EU27_2020,6485 ,6431 ,6459 ,6484 ,6480 ,6506 ,6557 ,6805 ,6933 ,6967 ,7080 
INL_NR,EU28,6497 ,6443 ,6472 ,6499 ,6496 ,6522 ,6573 ,6821 ,6933 ,: ,: 
INL_NR,FI,238 ,237 ,233 ,229 ,224 ,224 ,222 ,225 ,224 ,225 ,224 
INL_NR,FR,1304 ,1288 ,1297 ,1307 ,1292 ,1293 ,1314 ,1310 ,1304 ,1273 ,1294 
INL_NR,HR,4 ,7 ,8 ,27 ,27 ,27 ,27 ,27 ,35 ,41 ,41 
INL_NR,HU,228 ,232 ,241 ,244 ,246 ,253 ,257 ,253 ,257 ,264 ,274 
INL_NR,IE,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,9 
INL_NR,IT,647 ,629 ,644 ,643 ,652 ,654 ,667 ,668 ,671 ,672 ,674 
INL_NR,LT,98 ,98 ,96 ,96 ,96 ,98 ,98 ,101 ,101 ,104 ,104 
INL_NR,LU,20 ,11 ,11 ,11 ,11 ,11 ,12 ,15 ,17 ,17 ,17 
INL_NR,LV,14 ,14 ,18 ,21 ,22 ,23 ,23 ,23 ,24 ,24 ,24 
INL_NR,NL,603 ,605 ,621 ,624 ,622 ,625 ,626 ,634 ,634 ,645 ,648 
INL_NR,PL,131 ,133 ,122 ,116 ,114 ,112 ,108 ,337 ,443 ,436 ,495 
INL_NR,PT,83 ,89 ,97 ,106 ,109 ,115 ,123 ,128 ,133 ,137 ,150 
INL_NR,RO,: ,: ,: ,: ,: ,: ,: ,: ,1 ,1 ,1 
INL_NR,SE,198 ,200 ,199 ,199 ,199 ,199 ,197 ,192 ,194 ,197 ,200 
INL_NR,SI,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 
INL_NR,SK,34 ,33 ,33 ,33 ,33 ,33 ,32 ,32 ,32 ,32 ,32 
INL_NR,UK,12 ,12 ,13 ,15 ,16 ,16 ,16 ,16 ,16 ,: ,: 
