indicator,deg_urb,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,DEG2,PC,PL,20.0 ,18.0 ,17.4 ,15.3 ,15.3 ,13.7 ,14.1 p,: 
ind10,DEG2,PC,PT,23.6 ,22.5 ,20.0 ,19.8 ,19.7 ,20.8 ,20.8 ,: 
ind10,DEG2,PC,RO,37.7 ,41.7 ,36.3 ,31.6 ,31.2 ,29.5 ,30.6 ,: 
ind10,DEG2,PC,RS,37.9 ,26.3 ,36.9 ,30.7 ,27.4 ,26.6 ,26.1 ,: 
ind10,DEG2,PC,SE,16.7 ,15.7 ,15.0 ,16.5 ,16.9 ,17.6 ,17.0 ,: 
ind10,DEG2,PC,SI,17.0 ,15.2 ,15.0 ,14.8 ,12.6 ,13.2 ,13.0 ,: 
ind10,DEG2,PC,SK,16.3 ,15.9 ,16.0 ,15.1 ,14.9 ,14.9 ,: ,: 
ind10,DEG2,PC,UK,18.2 ,19.9 ,18.4 b,19.7 ,: ,: ,: ,: 
ind10,DEG3,PC,AL,: ,78.1 ,67.5 ,64.5 ,60.0 ,56.9 ,: ,: 
ind10,DEG3,PC,AT,12.9 ,13.9 ,12.0 ,13.4 ,10.7 ,10.8 ,11.9 ,: 
ind10,DEG3,PC,BE,19.6 ,20.9 ,21.8 ,19.6 ,18.8 b,18.9 ,19.4 ,18.1 
ind10,DEG3,PC,BG,57.9 ,56.0 b,53.6 ,48.8 ,49.0 ,48.8 ,42.5 ,43.1 
ind10,DEG3,PC,CH,17.8 ,17.2 ,17.2 ,16.0 ,16.7 ,17.1 ,17.5 ,: 
ind10,DEG3,PC,CY,25.6 ,25.0 ,25.1 ,20.9 ,22.6 ,24.2 ,25.1 ,: 
ind10,DEG3,PC,CZ,11.8 ,11.0 ,11.1 ,11.4 ,11.2 ,11.3 ,9.6 ,: 
ind10,DEG3,PC,DE,17.3 ,17.2 ,17.2 ,17.6 ,15.5 ,17.7 b,17.2 ,: 
ind10,DEG3,PC,DK,17.2 ,14.3 ,14.1 ,15.9 ,16.0 ,13.8 b,15.9 ,: 
ind10,DEG3,PC,EA19,22.5 e,23.0 e,21.7 e,21.3 e,20.0 e,20.5 ,19.7 ,: 
ind10,DEG3,PC,EE,25.7 ,24.7 ,26.3 ,28.8 ,27.9 ,26.9 ,22.7 ,: 
ind10,DEG3,PC,EL,34.8 ,36.1 ,36.0 ,34.1 ,33.6 ,31.5 ,34.0 ,: 
ind10,DEG3,PC,ES,34.2 ,34.2 ,32.3 ,32.3 ,29.5 ,30.1 ,27.6 ,: 
ind10,DEG3,PC,EU,: ,: ,: ,: ,22.8 e,: ,: ,: 
ind10,DEG3,PC,EU27_2007,: ,: ,: ,: ,22.8 e,: ,: ,: 
ind10,DEG3,PC,EU27_2020,26.4 e,26.3 e,24.8 e,24.2 e,22.9 e,23.3 ,22.5 ,: 
ind10,DEG3,PC,EU28,: ,: ,: ,: ,22.8 e,: ,: ,: 
ind10,DEG3,PC,FI,17.5 ,17.2 ,15.9 ,16.8 ,16.3 ,17.4 ,14.7 ,: 
ind10,DEG3,PC,FR,16.8 ,16.4 ,15.2 ,14.5 ,15.1 ,13.9 b,14.5 ,: 
ind10,DEG3,PC,HR,30.8 ,30.3 ,30.8 ,28.7 ,26.5 ,26.3 ,26.8 ,: 
ind10,DEG3,PC,HU,35.2 ,33.8 ,31.4 ,26.5 ,24.8 ,24.9 ,25.3 ,: 
ind10,DEG3,PC,IE,26.4 ,24.4 ,22.9 ,21.6 ,20.9 ,20.2 b,25.6 ,: 
ind10,DEG3,PC,IS,9.3 ,10.4 ,10.7 ,11.6 ,: ,: ,: ,: 
ind10,DEG3,PC,IT,26.8 b,29.0 ,25.9 ,25.2 ,24.6 ,27.4 ,25.0 ,: 
ind10,DEG3,PC,LT,35.8 ,38.2 ,37.7 ,35.9 ,30.9 ,29.9 ,27.8 ,: 
ind10,DEG3,PC,LU,15.4 ,14.5 b,17.5 ,16.3 ,17.7 ,18.2 b,16.3 b,: 
ind10,DEG3,PC,LV,35.7 ,33.5 ,33.6 ,32.3 ,31.5 ,28.7 ,31.6 ,: 
ind10,DEG3,PC,MK,: ,43.3 ,39.1 ,41.1 ,38.2 ,33.1 ,: ,: 
ind10,DEG3,PC,MT,35.5 u,12.9 u,: u,: u,: u,: u,17.6 ,: 
