indic_em,age,unit,sex,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
LTU,Y15-74,PC_ACT,M,FI,2.1 ,3.2 ,2.8 ,2.6 ,2.6 ,2.9 ,3.5 ,3.3 ,3.1 ,2.3 ,1.7 ,1.6 ,2.0 
LTU,Y15-74,PC_ACT,M,FR,2.1 ,2.6 ,2.5 ,2.7 ,3.0 ,3.3 ,3.4 ,3.5 ,3.2 ,2.7 ,2.4 ,2.0 ,2.4 d
LTU,Y15-74,PC_ACT,M,HR,3.9 ,5.9 ,8.4 ,10.2 ,11.3 ,9.6 ,10.1 ,6.8 ,4.7 ,3.1 ,2.3 ,2.1 ,2.9 
LTU,Y15-74,PC_ACT,M,HU,4.3 ,5.7 ,5.2 ,5.2 ,5.0 ,3.6 ,3.1 ,2.3 ,1.5 ,1.4 ,1.1 ,1.1 ,1.2 
LTU,Y15-74,PC_ACT,M,IE,4.7 ,9.0 ,11.2 ,11.7 ,9.6 ,7.8 ,6.4 ,5.1 ,3.5 ,2.3 ,1.9 ,1.4 ,2.0 
LTU,Y15-74,PC_ACT,M,IS,: u,1.5 ,1.7 ,1.5 ,1.1 ,0.6 ,: u,: u,: u,: u,: u,0.5 b,1.1 
LTU,Y15-74,PC_ACT,M,IT,3.2 ,4.0 ,4.4 ,5.7 ,7.3 ,8.0 ,7.4 ,6.9 ,6.8 ,6.2 ,5.7 ,4.9 ,5.0 
LTU,Y15-74,PC_ACT,M,LT,3.7 ,9.0 ,9.4 ,7.4 ,5.5 ,5.4 ,4.4 ,3.4 ,3.2 ,2.3 ,2.0 ,2.5 ,2.7 
LTU,Y15-74,PC_ACT,M,LU,0.9 ,1.2 ,1.3 ,1.3 ,1.6 ,1.6 ,1.9 b,2.2 ,2.3 ,1.3 ,1.3 ,1.6 ,1.5 
LTU,Y15-74,PC_ACT,M,LV,6.2 ,12.5 ,12.6 ,9.8 ,7.4 ,6.0 ,6.1 ,5.6 ,4.4 ,4.3 ,3.3 ,3.1 ,2.9 
LTU,Y15-74,PC_ACT,M,ME,: ,: ,15.0 ,15.7 ,16.9 ,13.9 ,13.6 ,13.9 ,12.2 ,11.3 ,11.4 ,12.8 ,: 
LTU,Y15-74,PC_ACT,M,MK,26.2 ,26.7 ,26.6 ,26.1 ,23.9 ,23.0 ,22.1 ,19.9 ,17.6 ,15.7 ,12.4 ,12.7 ,: 
LTU,Y15-74,PC_ACT,M,MT,3.1 ,4.1 ,4.0 ,3.6 ,3.6 ,3.4 ,3.2 ,2.4 ,1.9 ,2.1 ,1.2 ,1.3 ,1.1 
LTU,Y15-74,PC_ACT,M,NL,0.7 ,0.9 ,1.3 ,1.6 ,2.3 ,2.6 ,2.7 ,2.1 ,1.5 ,1.1 ,0.8 ,0.6 ,0.8 
LTU,Y15-74,PC_ACT,M,NO,0.7 ,1.1 ,1.0 ,0.9 ,0.9 ,1.0 ,1.3 ,1.7 ,1.6 ,1.3 ,1.1 ,1.1 ,1.1 
LTU,Y15-74,PC_ACT,M,PL,2.3 ,3.0 b,3.4 ,3.8 ,4.2 ,3.7 ,3.0 ,2.2 ,1.6 ,1.1 ,0.7 ,0.6 ,0.9 
LTU,Y15-74,PC_ACT,M,PT,4.4 ,5.9 ,6.3 ,8.2 ,9.9 ,8.7 ,7.5 ,6.6 ,4.4 ,3.1 ,2.6 ,2.3 ,2.7 
LTU,Y15-74,PC_ACT,M,RO,2.8 ,3.4 ,3.8 ,3.9 ,4.0 ,3.6 ,3.8 ,3.8 ,2.8 ,2.6 ,2.2 ,2.0 ,2.2 
LTU,Y15-74,PC_ACT,M,RS,: ,: ,14.8 ,15.7 ,14.0 ,11.3 ,9.7 ,8.5 ,6.6 ,5.8 ,4.8 ,4.0 ,4.3 
LTU,Y15-74,PC_ACT,M,SE,1.9 ,2.8 ,2.6 ,2.6 ,2.5 ,2.5 ,2.6 ,2.3 ,2.3 ,2.0 b,1.6 ,1.9 ,2.1 
