age,sex,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
Y_LT18,T,PC,IE,12.5 ,11.3 ,9.1 ,9.0 ,9.7 ,7.2 b,7.1 ,: 
Y_LT18,T,PC,IS,1.9 ,1.5 ,0.5 ,0.8 ,: ,: ,: ,: 
Y_LT18,T,PC,IT,15.8 ,12.6 ,7.4 ,7.1 ,5.8 ,7.1 ,7.1 ,: 
Y_LT18,T,PC,LT,17.6 ,16.5 ,14.8 ,11.4 ,7.7 ,8.4 ,6.7 ,: 
Y_LT18,T,PC,LU,3.8 ,2.6 ,2.3 ,1.9 ,1.7 ,2.8 b,3.7 b,: 
Y_LT18,T,PC,LV,15.9 ,13.4 ,11.8 ,10.4 ,6.7 ,6.7 ,4.7 ,: 
Y_LT18,T,PC,ME,38.3 ,34.2 ,33.9 ,32.9 ,24.6 ,25.7 ,: ,: 
Y_LT18,T,PC,MK,32.1 ,32.4 ,29.9 ,27.9 ,24.2 ,20.3 ,: ,: 
Y_LT18,T,PC,MT,11.6 ,7.2 ,7.4 ,7.6 ,6.4 ,6.7 ,7.2 ,: 
Y_LT18,T,PC,NL,3.0 ,2.4 ,2.6 ,2.4 ,2.4 ,2.0 ,1.7 ,2.4 
Y_LT18,T,PC,NO,2.5 ,: ,2.7 ,1.8 ,2.0 ,3.2 ,: ,: 
Y_LT18,T,PC,PL,8.8 ,5.1 ,4.6 ,3.5 ,2.6 ,2.5 ,2.5 p,: 
Y_LT18,T,PC,PT,14.2 ,11.8 ,8.6 ,7.1 ,5.8 ,5.4 ,4.9 ,: 
Y_LT18,T,PC,RO,40.2 ,43.5 ,37.0 ,31.5 ,25.8 ,29.7 ,28.2 ,: 
Y_LT18,T,PC,RS,24.3 ,: ,20.7 ,17.4 ,15.1 ,12.3 ,11.6 ,: 
Y_LT18,T,PC,SE,1.2 ,0.6 ,1.2 ,1.9 ,2.5 ,3.3 ,1.7 ,: 
Y_LT18,T,PC,SI,4.4 ,3.6 ,3.4 ,2.1 ,1.2 ,2.0 ,1.1 ,: 
Y_LT18,T,PC,SK,12.3 ,10.5 ,9.3 ,7.9 ,7.4 ,4.9 ,7.4 ,: 
Y_LT18,T,PC,TR,: ,: ,20.5 ,20.9 ,21.2 ,23.0 ,: ,: 
Y_LT18,T,PC,UK,10.8 ,11.0 ,7.6 ,8.0 ,: ,: ,: ,: 
Y_LT18,T,THS_PER,AL,: ,: ,: ,: ,271 ,: ,: ,: 
Y_LT18,T,THS_PER,AT,55 ,73 ,72 ,65 ,68 ,87 ,43 ,: 
Y_LT18,T,THS_PER,BE,230 ,253 ,224 ,213 ,203 ,196 ,210 ,187 
Y_LT18,T,THS_PER,BG,502 ,484 ,439 ,249 ,276 ,301 ,242 ,233 
Y_LT18,T,THS_PER,CH,38 ,49 ,47 ,46 ,74 ,28 ,38 ,: 
Y_LT18,T,THS_PER,CY,18 ,17 ,14 ,10 ,10 ,11 ,7 ,: 
Y_LT18,T,THS_PER,CZ,120 ,83 ,78 ,57 ,54 ,56 ,57 ,: 
Y_LT18,T,THS_PER,DE,887 ,823 ,585 ,516 ,443 ,828 b,776 ,: 
