sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,B_MD60,TOTAL,PC,BE,: ,49.9 ,31.6 ,42.1 ,38.9 ,44.0 ,37.1 ,37.9 ,42.7 ,44.0 ,39.0 ,42.6 ,37.6 ,38.7 ,35.5 ,36.5 ,32.6 b,34.0 ,33.3 ,31.7 
T,B_MD60,TOTAL,PC,BG,: ,: ,: ,49.4 ,56.7 ,32.9 ,23.8 ,20.2 ,25.8 ,46.0 ,38.5 ,40.4 ,44.6 ,55.3 b,50.1 ,50.6 ,48.1 ,41.7 ,37.2 ,50.1 
T,B_MD60,TOTAL,PC,CH,: ,: ,: ,: ,: ,: ,51.6 ,52.4 ,52.2 ,50.4 ,43.9 ,47.2 b,43.9 ,44.7 ,51.2 ,48.4 ,55.0 ,51.8 ,58.4 ,: 
T,B_MD60,TOTAL,PC,CY,: ,: ,26.0 ,11.8 ,7.3 ,6.0 b,9.7 ,10.9 ,10.5 ,12.9 ,11.5 ,14.4 ,13.1 ,12.6 ,10.3 ,6.6 ,10.3 ,7.5 ,9.3 ,: 
T,B_MD60,TOTAL,PC,CZ,: ,: ,37.6 ,38.3 ,38.8 ,47.5 ,43.0 ,49.4 ,42.3 ,46.3 ,51.6 ,44.1 ,48.0 ,45.4 ,44.2 ,41.9 ,37.9 ,38.9 ,38.2 ,: 
T,B_MD60,TOTAL,PC,DE,: ,: ,: ,: ,: ,: ,: ,42.2 ,46.3 ,51.7 ,49.2 ,54.4 ,51.9 ,50.3 ,48.5 ,49.5 ,48.3 ,39.4 b,41.7 ,: 
T,B_MD60,TOTAL,PC,DK,: ,: ,58.5 ,66.4 ,58.0 ,60.7 ,70.5 ,71.1 ,71.0 b,69.4 ,75.2 ,68.1 ,66.8 ,74.2 ,75.4 ,69.7 ,74.1 ,70.2 b,72.1 ,: 
T,B_MD60,TOTAL,PC,EA19,: ,: ,29.1 e,31.6 e,28.5 e,28.8 e,29.4 e,34.1 ,36.5 ,39.2 ,39.0 ,40.4 ,39.3 ,38.9 ,37.2 ,36.1 ,36.1 ,32.2 ,33.7 e,: 
T,B_MD60,TOTAL,PC,EE,: ,: ,31.3 ,28.8 ,19.0 ,13.1 ,14.7 ,26.2 ,29.5 ,32.4 ,29.3 ,30.8 b,25.8 ,19.3 ,18.4 ,16.1 ,16.2 ,16.9 ,18.7 ,: 
T,B_MD60,TOTAL,PC,EL,: ,71.1 ,65.9 ,68.5 ,65.4 ,65.6 ,67.1 ,67.7 ,78.8 ,90.5 ,93.1 ,93.3 ,94.0 ,91.9 ,89.7 ,90.7 ,88.2 ,83.4 ,76.7 ,: 
T,B_MD60,TOTAL,PC,ES,: ,16.6 ,16.6 ,25.1 ,26.8 ,32.1 b,35.2 ,35.2 ,35.8 ,40.0 ,38.3 ,39.6 ,38.1 ,36.4 ,36.5 ,32.9 ,31.8 ,30.6 ,36.2 ,: 
T,B_MD60,TOTAL,PC,EU,: ,: ,: ,: ,34.4 e,34.2 e,34.5 e,37.2 ,38.0 ,38.1 ,37.7 ,40.1 e,39.2 e,39.1 e,37.9 e,38.0 e,37.4 e,: ,: ,: 
T,B_MD60,TOTAL,PC,EU27_2007,: ,: ,35.9 e,36.6 e,34.4 e,34.2 e,34.5 e,37.1 ,38.0 ,38.2 ,37.8 ,40.2 ,39.3 ,39.2 ,38.0 ,38.1 ,37.5 e,: ,: ,: 
T,B_MD60,TOTAL,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,34.8 ,36.0 ,39.8 ,39.2 ,39.9 e,39.1 e,38.7 e,37.5 e,36.1 e,35.4 e,31.5 ,33.0 e,: 
T,B_MD60,TOTAL,PC,EU28,: ,: ,: ,: ,: ,: ,: ,37.2 ,38.0 ,38.1 ,37.7 ,40.1 ,39.2 ,39.1 ,37.9 ,38.0 ,37.4 e,: ,: ,: 
T,B_MD60,TOTAL,PC,FI,: ,17.5 ,16.1 ,15.9 ,18.3 ,18.8 ,17.1 ,16.4 ,15.3 ,17.2 ,20.4 ,21.2 ,20.4 ,19.5 ,18.2 ,18.1 ,18.2 ,17.4 ,17.8 ,: 
T,B_MD60,TOTAL,PC,FR,: ,18.0 ,16.1 ,21.8 ,18.3 ,15.6 ,14.9 ,22.1 ,22.2 ,22.2 ,23.1 ,20.9 ,21.5 ,22.3 ,20.2 ,20.3 ,22.8 ,24.6 b,: ,: 
T,B_MD60,TOTAL,PC,HR,: ,: ,: ,: ,: ,: ,: ,48.4 ,31.2 ,28.5 ,34.8 ,30.0 ,31.1 ,29.4 ,26.2 ,24.4 ,23.3 ,20.5 ,21.5 ,: 
T,B_MD60,TOTAL,PC,HU,: ,: ,46.2 ,39.8 ,39.0 ,42.5 ,36.0 ,36.7 ,40.6 ,38.8 ,40.7 ,38.4 ,31.5 ,32.9 ,49.4 ,46.4 ,22.4 ,20.5 ,12.8 ,: 
T,B_MD60,TOTAL,PC,IE,26.3 ,7.1 ,9.5 ,8.0 ,12.3 ,12.2 ,17.3 ,23.1 ,27.3 ,28.3 ,21.0 ,26.7 ,18.3 ,18.6 ,19.9 ,14.6 ,19.2 ,19.3 b,8.8 ,: 
T,B_MD60,TOTAL,PC,IS,: ,42.3 ,43.3 ,42.5 ,38.1 ,31.0 ,34.9 ,43.1 ,53.5 ,50.5 ,44.3 ,41.0 ,45.2 ,32.4 ,40.2 ,33.3 ,: ,: ,: ,: 
T,B_MD60,TOTAL,PC,IT,: ,37.5 ,38.3 ,37.1 ,26.2 ,27.4 ,27.6 ,29.7 ,31.9 ,30.1 ,32.2 ,31.9 ,32.9 ,35.8 ,32.9 ,32.9 ,34.8 ,28.6 ,28.6 ,: 
T,B_MD60,TOTAL,PC,LT,: ,: ,30.3 ,25.2 ,20.1 ,20.1 ,20.3 ,38.5 ,38.0 ,33.1 ,28.8 ,27.4 ,32.2 ,29.6 ,26.8 ,22.3 ,19.8 ,11.6 ,12.9 ,: 
T,B_MD60,TOTAL,PC,LU,21.5 ,26.2 ,21.2 ,27.1 ,23.0 ,20.7 ,19.2 ,24.4 ,23.6 ,23.9 ,25.9 ,30.9 ,27.9 ,29.7 b,31.8 ,40.5 ,37.7 ,34.3 b,16.8 b,: 
T,B_MD60,TOTAL,PC,LV,: ,: ,40.6 ,33.4 ,31.7 ,27.1 ,28.5 ,31.9 ,37.9 ,35.9 ,38.2 ,32.5 ,25.9 ,25.2 ,25.6 ,23.0 ,19.4 ,17.4 ,17.4 ,: 
T,B_MD60,TOTAL,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,43.4 ,42.1 ,44.1 ,44.9 ,40.5 ,43.5 ,34.0 ,28.8 ,: ,: 
T,B_MD60,TOTAL,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,57.4 ,62.2 ,57.4 ,55.4 ,46.3 ,50.2 ,46.1 ,42.5 ,37.4 ,33.4 ,: ,: 
T,B_MD60,TOTAL,PC,MT,: ,: ,6.5 ,9.5 ,10.2 ,12.4 ,10.6 ,13.3 ,11.6 ,11.9 ,11.2 ,5.8 ,4.8 ,5.7 ,5.6 ,5.6 ,9.2 ,9.8 ,12.2 ,: 
T,B_MD60,TOTAL,PC,NL,: ,: ,56.9 ,55.9 ,60.0 ,46.2 ,43.3 ,43.4 ,42.8 ,46.6 ,48.3 ,51.1 ,51.4 ,42.9 b,40.9 ,40.6 ,39.6 ,33.3 ,46.7 ,72.9 
