sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,Y_LT18,PC,LU,23.3 ,22.2 b,21.5 ,23.4 ,25.4 ,24.2 b,29.4 b,: 
T,Y_LT18,PC,LV,30.7 ,25.9 ,25.0 ,23.6 ,18.7 ,19.7 ,20.1 ,: 
T,Y_LT18,PC,ME,51.0 ,48.9 ,49.0 ,48.5 ,43.5 ,45.8 ,: ,: 
T,Y_LT18,PC,MK,47.0 ,45.2 ,44.1 ,42.2 ,38.4 ,39.7 ,: ,: 
T,Y_LT18,PC,MT,27.8 ,23.7 ,23.6 ,23.3 ,23.7 ,22.6 ,23.2 ,: 
T,Y_LT18,PC,NL,17.1 ,17.2 b,16.4 ,15.1 ,15.4 ,15.8 ,14.9 ,13.9 
T,Y_LT18,PC,NO,13.6 ,14.2 ,16.4 ,15.5 ,16.0 ,16.6 ,: ,: 
T,Y_LT18,PC,PL,26.8 ,23.5 ,17.8 ,16.9 ,16.2 ,16.1 ,16.5 p,: 
T,Y_LT18,PC,PT,31.2 ,27.5 ,24.6 ,22.4 ,21.9 ,21.9 ,22.9 ,: 
T,Y_LT18,PC,RO,53.4 ,56.0 ,48.7 ,44.2 ,39.1 ,40.7 ,41.7 ,: 
T,Y_LT18,PC,RS,42.4 ,34.5 ,41.0 ,35.9 ,34.5 ,30.6 ,27.5 ,: 
T,Y_LT18,PC,SE,19.7 ,19.7 ,19.4 ,20.5 ,23.0 ,20.2 ,19.7 ,: 
T,Y_LT18,PC,SI,16.6 ,14.5 ,15.6 ,13.1 ,11.6 ,12.1 ,11.0 ,: 
T,Y_LT18,PC,SK,24.7 ,24.5 ,22.7 ,23.3 ,21.0 ,18.4 ,19.7 ,: 
T,Y_LT18,PC,TR,35.5 ,35.6 ,41.8 ,42.4 ,43.2 ,43.4 ,: ,: 
T,Y_LT18,PC,UK,30.4 ,27.9 ,28.1 b,29.2 ,: ,: ,: ,: 
T,Y_LT18,THS_PER,AL,: ,: ,404 ,364 ,328 ,304 ,: ,: 
T,Y_LT18,THS_PER,AT,332 ,319 ,353 ,339 ,312 ,345 ,368 ,: 
T,Y_LT18,THS_PER,BE,561 ,540 ,561 ,544 ,554 b,534 ,502 ,478 
T,Y_LT18,THS_PER,BG,573 ,571 b,520 ,407 ,434 ,440 ,400 ,411 
T,Y_LT18,THS_PER,CH,303 ,307 ,325 ,331 ,332 ,350 ,302 ,: 
T,Y_LT18,THS_PER,CY,40 ,40 ,37 ,35 ,35 ,33 ,33 ,: 
T,Y_LT18,THS_PER,CZ,334 ,313 ,277 ,257 ,260 ,264 ,271 ,: 
T,Y_LT18,THS_PER,DE,2601 ,2828 ,2585 ,2375 ,2151 ,3144 b,3357 ,: 
T,Y_LT18,THS_PER,DK,190 ,167 ,178 ,179 ,158 ,152 b,158 ,: 
T,Y_LT18,THS_PER,EA19,16029 ,16036 ,15253 ,14634 ,13951 ,15059 b,15195 ,: 
T,Y_LT18,THS_PER,EE,54 ,48 ,47 ,43 ,50 ,44 ,45 ,: 
T,Y_LT18,THS_PER,EL,708 ,692 ,677 ,621 ,573 ,559 ,577 ,: 
T,Y_LT18,THS_PER,ES,2829 ,2817 ,2661 ,2542 ,2571 ,2624 ,2750 ,: 
T,Y_LT18,THS_PER,EU,26274 ,25791 ,24367 ,23387 ,18374 ,: ,: ,: 
T,Y_LT18,THS_PER,EU27_2007,: ,: ,: ,: ,22256 e,: ,: ,: 
T,Y_LT18,THS_PER,EU27_2020,22249 ,22072 ,20432 ,19300 ,18374 ,19425 b,19634 ,: 
T,Y_LT18,THS_PER,EU28,26274 ,25791 ,24367 ,23387 ,18374 ,: ,: ,: 
T,Y_LT18,THS_PER,FI,156 ,152 ,162 ,170 ,147 ,152 ,138 ,: 
T,Y_LT18,THS_PER,FR,3020 ,3248 ,3196 ,3253 ,3194 ,3182 b,2954 ,: 
T,Y_LT18,THS_PER,HR,192 ,182 ,179 ,159 ,134 ,126 ,127 ,: 
T,Y_LT18,THS_PER,HU,679 ,651 ,564 ,445 ,411 ,360 ,399 ,: 
T,Y_LT18,THS_PER,IE,359 ,333 ,322 ,310 ,312 ,289 b,276 ,: 
T,Y_LT18,THS_PER,IS,12 ,11 ,11 ,10 ,: ,: ,: ,: 
T,Y_LT18,THS_PER,IT,3565 ,3332 ,3084 ,2944 ,2658 ,2797 ,2851 ,: 
T,Y_LT18,THS_PER,LT,184 ,172 ,159 ,145 ,128 ,115 ,107 ,: 
T,Y_LT18,THS_PER,LU,25 ,27 b,25 ,26 ,28 ,30 b,36 b,: 
T,Y_LT18,THS_PER,LV,106 ,91 ,88 ,84 ,67 ,72 ,75 ,: 
T,Y_LT18,THS_PER,ME,72 ,69 ,69 ,75 ,63 ,65 ,: ,: 
T,Y_LT18,THS_PER,MK,198 ,190 ,183 ,176 ,159 ,160 ,: ,: 
T,Y_LT18,THS_PER,MT,22 ,19 ,19 ,19 ,19 ,19 ,19 ,: 
T,Y_LT18,THS_PER,NL,603 ,587 b,559 ,511 ,519 ,526 ,493 ,459 
T,Y_LT18,THS_PER,NO,150 ,159 ,179 ,170 ,181 ,185 ,: ,: 
T,Y_LT18,THS_PER,PL,1840 ,1603 ,1197 ,1142 ,1089 ,1098 ,1140 p,: 
T,Y_LT18,THS_PER,PT,565 ,496 ,438 ,390 ,380 ,378 ,388 ,: 
T,Y_LT18,THS_PER,RO,2009 ,2141 ,1846 ,1630 ,1426 ,1483 ,1517 ,: 
T,Y_LT18,THS_PER,RS,516 ,427 ,493 ,433 ,411 ,365 ,324 ,: 
T,Y_LT18,THS_PER,SE,402 ,409 ,417 ,446 ,510 ,453 ,437 ,: 
T,Y_LT18,THS_PER,SI,63 ,55 ,60 ,50 ,45 ,47 ,43 ,: 
T,Y_LT18,THS_PER,SK,236 ,239 ,219 ,235 ,207 ,183 ,202 ,: 
T,Y_LT18,THS_PER,TR,7977 ,7943 ,9561 ,9704 ,9888 ,9959 ,: ,: 
T,Y_LT18,THS_PER,UK,3952 ,3649 ,3861 b,4021 ,: ,: ,: ,: 
