unit,icd10,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
RT,X85-Y09_Y871,TOTAL,M,FI,3.7 ,4.0 ,3.3 ,2.7 ,3.7 ,2.9 ,2.9 ,2.7 ,2.9 ,3.1 ,3.0 ,2.32 ,1.35 ,2.23 ,1.89 ,2.04 ,1.66 ,1.26 ,1.79 p,1.48 p,2.05 
RT,X85-Y09_Y871,TOTAL,M,FR,: ,1.1 ,1.1 ,1.0 ,1.1 ,1.1 ,1.1 ,0.9 ,1.1 ,1.1 ,1.0 ,0.94 ,0.9 ,0.89 ,0.65 ,0.66 ,0.67 ,0.55 ,1.03 p,1.21 p,1.12 
RT,X85-Y09_Y871,TOTAL,M,HR,: ,: ,1.8 ,2.3 ,2.1 ,1.6 ,2.4 ,2.0 ,2.5 ,1.5 ,1.4 ,1.47 ,1.89 d,1.19 d,0.87 ,1 ,1.68 ,1.52 ,0.75 p,1.24 p,1 
RT,X85-Y09_Y871,TOTAL,M,HU,3.3 ,3.7 ,3.0 ,2.7 ,2.9 ,2.4 ,2.3 ,2.2 ,2.6 ,1.9 ,2.1 ,2.22 d,1.73 d,1.58 d,1.12 ,1.52 ,1.24 ,0.91 ,1.47 p,0.92 p,1.25 
RT,X85-Y09_Y871,TOTAL,M,IE,1.3 ,1.7 ,1.5 ,1.2 ,0.8 ,1.3 ,1.3 ,1.6 ,1.3 ,1.5 ,1.3 ,1.21 ,1.32 ,0.93 ,1.2 ,0.73 ,0.99 ,0.62 ,0.79 p,0.49 p,0.23 
RT,X85-Y09_Y871,TOTAL,M,IS,3.1 ,1.1 ,3.4 ,: ,0.8 ,1.8 ,0.6 ,1.2 ,: ,0.6 ,: ,1.09 ,: ,1.55 ,: ,2.51 ,: ,0.56 ,0.67 p,0 p,0 
RT,X85-Y09_Y871,TOTAL,M,IT,1.5 ,1.4 ,1.4 ,1.6 ,: ,: ,1.3 ,1.4 ,1.3 ,1.2 ,1.1 ,0.98 ,1 ,0.78 ,0.78 ,0.84 ,0.67 ,0.64 ,0.6 p,0.5 p,0.42 
RT,X85-Y09_Y871,TOTAL,M,LI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4.43 ,: ,: ,0 ,0 p,0 p,0 
RT,X85-Y09_Y871,TOTAL,M,LT,16.5 ,17.4 ,12.3 ,15.3 ,12.8 ,15.1 ,12.5 ,12.1 ,12.2 ,10.2 ,8.5 ,7.81 ,6.89 ,7.77 ,5.97 ,5.86 ,5.6 ,4.31 ,4.58 p,3.43 p,4.16 
RT,X85-Y09_Y871,TOTAL,M,LU,1.2 ,2.0 ,1.7 ,0.4 ,0.4 ,2.3 ,2.0 ,2.1 ,1.6 ,1.8 ,3.0 ,0.75 ,0.67 ,: ,1.24 ,1.24 ,0.61 ,0.3 ,0.26 p,0.65 p,0.58 
RT,X85-Y09_Y871,TOTAL,M,LV,21.4 ,19.1 ,18.0 ,16.0 ,13.9 ,16.8 ,15.5 ,14.4 ,12.1 ,11.3 ,10.6 ,9.86 ,10.21 ,9.23 ,10.72 ,7.69 ,7.63 ,5.78 ,6.05 p,5.99 p,5.38 
RT,X85-Y09_Y871,TOTAL,M,MK,5.6 ,12.1 ,6.4 ,4.5 ,4.7 ,5.2 ,3.9 ,3.9 ,3.1 ,2.0 ,3.7 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,M,MT,1.4 ,1.9 ,1.6 ,: ,0.9 ,0.4 ,: ,1.5 ,1.8 ,0.4 ,1.4 ,: ,1.58 ,2.73 ,1.62 ,0.95 ,0.77 ,2.63 ,1.82 p,0.36 p,1.59 
