unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
MIO_EUR,LT,49 ,56 ,63 ,69 ,77 ,85 ,96 ,111 ,124 ,86 ,84 ,84 ,89 ,86 ,96 ,104 ,106 ,110 ,117 ,126 ,133 ,131 
MIO_EUR,LU,43 ,53 ,55 ,59 ,60 ,65 ,70 ,72 ,78 ,85 ,93 ,93 ,96 ,99 ,102 ,108 ,119 ,123 ,130 ,143 ,151 ,162 
MIO_EUR,LV,: ,39 ,40 ,45 ,49 ,56 ,67 ,92 ,100 ,77 ,71 ,88 ,90 ,92 ,94 ,102 ,102 ,111 ,121 ,129 ,140 ,155 
MIO_EUR,MT,: ,16 ,19 ,21 ,19 ,20 ,18 ,20 ,21 ,21 ,21 ,23 ,23 ,28 ,29 ,22 ,29 ,29 ,32 ,40 ,46 ,58 
MIO_EUR,NL,959 ,1136 ,1284 ,1468 ,1518 ,1565 ,1607 ,1744 ,1786 ,1919 ,1961 ,2024 ,1965 ,1957 ,1923 ,1911 ,1953 ,2025 ,2153 ,2215 ,2323 ,2320 
MIO_EUR,NO,279 ,296 ,376 ,373 ,365 ,414 ,410 ,438 ,451 ,450 ,500 ,542 ,621 ,611 ,634 ,538 ,551 ,552 ,546 ,559 ,529 ,580 
MIO_EUR,PL,: ,1026 ,979 ,1061 ,1018 ,1341 ,1610 ,1868 ,2270 ,1821 ,2080 ,1922 ,2084 ,2049 ,2133 ,2224 ,2181 ,2345 ,2533 ,2743 ,2921 ,2981 
MIO_EUR,PT,358 ,368 ,530 ,632 ,545 ,606 ,646 ,608 ,645 ,656 ,728 ,731 ,575 ,639 ,598 ,630 ,648 ,646 ,689 ,693 ,727 ,742 p
MIO_EUR,RO,: ,107 ,127 ,139 ,160 ,243 ,350 ,484 ,490 ,389 ,426 ,449 ,459 ,595 ,582 ,573 ,657 ,907 ,831 ,925 ,930 ,1077 
MIO_EUR,SE,: ,722 ,768 ,790 ,800 ,787 ,887 ,965 ,938 ,872 ,1027 ,1131 ,1196 ,1278 ,1234 ,1221 ,1278 ,1303 ,1261 ,1264 ,1278 ,1389 
MIO_EUR,SI,126 ,136 ,141 ,148 ,156 ,165 ,161 ,175 ,198 ,203 ,209 ,205 ,199 ,198 ,194 ,191 ,199 ,198 ,207 ,220 ,227 ,238 
MIO_EUR,SK,: ,113 e,115 e,94 ,102 p,108 ,145 ,155 ,183 ,223 ,209 ,220 ,225 ,241 ,240 ,265 ,215 ,226 ,251 ,308 ,295 ,291 
