unit,partner,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
PC,ECB,EU28,43 ,50 ,49 ,44 ,50 ,47 ,48 ,49 ,48 ,44 ,43 ,36 ,37 ,34 ,34 ,33 ,34 ,39 ,41 ,42 ,: ,: ,: 
PC,ECB,FI,50 ,59 ,57 ,58 ,68 ,57 ,62 ,67 ,72 ,72 ,63 ,62 ,59 ,64 ,62 ,58 ,67 ,70 ,71 ,70 ,71 ,68 ,65 
PC,ECB,FR,43 ,48 ,44 ,38 ,45 ,35 ,37 ,45 ,44 ,38 ,35 ,30 ,37 ,29 ,30 ,28 ,29 ,34 ,31 ,32 ,35 ,40 ,29 
PC,ECB,HR,: ,: ,: ,: ,40 ,37 ,36 ,37 ,39 ,37 ,41 ,36 ,34 ,38 ,36 ,43 ,36 ,37 ,43 ,44 ,48 ,46 ,46 
PC,ECB,HU,: ,: ,: ,: ,49 ,42 ,44 ,45 ,48 ,41 ,49 ,39 ,43 ,41 ,37 ,40 ,39 ,47 ,47 ,56 ,52 ,53 ,55 
PC,ECB,IE,54 ,61 ,61 ,57 ,52 ,52 ,53 ,52 ,52 ,51 ,45 ,26 ,31 ,36 ,32 ,34 ,45 ,44 ,46 ,51 ,69 ,72 ,60 
PC,ECB,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,56 ,45 ,44 ,56 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PC,ECB,IT,51 ,57 ,55 ,46 ,48 ,44 ,40 ,40 ,45 ,46 ,44 ,37 ,35 ,31 ,28 ,30 ,28 ,35 ,37 ,39 ,32 ,44 ,44 
PC,ECB,LT,: ,: ,: ,: ,54 ,43 ,53 ,46 ,50 ,43 ,48 ,43 ,49 ,47 ,54 ,54 ,58 ,52 ,49 ,59 ,53 ,69 ,49 
PC,ECB,LU,59 ,70 ,72 ,63 ,64 ,64 ,62 ,59 ,60 ,60 ,62 ,53 ,55 ,58 ,49 ,54 ,57 ,54 ,51 ,65 ,69 ,71 ,50 
PC,ECB,LV,: ,: ,: ,: ,36 ,34 ,41 ,37 ,40 ,33 ,38 ,33 ,36 ,39 ,43 ,35 ,42 ,44 ,42 ,45 ,50 ,65 ,48 
PC,ECB,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,50 ,43 ,44 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PC,ECB,MK,: ,: ,: ,: ,: ,: ,: ,44 ,47 ,42 ,41 ,37 ,37 ,44 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
PC,ECB,MT,: ,: ,: ,: ,52 ,55 ,53 ,53 ,59 ,62 ,51 ,40 ,48 ,54 ,56 ,49 ,51 ,47 ,58 ,54 ,46 ,66 ,64 
PC,ECB,NL,65 ,67 ,61 ,60 ,72 ,65 ,71 ,76 ,79 ,67 ,58 ,59 ,58 ,50 ,57 ,55 ,52 ,63 ,62 ,64 ,61 ,66 ,58 
