lev_perc,unit,geo\time,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
VGOOD,PC,SI,3 ,1 ,2 ,2 ,3 ,3 ,4 
VGOOD,PC,SK,2 ,2 ,3 ,3 ,2 ,1 ,1 
VGOOD,PC,UK,18 ,26 ,20 ,21 ,17 ,: ,: 
VG_FG,PC,AT,77 ,78 ,81 ,83 ,86 ,84 ,83 
VG_FG,PC,BE,62 ,59 ,64 ,62 ,63 ,66 ,60 
VG_FG,PC,BG,23 ,26 ,30 ,34 ,37 ,31 ,31 
VG_FG,PC,CY,56 ,60 ,55 ,59 ,55 ,48 ,50 
VG_FG,PC,CZ,47 ,49 ,51 ,51 ,56 ,51 ,57 
VG_FG,PC,DE,69 ,78 ,74 ,74 ,76 ,80 ,76 
VG_FG,PC,DK,88 ,86 ,87 ,87 ,86 ,75 ,84 
VG_FG,PC,EE,62 ,47 ,61 ,55 ,57 ,66 ,60 
VG_FG,PC,EL,47 ,52 ,59 ,57 ,53 ,55 ,53 
VG_FG,PC,ES,30 ,31 ,39 ,37 ,44 ,38 ,38 
VG_FG,PC,EU27_2020,50 e,54 e,54 e,54 e,54 e,54 b,53 
VG_FG,PC,EU28,52 ,55 ,56 ,56 ,: ,: ,: 
VG_FG,PC,FI,80 ,81 ,82 ,83 ,84 ,83 ,88 
VG_FG,PC,FR,54 ,53 ,58 ,59 ,56 ,57 ,56 
VG_FG,PC,HR,28 ,32 ,23 ,18 ,24 ,17 ,21 
VG_FG,PC,HU,49 ,48 ,48 ,43 ,48 ,41 ,43 
VG_FG,PC,IE,75 ,74 ,75 ,74 ,74 ,73 ,73 
VG_FG,PC,IT,25 ,32 ,32 ,37 ,31 ,34 ,37 
VG_FG,PC,LT,49 ,52 ,50 ,49 ,52 ,55 ,52 
VG_FG,PC,LU,73 ,72 ,71 ,70 ,74 ,77 ,77 
VG_FG,PC,LV,42 ,49 ,47 ,45 ,45 ,56 ,53 
VG_FG,PC,MT,44 ,50 ,45 ,56 ,52 ,69 ,67 
VG_FG,PC,NL,72 ,76 ,79 ,71 ,77 ,77 ,77 
VG_FG,PC,PL,45 ,50 ,42 ,39 ,34 ,30 ,24 
VG_FG,PC,PT,33 ,42 ,50 ,42 ,40 ,48 ,47 
VG_FG,PC,RO,51 ,50 ,47 ,40 ,37 ,51 ,48 
VG_FG,PC,SE,77 ,72 ,75 ,79 ,81 ,71 ,74 
VG_FG,PC,SI,30 ,35 ,33 ,39 ,42 ,47 ,49 
VG_FG,PC,SK,21 ,23 ,29 ,28 ,26 ,28 ,25 
VG_FG,PC,UK,70 ,71 ,68 ,68 ,71 ,: ,: 
